"TotalDistanceEfficiency_RANKTHISWEEK_2015","TotalDistanceEfficiency_RANKLASTWEEK_2015","TotalDistanceEfficiency_PLAYERNAME_2015","TotalDistanceEfficiency_ROUNDS_2015","TotalDistanceEfficiency_AVG_2015","TotalDistanceEfficiency_AVERAGEDISTANCEYARDS_2015","TotalDistanceEfficiency_AVERAGECLUBHEADSPEED_2015","TotalDistanceEfficiency_TOTALATTEMPTS_2015","TotalDistanceEfficiency_HIGHESTDISTEFFICIENCY_2015","stat_name","year"
1,1,"David Toms",62,2.679,272.92,101.869,62,3.029,"TotalDistanceEfficiency",2015
2,2,"Ernie Els",57,2.671,295.295,110.543,38,3.058,"TotalDistanceEfficiency",2015
3,3,"Ryan Moore",81,2.652,288.81,108.888,68,3.264,"TotalDistanceEfficiency",2015
3,3,"Heath Slocum",57,2.652,274.759,103.595,44,2.997,"TotalDistanceEfficiency",2015
5,5,"Davis Love III",51,2.645,298.548,112.891,43,3.147,"TotalDistanceEfficiency",2015
6,6,"Bill Lunde",50,2.644,290.04,109.68,41,3.047,"TotalDistanceEfficiency",2015
7,7,"David Hearn",97,2.643,285.315,107.951,95,3.419,"TotalDistanceEfficiency",2015
8,8,"Brian Stuard",97,2.639,280.596,106.31,95,3.149,"TotalDistanceEfficiency",2015
9,9,"Nick Taylor",91,2.638,294.144,111.508,92,3.031,"TotalDistanceEfficiency",2015
10,10,"Scott Piercy",90,2.636,303.636,115.204,86,3.214,"TotalDistanceEfficiency",2015
11,11,"Andres Romero",69,2.635,300.777,114.141,50,2.919,"TotalDistanceEfficiency",2015
12,12,"David Lingmerth",90,2.633,290.668,110.379,86,3.263,"TotalDistanceEfficiency",2015
13,13,"Bubba Watson",71,2.632,325.042,123.515,53,3.19,"TotalDistanceEfficiency",2015
14,14,"Steven Alker",62,2.627,278.772,106.129,59,2.92,"TotalDistanceEfficiency",2015
15,15,"Jim Furyk",71,2.625,286.839,109.285,53,3.063,"TotalDistanceEfficiency",2015
15,15,"Retief Goosen",81,2.625,298.893,113.85,73,3.143,"TotalDistanceEfficiency",2015
17,17,"Brice Garnett",81,2.623,290.353,110.696,73,3.001,"TotalDistanceEfficiency",2015
18,18,"Brendon Todd",96,2.622,280.039,106.804,82,3.065,"TotalDistanceEfficiency",2015
19,19,"Scott Stallings",60,2.621,300.981,114.854,54,3.165,"TotalDistanceEfficiency",2015
20,20,"Brian Davis",86,2.62,276.416,105.493,85,3.027,"TotalDistanceEfficiency",2015
20,20,"Sean OHair",86,2.62,300.023,114.508,76,3.364,"TotalDistanceEfficiency",2015
22,22,"Louis Oosthuizen",68,2.619,300.008,114.569,45,3.102,"TotalDistanceEfficiency",2015
23,23,"Robert Allenby",63,2.618,287.95,109.973,60,3.231,"TotalDistanceEfficiency",2015
23,23,"Oscar Fraustro",58,2.618,290.15,110.827,43,3.014,"TotalDistanceEfficiency",2015
23,23,"Chez Reavie",56,2.618,286.188,109.321,60,2.961,"TotalDistanceEfficiency",2015
26,26,"JJ Henry",94,2.616,297.823,113.84,73,3.429,"TotalDistanceEfficiency",2015
27,27,"Jason Day",75,2.615,314.211,120.158,61,3.154,"TotalDistanceEfficiency",2015
27,27,"Morgan Hoffmann",85,2.615,297.153,113.628,79,2.908,"TotalDistanceEfficiency",2015
29,29,"Justin Leonard",61,2.612,271.921,104.107,63,3.203,"TotalDistanceEfficiency",2015
30,30,"Justin Rose",69,2.611,305.711,117.098,54,3.149,"TotalDistanceEfficiency",2015
31,31,"Tim Wilkinson",73,2.609,280.928,107.692,60,3.111,"TotalDistanceEfficiency",2015
32,32,"Bill Haas",89,2.608,292.614,112.196,80,3.305,"TotalDistanceEfficiency",2015
32,32,"Billy Horschel",99,2.608,295.665,113.379,87,3.096,"TotalDistanceEfficiency",2015
32,32,"Adam Scott",51,2.608,313.645,120.267,37,3.036,"TotalDistanceEfficiency",2015
35,35,"Mark Wilson",89,2.605,279.45,107.254,83,3.227,"TotalDistanceEfficiency",2015
36,36,"Angel Cabrera",53,2.604,305.092,117.143,51,3.037,"TotalDistanceEfficiency",2015
36,36,"JB Holmes",89,2.604,314.025,120.616,71,3.159,"TotalDistanceEfficiency",2015
36,36,"Camilo Villegas",83,2.604,294.301,113.035,85,3,"TotalDistanceEfficiency",2015
39,39,"Jason Kokrak",88,2.603,311.929,119.823,85,3.12,"TotalDistanceEfficiency",2015
40,40,"Brendan Steele",88,2.599,306.76,118.013,92,3.024,"TotalDistanceEfficiency",2015
41,41,"Ben Crane",62,2.598,271.681,104.592,54,2.929,"TotalDistanceEfficiency",2015
41,41,"Charley Hoffman",97,2.598,305.77,117.683,84,3.278,"TotalDistanceEfficiency",2015
41,41,"Martin Laird",77,2.598,302.32,116.352,70,3.201,"TotalDistanceEfficiency",2015
41,41,"Carlos Ortiz",100,2.598,299.615,115.318,99,3.109,"TotalDistanceEfficiency",2015
45,45,"Chesson Hadley",101,2.597,290.971,112.043,92,3.31,"TotalDistanceEfficiency",2015
45,45,"Russell Knox",96,2.597,286.213,110.224,100,2.996,"TotalDistanceEfficiency",2015
47,47,"KJ Choi",66,2.596,282.64,108.866,58,3.275,"TotalDistanceEfficiency",2015
48,48,"Alex Cejka",94,2.595,281.657,108.518,84,3.223,"TotalDistanceEfficiency",2015
49,49,"Chris Stroud",84,2.594,283.377,109.225,72,3.028,"TotalDistanceEfficiency",2015
49,49,"Daniel Summerhays",101,2.594,286.415,110.416,84,3.015,"TotalDistanceEfficiency",2015
51,51,"Chad Campbell",97,2.593,285.687,110.19,101,2.9,"TotalDistanceEfficiency",2015
52,52,"Aaron Baddeley",76,2.592,306.004,118.039,41,2.95,"TotalDistanceEfficiency",2015
52,52,"Ryan Palmer",80,2.592,307.7,118.703,64,3.116,"TotalDistanceEfficiency",2015
52,52,"Cameron Tringale",96,2.592,281.682,108.665,89,3.016,"TotalDistanceEfficiency",2015
55,55,"Chris Kirk",76,2.59,286.685,110.671,66,3.15,"TotalDistanceEfficiency",2015
56,56,"Lucas Glover",79,2.587,300.932,116.342,83,3.011,"TotalDistanceEfficiency",2015
57,57,"Matt Every",73,2.586,293.818,113.619,71,3.008,"TotalDistanceEfficiency",2015
57,57,"Jason Gore",76,2.586,291.63,112.763,64,3.044,"TotalDistanceEfficiency",2015
59,59,"Kevin Kisner",104,2.583,286.996,111.112,112,3.116,"TotalDistanceEfficiency",2015
59,59,"Justin Thomas",106,2.583,306.496,118.663,100,3.112,"TotalDistanceEfficiency",2015
61,61,"Hideki Matsuyama",95,2.582,295.393,114.389,86,3.119,"TotalDistanceEfficiency",2015
62,62,"Padraig Harrington",60,2.58,294.34,114.071,57,2.99,"TotalDistanceEfficiency",2015
63,63,"Zach Johnson",90,2.578,284.423,110.306,84,3.186,"TotalDistanceEfficiency",2015
64,64,"Derek Fathauer",81,2.576,288.454,111.956,72,2.965,"TotalDistanceEfficiency",2015
65,65,"Carl Pettersson",106,2.575,293.416,113.93,103,3.01,"TotalDistanceEfficiency",2015
65,65,"Webb Simpson",81,2.575,287.321,111.598,72,3.304,"TotalDistanceEfficiency",2015
67,67,"Jamie Donaldson",50,2.573,294.997,114.629,45,3.09,"TotalDistanceEfficiency",2015
68,68,"Blayne Barber",76,2.572,288.07,112.001,69,3.16,"TotalDistanceEfficiency",2015
68,68,"James Hahn",94,2.572,301.117,117.079,77,3.388,"TotalDistanceEfficiency",2015
68,68,"Michael Thompson",83,2.572,292.988,113.903,84,3.071,"TotalDistanceEfficiency",2015
71,71,"Marc Leishman",74,2.57,297.374,115.692,63,3.225,"TotalDistanceEfficiency",2015
72,72,"Phil Mickelson",70,2.569,303.382,118.089,52,3.004,"TotalDistanceEfficiency",2015
72,72,"Andrew Svoboda",80,2.569,289.905,112.86,75,2.924,"TotalDistanceEfficiency",2015
74,74,"Andres Gonzales",90,2.567,297.095,115.748,91,3.168,"TotalDistanceEfficiency",2015
74,74,"Vijay Singh",78,2.567,291.86,113.709,74,3.087,"TotalDistanceEfficiency",2015
74,74,"Kevin Streelman",95,2.567,290.847,113.32,82,3.163,"TotalDistanceEfficiency",2015
77,77,"Cameron Percy",72,2.564,295.707,115.33,68,3.204,"TotalDistanceEfficiency",2015
77,77,"Tyrone Van Aswegen",58,2.564,288.739,112.633,38,2.758,"TotalDistanceEfficiency",2015
79,79,"Francesco Molinari",56,2.563,283.177,110.486,50,3.133,"TotalDistanceEfficiency",2015
79,79,"SJ Park",79,2.563,285.714,111.467,67,3.148,"TotalDistanceEfficiency",2015
79,79,"Brandt Snedeker",98,2.563,289.784,113.076,92,3.078,"TotalDistanceEfficiency",2015
82,82,"Fabian Gomez",83,2.562,286.585,111.859,76,2.968,"TotalDistanceEfficiency",2015
82,82,"Danny Lee",120,2.562,285.775,111.555,110,3.042,"TotalDistanceEfficiency",2015
82,82,"Jeff Overton",94,2.562,288.801,112.732,84,3.098,"TotalDistanceEfficiency",2015
82,82,"Jim Renner",68,2.562,286.027,111.622,58,3.083,"TotalDistanceEfficiency",2015
86,86,"Jason Bohn",95,2.561,277.811,108.487,101,3.225,"TotalDistanceEfficiency",2015
86,86,"John Peterson",84,2.561,288.173,112.517,94,3.119,"TotalDistanceEfficiency",2015
88,88,"Hunter Mahan",88,2.56,294.831,115.183,73,3.43,"TotalDistanceEfficiency",2015
88,88,"Roger Sloan",56,2.56,293.59,114.691,42,2.944,"TotalDistanceEfficiency",2015
90,90,"Alex Prugh",84,2.558,299.453,117.081,82,3.303,"TotalDistanceEfficiency",2015
91,91,"Scott Langley",94,2.557,281.301,110.017,83,3.157,"TotalDistanceEfficiency",2015
92,92,"Sangmoon Bae",98,2.555,290.085,113.529,97,3.065,"TotalDistanceEfficiency",2015
92,92,"Kyle Reifers",96,2.555,293.46,114.847,77,3.345,"TotalDistanceEfficiency",2015
94,94,"Harris English",105,2.554,306.867,120.166,97,3.106,"TotalDistanceEfficiency",2015
94,94,"Geoff Ogilvy",50,2.554,298.432,116.856,40,3,"TotalDistanceEfficiency",2015
96,96,"Ian Poulter",68,2.553,285.423,111.803,54,2.932,"TotalDistanceEfficiency",2015
97,97,"Paul Casey",87,2.552,298.989,117.161,63,2.933,"TotalDistanceEfficiency",2015
97,97,"Nicholas Thompson",90,2.552,287.837,112.775,84,3.041,"TotalDistanceEfficiency",2015
99,99,"Brian Harman",90,2.551,288.058,112.931,82,3.35,"TotalDistanceEfficiency",2015
99,99,"Dustin Johnson",75,2.551,323.105,126.661,47,3.319,"TotalDistanceEfficiency",2015
99,99,"Boo Weekley",79,2.551,294.006,115.242,63,2.957,"TotalDistanceEfficiency",2015
102,102,"Bo Van Pelt",81,2.55,289.969,113.726,74,3.166,"TotalDistanceEfficiency",2015
103,103,"Shawn Stefani",94,2.548,297.975,116.947,94,2.973,"TotalDistanceEfficiency",2015
104,104,"Jon Curran",83,2.547,274.19,107.649,72,3.224,"TotalDistanceEfficiency",2015
