"StrokesGainedTotal_RANKTHISWEEK_2005","StrokesGainedTotal_RANKLASTWEEK_2005","StrokesGainedTotal_PLAYERNAME_2005","StrokesGainedTotal_ROUNDS_2005","StrokesGainedTotal_AVERAGE_2005","StrokesGainedTotal_TOTALSGT_2005","StrokesGainedTotal_TOTALSGT2G_2005","StrokesGainedTotal_TOTALSGP_2005","StrokesGainedTotal_MEASUREDROUNDS_2005","stat_name","year"
1,1,"Tiger Woods",76,2.29,125.935,89.524,36.411,55,"StrokesGainedTotal",2005
2,2,"Vijay Singh",111,2.281,200.769,180.062,20.707,88,"StrokesGainedTotal",2005
3,3,"Jim Furyk",94,1.958,140.979,108.938,32.041,72,"StrokesGainedTotal",2005
4,4,"Luke Donald",67,1.705,68.202,53.571,14.631,40,"StrokesGainedTotal",2005
5,5,"Kenny Perry",82,1.664,99.818,110.965,-11.147,60,"StrokesGainedTotal",2005
6,6,"Phil Mickelson",81,1.457,72.837,59.607,13.23,50,"StrokesGainedTotal",2005
7,7,"Sergio Garcia",73,1.438,74.755,88.134,-13.379,52,"StrokesGainedTotal",2005
8,8,"David Toms",87,1.406,89.955,64.368,25.587,64,"StrokesGainedTotal",2005
9,9,"Tim Herron",100,1.259,98.189,61.428,36.761,78,"StrokesGainedTotal",2005
10,10,"Jose Maria Olazabal",55,1.154,47.303,20.429,26.874,41,"StrokesGainedTotal",2005
11,11,"Shigeki Maruyama",99,1.127,95.764,73.136,22.628,85,"StrokesGainedTotal",2005
12,12,"Davis Love III",80,1.1,62.717,54.557,8.16,57,"StrokesGainedTotal",2005
13,13,"Adam Scott",72,1.047,54.425,53.584,0.841,52,"StrokesGainedTotal",2005
14,14,"Brad Faxon",75,0.998,57.876,7.152,50.724,58,"StrokesGainedTotal",2005
15,15,"Bart Bryant",91,0.947,72.914,48.03,24.884,77,"StrokesGainedTotal",2005
16,16,"Arjun Atwal",65,0.946,57.723,17.928,39.795,61,"StrokesGainedTotal",2005
