"MissedFairwayPercentOther_RANKTHISWEEK_2005","MissedFairwayPercentOther_RANKLASTWEEK_2005","MissedFairwayPercentOther_PLAYERNAME_2005","MissedFairwayPercentOther_ROUNDS_2005","MissedFairwayPercentOther_Pct_2005","MissedFairwayPercentOther_TOTALMISSED_2005","MissedFairwayPercentOther_TOTALFWYS_2005","MissedFairwayPercentOther_RELATIVETOPAR_2005","stat_name","year"
1,1,"Omar Uresti",84,2.06,23,1117,0.09,"MissedFairwayPercentOther",2005
2,2,"Jose Coceres",56,2.25,17,754,0.82,"MissedFairwayPercentOther",2005
3,3,"Jeff Hart",63,2.36,20,849,0.65,"MissedFairwayPercentOther",2005
4,4,"Kirk Triplett",55,2.38,16,671,0.31,"MissedFairwayPercentOther",2005
5,5,"Adam Scott",72,2.47,18,728,0.94,"MissedFairwayPercentOther",2005
6,6,"Fred Funk",102,2.66,33,1239,0.21,"MissedFairwayPercentOther",2005
7,7,"Bart Bryant",91,2.76,32,1158,0.06,"MissedFairwayPercentOther",2005
8,8,"Tom Byrum",83,2.83,32,1129,0.5,"MissedFairwayPercentOther",2005
9,9,"Joe Durant",81,2.87,30,1046,0.27,"MissedFairwayPercentOther",2005
10,10,"Olin Browne",99,2.93,37,1263,0.27,"MissedFairwayPercentOther",2005
11,11,"Heath Slocum",103,3.09,41,1325,0.37,"MissedFairwayPercentOther",2005
11,11,"David Toms",87,3.09,29,938,0.76,"MissedFairwayPercentOther",2005
13,13,"Arron Oberholser",65,3.14,24,765,0.17,"MissedFairwayPercentOther",2005
14,14,"Shigeki Maruyama",99,3.18,39,1228,0.31,"MissedFairwayPercentOther",2005
15,15,"Jim Furyk",94,3.35,37,1103,-0.16,"MissedFairwayPercentOther",2005
16,16,"Larry Mize",54,3.44,23,669,0.57,"MissedFairwayPercentOther",2005
17,17,"Scott Verplank",87,3.59,36,1002,-0.06,"MissedFairwayPercentOther",2005
18,18,"KJ Choi",78,3.64,29,796,0.28,"MissedFairwayPercentOther",2005
19,19,"Jay Haas",54,3.67,22,600,0.59,"MissedFairwayPercentOther",2005
20,20,"Gavin Coles",70,3.68,36,979,0.64,"MissedFairwayPercentOther",2005
21,21,"Zach Johnson",96,3.69,44,1192,0.3,"MissedFairwayPercentOther",2005
22,22,"Brian Davis",75,3.75,37,987,0.27,"MissedFairwayPercentOther",2005
23,23,"Jeff Brehaut",71,3.76,35,931,0.6,"MissedFairwayPercentOther",2005
24,24,"Chad Campbell",95,3.77,41,1088,0.54,"MissedFairwayPercentOther",2005
25,25,"Billy Mayfair",114,3.78,57,1506,-0.09,"MissedFairwayPercentOther",2005
25,25,"Lee Westwood",50,3.78,19,503,0.21,"MissedFairwayPercentOther",2005
27,27,"Carlos Franco",78,3.79,36,950,0.61,"MissedFairwayPercentOther",2005
28,28,"Brian Gay",101,3.92,54,1379,0.28,"MissedFairwayPercentOther",2005
29,29,"Loren Roberts",54,3.93,28,712,0.32,"MissedFairwayPercentOther",2005
30,30,"Arjun Atwal",65,3.99,35,877,0.4,"MissedFairwayPercentOther",2005
30,30,"Jeff Sluman",94,3.99,51,1279,0.45,"MissedFairwayPercentOther",2005
32,32,"Joey Sindelar",104,4,58,1450,0.43,"MissedFairwayPercentOther",2005
33,33,"Bob Estes",92,4.02,47,1168,0.4,"MissedFairwayPercentOther",2005
34,34,"Briny Baird",98,4.04,54,1336,0.24,"MissedFairwayPercentOther",2005
34,34,"Tim Clark",92,4.04,40,989,0.38,"MissedFairwayPercentOther",2005
34,34,"Jeff Maggert",79,4.04,36,892,0.42,"MissedFairwayPercentOther",2005
37,37,"Tom Lehman",69,4.05,31,765,0.29,"MissedFairwayPercentOther",2005
38,38,"Tommy Armour III",103,4.07,56,1376,0.41,"MissedFairwayPercentOther",2005
39,39,"Hidemichi Tanaka",106,4.08,58,1420,0.41,"MissedFairwayPercentOther",2005
40,40,"Bradley Hughes",52,4.15,30,723,0.4,"MissedFairwayPercentOther",2005
41,41,"Jay Williamson",53,4.19,31,739,0.52,"MissedFairwayPercentOther",2005
42,42,"Mark Wilson",74,4.21,41,973,0.17,"MissedFairwayPercentOther",2005
43,43,"Jim Carter",62,4.3,36,837,0.33,"MissedFairwayPercentOther",2005
43,43,"Steve Jones",56,4.3,30,697,0.47,"MissedFairwayPercentOther",2005
45,45,"Stuart Appleby",84,4.33,40,924,0.28,"MissedFairwayPercentOther",2005
46,46,"Sergio Garcia",73,4.34,33,760,0.09,"MissedFairwayPercentOther",2005
46,46,"Justin Leonard",78,4.34,37,852,0.32,"MissedFairwayPercentOther",2005
48,48,"Richard Johnson",50,4.35,29,667,0.62,"MissedFairwayPercentOther",2005
49,49,"Robert Gamez",91,4.37,54,1235,0.35,"MissedFairwayPercentOther",2005
50,50,"Mark Calcavecchia",92,4.39,50,1140,0.36,"MissedFairwayPercentOther",2005
50,50,"Luke Donald",67,4.39,27,615,0.22,"MissedFairwayPercentOther",2005
52,52,"Doug Barron",70,4.5,44,977,0.41,"MissedFairwayPercentOther",2005
53,53,"Chris Anderson",66,4.51,39,865,0.41,"MissedFairwayPercentOther",2005
54,54,"Paul Gow",78,4.55,47,1033,0.64,"MissedFairwayPercentOther",2005
55,55,"Skip Kendall",80,4.6,50,1086,0.32,"MissedFairwayPercentOther",2005
56,56,"Darron Stiles",78,4.62,49,1061,0.31,"MissedFairwayPercentOther",2005
57,57,"Rod Pampling",89,4.65,47,1010,0.36,"MissedFairwayPercentOther",2005
58,58,"Jose Maria Olazabal",55,4.66,28,601,0.29,"MissedFairwayPercentOther",2005
59,59,"Duffy Waldorf",86,4.69,51,1088,0.53,"MissedFairwayPercentOther",2005
