"MoneyperEventLeaders_RANKTHISWEEK_2008","MoneyperEventLeaders_RANKLASTWEEK_2008","MoneyperEventLeaders_PLAYERNAME_2008","MoneyperEventLeaders_EVENTS_2008","MoneyperEventLeaders_MONEYPEREVENT_2008","MoneyperEventLeaders_TOTALMONEY_2008","stat_name","year"
1,1,"Tiger Woods",6,962500,5775000,"MoneyperEventLeaders",2008
2,2,"Padraig Harrington",15,287570,4313550,"MoneyperEventLeaders",2008
3,3,"Vijay Singh",23,287004,6601094,"MoneyperEventLeaders",2008
4,4,"Sergio Garcia",19,255695,4858223,"MoneyperEventLeaders",2008
5,5,"Phil Mickelson",21,247089,5188874,"MoneyperEventLeaders",2008
6,6,"Anthony Kim",22,211648,4656265,"MoneyperEventLeaders",2008
7,7,"Camilo Villegas",22,201029,4422640,"MoneyperEventLeaders",2008
8,8,"Kenny Perry",26,179376,4663793,"MoneyperEventLeaders",2008
9,9,"Stewart Cink",23,173013,3979300,"MoneyperEventLeaders",2008
10,10,"Ernie Els",16,158580,2537289,"MoneyperEventLeaders",2008
11,11,"Justin Leonard",25,157741,3943542,"MoneyperEventLeaders",2008
12,12,"Lee Westwood",10,155088,1550880,"MoneyperEventLeaders",2008
13,13,"Geoff Ogilvy",20,144004,2880099,"MoneyperEventLeaders",2008
14,14,"Henrik Stenson",9,137568,1238117,"MoneyperEventLeaders",2008
15,15,"Jim Furyk",26,132912,3455713,"MoneyperEventLeaders",2008
16,16,"Luke Donald",11,132422,1456650,"MoneyperEventLeaders",2008
17,17,"Adam Scott",15,131943,1979159,"MoneyperEventLeaders",2008
18,18,"Robert Allenby",28,128810,3606699,"MoneyperEventLeaders",2008
19,19,"KJ Choi",21,127782,2683442,"MoneyperEventLeaders",2008
20,20,"Greg Norman",4,127404,509617,"MoneyperEventLeaders",2008
21,21,"Ryuji Imada",25,121174,3029363,"MoneyperEventLeaders",2008
22,22,"Ben Curtis",22,118899,2615798,"MoneyperEventLeaders",2008
23,23,"Trevor Immelman",22,116645,2566198,"MoneyperEventLeaders",2008
24,24,"Mike Weir",26,116159,3020135,"MoneyperEventLeaders",2008
25,25,"Steve Stricker",22,110832,2438304,"MoneyperEventLeaders",2008
26,26,"Stuart Appleby",23,108027,2484630,"MoneyperEventLeaders",2008
27,27,"Andres Romero",20,103230,2064611,"MoneyperEventLeaders",2008
28,28,"Robert Karlsson",8,101523,812184,"MoneyperEventLeaders",2008
29,29,"Dudley Hart",22,100855,2218816,"MoneyperEventLeaders",2008
30,30,"Boo Weekley",24,99947,2398750,"MoneyperEventLeaders",2008
31,31,"Kevin Sutherland",26,99281,2581310,"MoneyperEventLeaders",2008
32,32,"Ian Poulter",15,99214,1488214,"MoneyperEventLeaders",2008
33,33,"Alastair Forsyth",2,97208,194416,"MoneyperEventLeaders",2008
34,34,"Stephen Ames",24,95237,2285707,"MoneyperEventLeaders",2008
35,35,"Carl Pettersson",29,86639,2512538,"MoneyperEventLeaders",2008
36,36,"Chad Campbell",28,85884,2404770,"MoneyperEventLeaders",2008
37,37,"DJ Trahan",27,85346,2304368,"MoneyperEventLeaders",2008
38,38,"Sean OHair",25,83594,2089856,"MoneyperEventLeaders",2008
39,39,"JB Holmes",26,83312,2166130,"MoneyperEventLeaders",2008
40,40,"Hunter Mahan",27,81809,2208854,"MoneyperEventLeaders",2008
41,41,"Retief Goosen",18,79553,1431965,"MoneyperEventLeaders",2008
42,42,"Aaron Baddeley",22,75708,1665587,"MoneyperEventLeaders",2008
43,43,"Alexander Noren",1,75484,75484,"MoneyperEventLeaders",2008
43,43,"Jean Van de Velde",1,75484,75484,"MoneyperEventLeaders",2008
43,43,"Simon Wakefield",1,75484,75484,"MoneyperEventLeaders",2008
43,43,"Paul Waring",1,75484,75484,"MoneyperEventLeaders",2008
47,47,"Bart Bryant",23,74745,1719153,"MoneyperEventLeaders",2008
48,48,"Davis Love III",23,73705,1695237,"MoneyperEventLeaders",2008
49,49,"Bernhard Langer",2,73625,147250,"MoneyperEventLeaders",2008
50,50,"Mathew Goggin",27,72961,1969962,"MoneyperEventLeaders",2008
51,51,"Paul Casey",16,72275,1156414,"MoneyperEventLeaders",2008
52,52,"Woody Austin",30,71547,2146430,"MoneyperEventLeaders",2008
53,53,"Jeff Quinney",28,71406,1999371,"MoneyperEventLeaders",2008
54,54,"Brian Gay",31,71145,2205512,"MoneyperEventLeaders",2008
55,55,"Justin Rose",15,69856,1047853,"MoneyperEventLeaders",2008
56,56,"Briny Baird",30,67993,2039807,"MoneyperEventLeaders",2008
57,57,"Ken Duke",33,67844,2238884,"MoneyperEventLeaders",2008
58,58,"Rory Sabbatini",23,67794,1559277,"MoneyperEventLeaders",2008
59,59,"Freddie Jacobson",24,66559,1597423,"MoneyperEventLeaders",2008
60,60,"Ryan Palmer",22,66053,1453182,"MoneyperEventLeaders",2008
