"GreensinRegulationPercentage_RANKTHISWEEK_2012","GreensinRegulationPercentage_RANKLASTWEEK_2012","GreensinRegulationPercentage_PLAYERNAME_2012","GreensinRegulationPercentage_ROUNDS_2012","GreensinRegulationPercentage_Pct_2012","GreensinRegulationPercentage_GREENSHIT_2012","GreensinRegulationPercentage_HOLES_2012","GreensinRegulationPercentage_RELATIVEPAR_2012","stat_name","year"
1,1,"Justin Rose",69,70.34,861,1224,-0.25,"GreensinRegulationPercentage",2012
2,2,"Bubba Watson",68,69.95,831,1188,-0.3,"GreensinRegulationPercentage",2012
3,3,"Lee Westwood",60,69.75,678,972,-0.27,"GreensinRegulationPercentage",2012
4,4,"Camilo Villegas",79,69.55,964,1386,-0.26,"GreensinRegulationPercentage",2012
5,5,"Boo Weekley",74,69.53,826,1188,-0.21,"GreensinRegulationPercentage",2012
6,6,"Russell Knox",72,69.36,824,1188,-0.25,"GreensinRegulationPercentage",2012
7,7,"Robert Garrigus",89,69.23,1109,1602,-0.28,"GreensinRegulationPercentage",2012
8,8,"Brendon de Jonge",115,69.17,1382,1998,-0.28,"GreensinRegulationPercentage",2012
8,8,"Jason Dufner",83,69.17,1021,1476,-0.29,"GreensinRegulationPercentage",2012
10,10,"John Merrick",83,69.13,983,1422,-0.25,"GreensinRegulationPercentage",2012
11,11,"Will Claxton",99,69.06,1181,1710,-0.26,"GreensinRegulationPercentage",2012
12,12,"Hunter Mahan",88,68.97,1018,1476,-0.24,"GreensinRegulationPercentage",2012
13,13,"Ben Curtis",62,68.87,719,1044,-0.26,"GreensinRegulationPercentage",2012
14,14,"Billy Horschel",63,68.79,681,990,-0.25,"GreensinRegulationPercentage",2012
15,15,"Louis Oosthuizen",65,68.78,780,1134,-0.28,"GreensinRegulationPercentage",2012
16,16,"John Senden",81,68.59,963,1404,-0.27,"GreensinRegulationPercentage",2012
17,17,"Greg Owen",90,68.58,1111,1620,-0.25,"GreensinRegulationPercentage",2012
18,18,"Roberto Castro",92,68.41,1059,1548,-0.24,"GreensinRegulationPercentage",2012
19,19,"Steve Stricker",73,68.33,861,1260,-0.29,"GreensinRegulationPercentage",2012
20,20,"Richard Lee",71,68.29,799,1170,-0.27,"GreensinRegulationPercentage",2012
21,21,"Sean OHair",84,68.25,1032,1512,-0.27,"GreensinRegulationPercentage",2012
22,22,"JJ Henry",93,68.24,1044,1530,-0.21,"GreensinRegulationPercentage",2012
23,23,"Jim Furyk",85,68.19,1031,1512,-0.25,"GreensinRegulationPercentage",2012
24,24,"Heath Slocum",93,67.84,1038,1530,-0.22,"GreensinRegulationPercentage",2012
25,25,"Roland Thatcher",55,67.8,598,882,-0.24,"GreensinRegulationPercentage",2012
26,26,"Kevin Stadler",85,67.75,939,1386,-0.24,"GreensinRegulationPercentage",2012
27,27,"Harris English",98,67.74,1195,1764,-0.26,"GreensinRegulationPercentage",2012
28,28,"Daniel Summerhays",81,67.68,938,1386,-0.24,"GreensinRegulationPercentage",2012
29,29,"Tiger Woods",69,67.58,815,1206,-0.29,"GreensinRegulationPercentage",2012
30,30,"Bill Lunde",83,67.56,912,1350,-0.24,"GreensinRegulationPercentage",2012
31,31,"Josh Teater",97,67.5,1130,1674,-0.26,"GreensinRegulationPercentage",2012
32,32,"Webb Simpson",77,67.47,923,1368,-0.3,"GreensinRegulationPercentage",2012
33,33,"Seung Yul Noh",105,67.41,1177,1746,-0.27,"GreensinRegulationPercentage",2012
33,33,"Kyle Reifers",86,67.41,995,1476,-0.23,"GreensinRegulationPercentage",2012
35,35,"Ricky Barnes",92,67.36,1067,1584,-0.22,"GreensinRegulationPercentage",2012
