"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2015","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2015","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2015","FedExCupSeasonPointsforNonMembers_EVENTS_2015","FedExCupSeasonPointsforNonMembers_POINTS_2015","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2015","stat_name","year"
1,1,"Branden Grace",13,701,136,"FedExCupSeasonPointsforNonMembers",2015
2,2,"Patrick Rodgers",17,555,NA,"FedExCupSeasonPointsforNonMembers",2015
3,3,"Danny Willett",10,494,313,"FedExCupSeasonPointsforNonMembers",2015
4,4,"Cameron Smith",13,455,NA,"FedExCupSeasonPointsforNonMembers",2015
5,5,"Anirban Lahiri",12,301,87,"FedExCupSeasonPointsforNonMembers",2015
6,6,"Austin Cook",7,295,NA,"FedExCupSeasonPointsforNonMembers",2015
7,7,"Joost Luiten",13,283,135,"FedExCupSeasonPointsforNonMembers",2015
8,8,"Marc Warren",9,277,157,"FedExCupSeasonPointsforNonMembers",2015
9,9,"George Coetzee",7,239,113,"FedExCupSeasonPointsforNonMembers",2015
10,10,"Hiroshi Iwata",4,201,152,"FedExCupSeasonPointsforNonMembers",2015
11,11,"Bernd Wiesberger",11,194,109,"FedExCupSeasonPointsforNonMembers",2015
12,12,"Emiliano Grillo",5,191,NA,"FedExCupSeasonPointsforNonMembers",2015
13,13,"Tommy Fleetwood",7,186,147,"FedExCupSeasonPointsforNonMembers",2015
14,14,"Marcel Siem",8,156,84,"FedExCupSeasonPointsforNonMembers",2015
15,15,"Alexander Levy",8,141,100,"FedExCupSeasonPointsforNonMembers",2015
16,16,"Stephen Gallacher",11,139,78,"FedExCupSeasonPointsforNonMembers",2015
17,17,"Mikko Ilonen",8,136,122,"FedExCupSeasonPointsforNonMembers",2015
18,18,"Thomas Aiken",4,134,45,"FedExCupSeasonPointsforNonMembers",2015
19,19,"Andy Sullivan",6,122,29,"FedExCupSeasonPointsforNonMembers",2015
20,20,"Ollie Schniederjans",7,99,NA,"FedExCupSeasonPointsforNonMembers",2015
21,21,"Thorbjorn Olesen",1,96,96,"FedExCupSeasonPointsforNonMembers",2015
22,22,"Kiradech Aphibarnrat",4,94,NA,"FedExCupSeasonPointsforNonMembers",2015
23,23,"Thongchai Jaidee",10,92,71,"FedExCupSeasonPointsforNonMembers",2015
