"Total1PuttsInside5_RANKTHISWEEK_2014","Total1PuttsInside5_RANKLASTWEEK_2014","Total1PuttsInside5_PLAYERNAME_2014","Total1PuttsInside5_ROUNDS_2014","Total1PuttsInside5_TOTAL_2014","Total1PuttsInside5_TOTALFORALLDISTANCES_2014","Total1PuttsInside5_PCTOFALL1PUTTS_2014","stat_name","year"
1,1,"Jordan Spieth",102,356,659,54,"Total1PuttsInside5",2014
2,2,"Brian Harman",111,351,724,48.5,"Total1PuttsInside5",2014
3,3,"Michael Putnam",106,345,606,56.9,"Total1PuttsInside5",2014
4,4,"Brendon Todd",108,343,697,49.2,"Total1PuttsInside5",2014
5,5,"Charles Howell III",106,335,648,51.7,"Total1PuttsInside5",2014
5,5,"Cameron Tringale",111,335,673,49.8,"Total1PuttsInside5",2014
7,7,"Brendon de Jonge",109,334,634,52.7,"Total1PuttsInside5",2014
8,8,"JB Holmes",86,331,598,55.4,"Total1PuttsInside5",2014
9,9,"Chris Kirk",105,329,659,49.9,"Total1PuttsInside5",2014
10,10,"Zach Johnson",97,327,611,53.5,"Total1PuttsInside5",2014
11,11,"Brian Davis",93,323,614,52.6,"Total1PuttsInside5",2014
12,12,"Kevin Chappell",100,322,607,53,"Total1PuttsInside5",2014
12,12,"Morgan Hoffmann",103,322,671,48,"Total1PuttsInside5",2014
14,14,"William McGirt",96,319,608,52.5,"Total1PuttsInside5",2014
15,15,"Scott Langley",95,316,582,54.3,"Total1PuttsInside5",2014
16,16,"Scott Brown",100,313,606,51.7,"Total1PuttsInside5",2014
17,17,"Steven Bowditch",93,312,563,55.4,"Total1PuttsInside5",2014
18,18,"Daniel Summerhays",98,302,608,49.7,"Total1PuttsInside5",2014
19,19,"Freddie Jacobson",91,301,611,49.3,"Total1PuttsInside5",2014
20,20,"Stuart Appleby",92,294,625,47,"Total1PuttsInside5",2014
20,20,"Russell Knox",92,294,571,51.5,"Total1PuttsInside5",2014
20,20,"Camilo Villegas",95,294,600,49,"Total1PuttsInside5",2014
23,23,"Bill Haas",107,293,569,51.5,"Total1PuttsInside5",2014
24,24,"Kevin Na",94,292,586,49.8,"Total1PuttsInside5",2014
25,25,"Greg Chalmers",85,291,577,50.4,"Total1PuttsInside5",2014
26,26,"Ricky Barnes",92,290,576,50.3,"Total1PuttsInside5",2014
26,26,"Retief Goosen",94,290,564,51.4,"Total1PuttsInside5",2014
26,26,"Luke Guthrie",85,290,581,49.9,"Total1PuttsInside5",2014
29,29,"Carl Pettersson",91,286,569,50.3,"Total1PuttsInside5",2014
29,29,"Patrick Reed",92,286,544,52.6,"Total1PuttsInside5",2014
31,31,"Gonzalo Fdez Castano",83,285,526,54.2,"Total1PuttsInside5",2014
32,32,"Matt Kuchar",91,283,558,50.7,"Total1PuttsInside5",2014
33,33,"Brian Gay",81,281,497,56.5,"Total1PuttsInside5",2014
33,33,"Vijay Singh",83,281,516,54.5,"Total1PuttsInside5",2014
35,35,"David Hearn",97,280,591,47.4,"Total1PuttsInside5",2014
35,35,"Pat Perez",84,280,540,51.9,"Total1PuttsInside5",2014
37,37,"Chris Stroud",88,279,536,52.1,"Total1PuttsInside5",2014
37,37,"Tim Wilkinson",86,279,542,51.5,"Total1PuttsInside5",2014
39,39,"Brice Garnett",92,277,550,50.4,"Total1PuttsInside5",2014
40,40,"James Hahn",82,274,483,56.7,"Total1PuttsInside5",2014
41,41,"Ben Crane",81,273,558,48.9,"Total1PuttsInside5",2014
41,41,"Charley Hoffman",93,273,561,48.7,"Total1PuttsInside5",2014
43,43,"Chesson Hadley",84,272,504,54,"Total1PuttsInside5",2014
44,44,"Erik Compton",88,271,545,49.7,"Total1PuttsInside5",2014
45,45,"Seung Yul Noh",92,270,534,50.6,"Total1PuttsInside5",2014
45,45,"Ryan Palmer",85,270,517,52.2,"Total1PuttsInside5",2014
47,47,"Hunter Mahan",88,269,507,53.1,"Total1PuttsInside5",2014
47,47,"Josh Teater",90,269,492,54.7,"Total1PuttsInside5",2014
47,47,"Jimmy Walker",98,269,539,49.9,"Total1PuttsInside5",2014
47,47,"Gary Woodland",93,269,504,53.4,"Total1PuttsInside5",2014
51,51,"Justin Hicks",103,268,572,46.9,"Total1PuttsInside5",2014
51,51,"Will Ma Kenzie",82,268,512,52.3,"Total1PuttsInside5",2014
51,51,"Andres Romero",81,268,529,50.7,"Total1PuttsInside5",2014
51,51,"John Senden",99,268,556,48.2,"Total1PuttsInside5",2014
51,51,"Webb Simpson",87,268,541,49.5,"Total1PuttsInside5",2014
51,51,"Brian Stuard",91,268,545,49.2,"Total1PuttsInside5",2014
57,57,"KJ Choi",80,261,502,52,"Total1PuttsInside5",2014
58,58,"Stewart Cink",91,260,494,52.6,"Total1PuttsInside5",2014
58,58,"Brendan Steele",89,260,499,52.1,"Total1PuttsInside5",2014
60,60,"Ernie Els",85,259,474,54.6,"Total1PuttsInside5",2014
60,60,"Justin Leonard",75,259,484,53.5,"Total1PuttsInside5",2014
60,60,"Geoff Ogilvy",84,259,517,50.1,"Total1PuttsInside5",2014
63,63,"John Huh",87,257,482,53.3,"Total1PuttsInside5",2014
64,64,"Billy Hurley III",86,255,492,51.8,"Total1PuttsInside5",2014
64,64,"Charlie Wi",72,255,473,53.9,"Total1PuttsInside5",2014
66,66,"Jason Bohn",81,254,495,51.3,"Total1PuttsInside5",2014
67,67,"Jim Furyk",84,253,463,54.6,"Total1PuttsInside5",2014
