"ScoringAverageBeforeCut_RANKTHISWEEK_2007","ScoringAverageBeforeCut_RANKLASTWEEK_2007","ScoringAverageBeforeCut_PLAYERNAME_2007","ScoringAverageBeforeCut__2007","ScoringAverageBeforeCut_AVG_2007","ScoringAverageBeforeCut_TOTALSTROKES_2007","ScoringAverageBeforeCut_TOTALROUNDS_2007","stat_name","year"
1,1,"Tiger Woods",NA,69.43,2083,30,"ScoringAverageBeforeCut",2007
2,2,"Freddie Jacobson",NA,69.88,2795,40,"ScoringAverageBeforeCut",2007
3,3,"Jeff Overton",NA,69.97,2729,39,"ScoringAverageBeforeCut",2007
4,4,"Justin Rose",NA,70,2240,32,"ScoringAverageBeforeCut",2007
5,5,"Jim Furyk",NA,70.2,3159,45,"ScoringAverageBeforeCut",2007
6,6,"Heath Slocum",NA,70.21,4072,58,"ScoringAverageBeforeCut",2007
7,7,"Jay Williamson",NA,70.25,1967,28,"ScoringAverageBeforeCut",2007
8,8,"Scott Verplank",NA,70.26,3232,46,"ScoringAverageBeforeCut",2007
9,9,"Vijay Singh",NA,70.3,3726,53,"ScoringAverageBeforeCut",2007
10,10,"Tim Clark",NA,70.33,2532,36,"ScoringAverageBeforeCut",2007
11,11,"Cliff Kresge",NA,70.35,4362,62,"ScoringAverageBeforeCut",2007
12,12,"Briny Baird",NA,70.36,4503,64,"ScoringAverageBeforeCut",2007
13,13,"Phil Mickelson",NA,70.37,3026,43,"ScoringAverageBeforeCut",2007
14,14,"Alex Cejka",NA,70.39,3449,49,"ScoringAverageBeforeCut",2007
14,14,"Charlie Wi",NA,70.39,3801,54,"ScoringAverageBeforeCut",2007
16,16,"Brian Gay",NA,70.42,4648,66,"ScoringAverageBeforeCut",2007
17,17,"Cameron Beckman",NA,70.44,4156,59,"ScoringAverageBeforeCut",2007
17,17,"KJ Choi",NA,70.44,3381,48,"ScoringAverageBeforeCut",2007
19,19,"Charles Warren",NA,70.48,4299,61,"ScoringAverageBeforeCut",2007
20,20,"Michael Allen",NA,70.49,3172,45,"ScoringAverageBeforeCut",2007
21,21,"Nathan Green",NA,70.5,4230,60,"ScoringAverageBeforeCut",2007
22,22,"Craig Kanada",NA,70.51,5006,71,"ScoringAverageBeforeCut",2007
22,22,"Kevin Na",NA,70.51,3737,53,"ScoringAverageBeforeCut",2007
24,24,"Sean OHair",NA,70.54,3950,56,"ScoringAverageBeforeCut",2007
25,25,"Kenny Perry",NA,70.55,3457,49,"ScoringAverageBeforeCut",2007
26,26,"Daniel Chopra",NA,70.59,4800,68,"ScoringAverageBeforeCut",2007
27,27,"Chris Riley",NA,70.6,2471,35,"ScoringAverageBeforeCut",2007
28,28,"Tommy Armour III",NA,70.63,3602,51,"ScoringAverageBeforeCut",2007
28,28,"Bill Haas",NA,70.63,4379,62,"ScoringAverageBeforeCut",2007
30,30,"Tag Ridings",NA,70.64,2543,36,"ScoringAverageBeforeCut",2007
31,31,"Steve Stricker",NA,70.66,3109,44,"ScoringAverageBeforeCut",2007
32,32,"Ryuji Imada",NA,70.67,4523,64,"ScoringAverageBeforeCut",2007
33,33,"Bart Bryant",NA,70.7,3535,50,"ScoringAverageBeforeCut",2007
34,34,"Jesper Parnevik",NA,70.71,3960,56,"ScoringAverageBeforeCut",2007
35,35,"Stewart Cink",NA,70.75,3396,48,"ScoringAverageBeforeCut",2007
36,36,"Aaron Baddeley",NA,70.76,3184,45,"ScoringAverageBeforeCut",2007
37,37,"Brian Davis",NA,70.78,4176,59,"ScoringAverageBeforeCut",2007
37,37,"Sergio Garcia",NA,70.78,2548,36,"ScoringAverageBeforeCut",2007
39,39,"Jeff Gove",NA,70.79,4460,63,"ScoringAverageBeforeCut",2007
39,39,"Tom Lehman",NA,70.79,2761,39,"ScoringAverageBeforeCut",2007
39,39,"Michael Sim",NA,70.79,2407,34,"ScoringAverageBeforeCut",2007
42,42,"Ernie Els",NA,70.8,2124,30,"ScoringAverageBeforeCut",2007
42,42,"Steve Lowery",NA,70.8,3257,46,"ScoringAverageBeforeCut",2007
44,44,"Stephen Ames",NA,70.81,3045,43,"ScoringAverageBeforeCut",2007
44,44,"Kevin Sutherland",NA,70.81,3753,53,"ScoringAverageBeforeCut",2007
46,46,"Jason Gore",NA,70.82,3895,55,"ScoringAverageBeforeCut",2007
47,47,"Arron Oberholser",NA,70.83,2550,36,"ScoringAverageBeforeCut",2007
48,48,"Steve Allan",NA,70.84,2621,37,"ScoringAverageBeforeCut",2007
49,49,"Michael Putnam",NA,70.85,4180,59,"ScoringAverageBeforeCut",2007
50,50,"Camilo Villegas",NA,70.86,3472,49,"ScoringAverageBeforeCut",2007
51,51,"Will Ma Kenzie",NA,70.87,4323,61,"ScoringAverageBeforeCut",2007
52,52,"Ryan Armour",NA,70.88,4749,67,"ScoringAverageBeforeCut",2007
52,52,"Woody Austin",NA,70.88,3969,56,"ScoringAverageBeforeCut",2007
52,52,"Mark Hensby",NA,70.88,3615,51,"ScoringAverageBeforeCut",2007
52,52,"Steve Marino",NA,70.88,4607,65,"ScoringAverageBeforeCut",2007
56,56,"Padraig Harrington",NA,70.89,2481,35,"ScoringAverageBeforeCut",2007
56,56,"Carl Pettersson",NA,70.89,4395,62,"ScoringAverageBeforeCut",2007
56,56,"Bo Van Pelt",NA,70.89,4324,61,"ScoringAverageBeforeCut",2007
