"LeftRoughTendency_RANKTHISWEEK_2012","LeftRoughTendency_RANKLASTWEEK_2012","LeftRoughTendency_PLAYERNAME_2012","LeftRoughTendency_ROUNDS_2012","LeftRoughTendency_Pct_2012","LeftRoughTendency_TOTALLEFTROUGH_2012","LeftRoughTendency_POSSIBLEFWYS_2012","LeftRoughTendency_RELATIVETOPAR_2012","stat_name","year"
1,1,"Heath Slocum",93,8.25,86,1043,0.3,"LeftRoughTendency",2012
2,2,"Mark Wilson",84,8.71,82,941,0.1,"LeftRoughTendency",2012
3,3,"Chris DiMarco",83,9.71,97,999,0.27,"LeftRoughTendency",2012
4,4,"Jerry Kelly",84,9.97,101,1013,0.08,"LeftRoughTendency",2012
5,5,"Chris Couch",61,10.2,76,745,0.07,"LeftRoughTendency",2012
6,6,"Scott Dunlap",57,10.45,67,641,0.19,"LeftRoughTendency",2012
6,6,"John Mallinger",74,10.45,91,871,0.09,"LeftRoughTendency",2012
8,8,"Gary Christian",91,10.54,110,1044,0.32,"LeftRoughTendency",2012
9,9,"Graeme McDowell",55,10.73,57,531,0.11,"LeftRoughTendency",2012
10,10,"Tim Clark",60,10.79,75,695,0.2,"LeftRoughTendency",2012
11,11,"Bill Haas",79,10.84,92,849,0.13,"LeftRoughTendency",2012
12,12,"Ian Poulter",57,10.96,58,529,0.16,"LeftRoughTendency",2012
13,13,"Ken Duke",104,11.04,138,1250,0.04,"LeftRoughTendency",2012
13,13,"Boo Weekley",74,11.04,89,806,0.13,"LeftRoughTendency",2012
15,15,"Russell Knox",72,11.05,86,778,-0.03,"LeftRoughTendency",2012
16,16,"Trevor Immelman",76,11.1,88,793,0.07,"LeftRoughTendency",2012
17,17,"Chez Reavie",83,11.11,102,918,0.17,"LeftRoughTendency",2012
18,18,"David Toms",60,11.13,68,611,0.22,"LeftRoughTendency",2012
19,19,"Kris Blanks",65,11.16,93,833,0.09,"LeftRoughTendency",2012
19,19,"Bryce Molder",83,11.16,110,986,0.05,"LeftRoughTendency",2012
21,21,"Blake Adams",107,11.21,137,1222,0.1,"LeftRoughTendency",2012
21,21,"Hunter Mahan",88,11.21,100,892,0.16,"LeftRoughTendency",2012
23,23,"Josh Teater",97,11.26,129,1146,-0.05,"LeftRoughTendency",2012
24,24,"John Huh",99,11.31,134,1185,0.05,"LeftRoughTendency",2012
25,25,"Jason Dufner",83,11.4,101,886,0.08,"LeftRoughTendency",2012
