"GreensorFringeinRegulation_RANKTHISWEEK_2013","GreensorFringeinRegulation_RANKLASTWEEK_2013","GreensorFringeinRegulation_PLAYERNAME_2013","GreensorFringeinRegulation_ROUNDS_2013","GreensorFringeinRegulation_Pct_2013","GreensorFringeinRegulation_TOTALHIT_2013","GreensorFringeinRegulation_TOTALATTEMPTS_2013","GreensorFringeinRegulation_RTPSCORE_2013","stat_name","year"
1,1,"Henrik Stenson",65,77.02,610,792,-162,"GreensorFringeinRegulation",2013
2,2,"Steve Stricker",51,76.19,480,630,-153,"GreensorFringeinRegulation",2013
3,3,"Graham DeLaet",94,75.65,1103,1458,-271,"GreensorFringeinRegulation",2013
4,4,"Bubba Watson",76,75.14,798,1062,-217,"GreensorFringeinRegulation",2013
5,5,"Justin Rose",62,74.76,619,828,-170,"GreensorFringeinRegulation",2013
6,6,"Adam Scott",61,74.49,590,792,-158,"GreensorFringeinRegulation",2013
7,7,"Jim Furyk",80,74.48,858,1152,-217,"GreensorFringeinRegulation",2013
8,8,"Ricky Barnes",74,74.27,869,1170,-160,"GreensorFringeinRegulation",2013
9,9,"Bill Haas",85,74.15,921,1242,-227,"GreensorFringeinRegulation",2013
10,10,"Sergio Garcia",65,74,626,846,-175,"GreensorFringeinRegulation",2013
11,11,"Zach Johnson",84,73.63,888,1206,-227,"GreensorFringeinRegulation",2013
12,12,"Hunter Mahan",91,73.45,899,1224,-235,"GreensorFringeinRegulation",2013
13,13,"Nick Watney",88,73.44,965,1314,-232,"GreensorFringeinRegulation",2013
14,14,"Justin Hicks",79,73.4,872,1188,-182,"GreensorFringeinRegulation",2013
15,15,"Kevin Stadler",83,73.19,909,1242,-242,"GreensorFringeinRegulation",2013
16,16,"Lucas Glover",65,73.18,685,936,-143,"GreensorFringeinRegulation",2013
17,17,"Brendon de Jonge",110,73.08,1276,1746,-312,"GreensorFringeinRegulation",2013
18,18,"Boo Weekley",100,73.03,1091,1494,-243,"GreensorFringeinRegulation",2013
19,19,"KJ Choi",85,73.02,828,1134,-181,"GreensorFringeinRegulation",2013
20,20,"Keegan Bradley",88,72.99,946,1296,-277,"GreensorFringeinRegulation",2013
21,21,"Jim Herman",59,72.85,577,792,-123,"GreensorFringeinRegulation",2013
22,22,"Rory Sabbatini",86,72.84,944,1296,-259,"GreensorFringeinRegulation",2013
23,23,"Vijay Singh",61,72.8,629,864,-106,"GreensorFringeinRegulation",2013
24,24,"JJ Henry",83,72.67,968,1332,-194,"GreensorFringeinRegulation",2013
25,25,"Nicholas Thompson",99,72.55,1123,1548,-258,"GreensorFringeinRegulation",2013
26,26,"Billy Horschel",96,72.49,1083,1494,-303,"GreensorFringeinRegulation",2013
27,27,"Roberto Castro",97,72.29,1093,1512,-255,"GreensorFringeinRegulation",2013
28,28,"Jason Dufner",78,72.22,793,1098,-186,"GreensorFringeinRegulation",2013
28,28,"Dustin Johnson",71,72.22,663,918,-188,"GreensorFringeinRegulation",2013
30,30,"John Merrick",79,72.14,883,1224,-219,"GreensorFringeinRegulation",2013
31,31,"John Huh",88,71.93,971,1350,-218,"GreensorFringeinRegulation",2013
32,32,"Stewart Cink",71,71.83,724,1008,-169,"GreensorFringeinRegulation",2013
32,32,"Jeff Maggert",63,71.83,737,1026,-153,"GreensorFringeinRegulation",2013
34,34,"Lee Westwood",70,71.79,659,918,-149,"GreensorFringeinRegulation",2013
35,35,"DJ Trahan",48,71.78,491,684,-105,"GreensorFringeinRegulation",2013
36,36,"Nicolas Colsaerts",50,71.76,465,648,-91,"GreensorFringeinRegulation",2013
36,36,"Kyle Stanley",71,71.76,775,1080,-161,"GreensorFringeinRegulation",2013
38,38,"Matt Kuchar",93,71.74,891,1242,-260,"GreensorFringeinRegulation",2013
39,39,"John Rollins",77,71.73,878,1224,-208,"GreensorFringeinRegulation",2013
40,40,"Jordan Spieth",82,71.72,865,1206,-258,"GreensorFringeinRegulation",2013
41,41,"Chad Campbell",78,71.68,929,1296,-210,"GreensorFringeinRegulation",2013
42,42,"Webb Simpson",92,71.67,903,1260,-252,"GreensorFringeinRegulation",2013
43,43,"Mark Wilson",56,71.56,644,900,-123,"GreensorFringeinRegulation",2013
44,44,"Charles Howell III",87,71.53,1030,1440,-267,"GreensorFringeinRegulation",2013
45,45,"Kevin Chappell",80,71.48,862,1206,-206,"GreensorFringeinRegulation",2013
