"FedExCupPlayoffsPoints_RANKTHISWEEK_2015","FedExCupPlayoffsPoints_RANKLASTWEEK_2015","FedExCupPlayoffsPoints_PLAYERNAME_2015","FedExCupPlayoffsPoints_EVENTS_2015","FedExCupPlayoffsPoints_POINTS_2015","FedExCupPlayoffsPoints_OFWINS_2015","FedExCupPlayoffsPoints_OFTOP10S_2015","FedExCupPlayoffsPoints_POINTSBEHINDLEAD_2015","FedExCupPlayoffsPoints_RESETPOINTS_2015","stat_name","year"
1,1,"Jordan Spieth",25,3800,5,15,NA,1800,"FedExCupPlayoffsPoints",2015
2,2,"Henrik Stenson",16,2307,NA,8,1493,1440,"FedExCupPlayoffsPoints",2015
3,3,"Jason Day",20,2290,5,11,1510,2000,"FedExCupPlayoffsPoints",2015
4,4,"Rickie Fowler",21,1838,2,7,1962,1600,"FedExCupPlayoffsPoints",2015
5,5,"Bubba Watson",19,1680,2,10,2120,1280,"FedExCupPlayoffsPoints",2015
6,6,"Zach Johnson",25,1450,1,10,2350,1120,"FedExCupPlayoffsPoints",2015
7,7,"Dustin Johnson",21,1360,1,11,2440,960,"FedExCupPlayoffsPoints",2015
8,8,"Justin Rose",20,1235,1,8,2565,368,"FedExCupPlayoffsPoints",2015
9,9,"Danny Lee",36,1123,1,8,2677,256,"FedExCupPlayoffsPoints",2015
10,10,"Charley Hoffman",28,992,1,7,2808,800,"FedExCupPlayoffsPoints",2015
11,11,"Daniel Berger",31,878,NA,6,2922,640,"FedExCupPlayoffsPoints",2015
12,12,"Patrick Reed",27,656,1,4,3144,480,"FedExCupPlayoffsPoints",2015
13,13,"Paul Casey",24,632,NA,8,3168,232,"FedExCupPlayoffsPoints",2015
14,14,"JB Holmes",25,618,1,7,3182,288,"FedExCupPlayoffsPoints",2015
15,15,"Rory McIlroy",12,602,2,7,3198,384,"FedExCupPlayoffsPoints",2015
16,16,"Hideki Matsuyama",25,558,NA,9,3242,320,"FedExCupPlayoffsPoints",2015
