"BirdieorBetterPercentageRightRough_RANKTHISWEEK_2012","BirdieorBetterPercentageRightRough_RANKLASTWEEK_2012","BirdieorBetterPercentageRightRough_PLAYERNAME_2012","BirdieorBetterPercentageRightRough_ROUNDS_2012","BirdieorBetterPercentageRightRough_Pct_2012","BirdieorBetterPercentageRightRough_TOTALBIRDIES_2012","BirdieorBetterPercentageRightRough_TOTALHOLES_2012","stat_name","year"
1,1,"Webb Simpson",77,31.82,35,110,"BirdieorBetterPercentageRightRough",2012
2,2,"Ben Crane",73,25,26,104,"BirdieorBetterPercentageRightRough",2012
3,3,"Dustin Johnson",70,24.07,26,108,"BirdieorBetterPercentageRightRough",2012
4,4,"Steve Stricker",73,23.46,19,81,"BirdieorBetterPercentageRightRough",2012
5,5,"Chris Couch",61,22.77,23,101,"BirdieorBetterPercentageRightRough",2012
6,6,"Sergio Garcia",57,22.37,17,76,"BirdieorBetterPercentageRightRough",2012
7,7,"Sangmoon Bae",81,21.88,28,128,"BirdieorBetterPercentageRightRough",2012
8,8,"Kyle Stanley",86,21.66,34,157,"BirdieorBetterPercentageRightRough",2012
9,9,"Matt Every",80,21.19,25,118,"BirdieorBetterPercentageRightRough",2012
10,10,"Jason Day",57,21.05,24,114,"BirdieorBetterPercentageRightRough",2012
11,11,"Seung Yul Noh",105,19.88,32,161,"BirdieorBetterPercentageRightRough",2012
12,12,"Bubba Watson",68,19.83,23,116,"BirdieorBetterPercentageRightRough",2012
13,13,"Robert Karlsson",54,19.79,19,96,"BirdieorBetterPercentageRightRough",2012
14,14,"Patrick Sheehan",58,19.57,18,92,"BirdieorBetterPercentageRightRough",2012
14,14,"Bo Van Pelt",84,19.57,18,92,"BirdieorBetterPercentageRightRough",2012
16,16,"Louis Oosthuizen",65,19.54,17,87,"BirdieorBetterPercentageRightRough",2012
17,17,"Ben Curtis",62,19.4,13,67,"BirdieorBetterPercentageRightRough",2012
18,18,"Charlie Beljan",61,19.39,19,98,"BirdieorBetterPercentageRightRough",2012
19,19,"Angel Cabrera",54,19.18,14,73,"BirdieorBetterPercentageRightRough",2012
20,20,"JB Holmes",90,19.13,35,183,"BirdieorBetterPercentageRightRough",2012
21,21,"Chris Stroud",86,19.08,25,131,"BirdieorBetterPercentageRightRough",2012
22,22,"Gavin Coles",72,18.99,15,79,"BirdieorBetterPercentageRightRough",2012
23,23,"Tommy Gainey",98,18.92,35,185,"BirdieorBetterPercentageRightRough",2012
24,24,"Scott Brown",65,18.68,17,91,"BirdieorBetterPercentageRightRough",2012
25,25,"John Huh",99,18.66,25,134,"BirdieorBetterPercentageRightRough",2012
26,26,"Marco Dawson",60,18.42,14,76,"BirdieorBetterPercentageRightRough",2012
27,27,"Ryan Moore",89,18.32,24,131,"BirdieorBetterPercentageRightRough",2012
28,28,"Sean OHair",84,18,27,150,"BirdieorBetterPercentageRightRough",2012
29,29,"Kevin Na",80,17.92,19,106,"BirdieorBetterPercentageRightRough",2012
30,30,"Bud Cauley",99,17.76,27,152,"BirdieorBetterPercentageRightRough",2012
31,31,"DA Points",88,17.73,25,141,"BirdieorBetterPercentageRightRough",2012
32,32,"Erik Compton",81,17.52,24,137,"BirdieorBetterPercentageRightRough",2012
33,33,"William McGirt",96,17.45,26,149,"BirdieorBetterPercentageRightRough",2012
34,34,"Stewart Cink",71,17.42,23,132,"BirdieorBetterPercentageRightRough",2012
35,35,"Garth Mulroy",59,17.33,13,75,"BirdieorBetterPercentageRightRough",2012
36,36,"Graham DeLaet",79,17.29,23,133,"BirdieorBetterPercentageRightRough",2012
37,37,"Brandt Jobe",57,17.28,14,81,"BirdieorBetterPercentageRightRough",2012
38,38,"Roland Thatcher",55,17.14,12,70,"BirdieorBetterPercentageRightRough",2012
39,39,"Robert Garrigus",89,17.11,26,152,"BirdieorBetterPercentageRightRough",2012
40,40,"Adam Scott",59,17.02,16,94,"BirdieorBetterPercentageRightRough",2012
41,41,"Andres Romero",68,16.98,18,106,"BirdieorBetterPercentageRightRough",2012
42,42,"Harris English",98,16.94,31,183,"BirdieorBetterPercentageRightRough",2012
43,43,"Phil Mickelson",79,16.83,17,101,"BirdieorBetterPercentageRightRough",2012
44,44,"Rickie Fowler",84,16.82,18,107,"BirdieorBetterPercentageRightRough",2012
45,45,"Keegan Bradley",90,16.79,22,131,"BirdieorBetterPercentageRightRough",2012
46,46,"Scott Dunlap",57,16.67,16,96,"BirdieorBetterPercentageRightRough",2012
47,47,"Cameron Beckman",81,16.54,22,133,"BirdieorBetterPercentageRightRough",2012
48,48,"John Daly",50,16.25,13,80,"BirdieorBetterPercentageRightRough",2012
49,49,"Will Claxton",99,16.15,21,130,"BirdieorBetterPercentageRightRough",2012
50,50,"Jhonattan Vegas",77,16.11,24,149,"BirdieorBetterPercentageRightRough",2012
51,51,"Tim Herron",88,16.03,25,156,"BirdieorBetterPercentageRightRough",2012
52,52,"Jonathan Byrd",69,16,16,100,"BirdieorBetterPercentageRightRough",2012
53,53,"Scott Piercy",95,15.98,31,194,"BirdieorBetterPercentageRightRough",2012
54,54,"Johnson Wagner",88,15.91,21,132,"BirdieorBetterPercentageRightRough",2012
55,55,"Aaron Baddeley",73,15.87,20,126,"BirdieorBetterPercentageRightRough",2012
56,56,"Jeff Overton",101,15.82,31,196,"BirdieorBetterPercentageRightRough",2012
57,57,"Greg Chalmers",88,15.79,24,152,"BirdieorBetterPercentageRightRough",2012
57,57,"Greg Owen",90,15.79,27,171,"BirdieorBetterPercentageRightRough",2012
59,59,"Chris Kirk",93,15.68,29,185,"BirdieorBetterPercentageRightRough",2012
