"Front9ScoringAverage_RANKTHISWEEK_2016","Front9ScoringAverage_RANKLASTWEEK_2016","Front9ScoringAverage_PLAYERNAME_2016","Front9ScoringAverage_ROUNDS_2016","Front9ScoringAverage_AVG_2016","Front9ScoringAverage_TOTALSTROKES_2016","Front9ScoringAverage_TOTALHOLES_2016","stat_name","year"
1,1,"Rickie Fowler",42,34.54,1347,39,"Front9ScoringAverage",2016
2,13,"Rory McIlroy",37,34.73,1042,30,"Front9ScoringAverage",2016
2,5,"Jordan Spieth",34,34.73,1042,30,"Front9ScoringAverage",2016
4,6,"Dustin Johnson",37,34.75,1112,32,"Front9ScoringAverage",2016
4,2,"Jamie Lovemark",57,34.75,1981,57,"Front9ScoringAverage",2016
4,11,"Justin Rose",35,34.75,1112,32,"Front9ScoringAverage",2016
7,3,"Kevin Kisner",49,34.76,1599,46,"Front9ScoringAverage",2016
7,4,"Phil Mickelson",37,34.76,1182,34,"Front9ScoringAverage",2016
9,9,"Jason Dufner",53,34.78,1739,50,"Front9ScoringAverage",2016
10,11,"Branden Grace",31,34.79,974,28,"Front9ScoringAverage",2016
11,6,"Charles Howell III",63,34.81,2193,63,"Front9ScoringAverage",2016
12,14,"Kevin Na",52,34.86,1708,49,"Front9ScoringAverage",2016
13,8,"Alex Cejka",47,34.89,1640,47,"Front9ScoringAverage",2016
13,18,"Russell Knox",48,34.89,1570,45,"Front9ScoringAverage",2016
15,9,"Luke Donald",49,34.9,1710,49,"Front9ScoringAverage",2016
16,20,"Jason Day",36,34.93,1013,29,"Front9ScoringAverage",2016
16,20,"Bubba Watson",30,34.93,943,27,"Front9ScoringAverage",2016
18,19,"William McGirt",54,34.94,1887,54,"Front9ScoringAverage",2016
19,24,"Smylie Kaufman",57,34.96,1888,54,"Front9ScoringAverage",2016
20,26,"Tony Finau",49,34.98,1714,49,"Front9ScoringAverage",2016
21,26,"Marc Leishman",41,35,1330,38,"Front9ScoringAverage",2016
