"Back9ScoringAverage_RANKTHISWEEK_2009","Back9ScoringAverage_RANKLASTWEEK_2009","Back9ScoringAverage_PLAYERNAME_2009","Back9ScoringAverage_ROUNDS_2009","Back9ScoringAverage_AVG_2009","Back9ScoringAverage_TOTALSTROKES_2009","Back9ScoringAverage_TOTALHOLES_2009","stat_name","year"
1,1,"Tiger Woods",64,34.31,2127,62,"Back9ScoringAverage",2009
2,2,"Steve Stricker",81,34.66,2738,79,"Back9ScoringAverage",2009
3,3,"Zach Johnson",94,34.78,3200,92,"Back9ScoringAverage",2009
3,3,"Tag Ridings",50,34.78,1739,50,"Back9ScoringAverage",2009
3,3,"David Toms",98,34.78,3408,98,"Back9ScoringAverage",2009
6,6,"Tim Clark",81,34.85,2718,78,"Back9ScoringAverage",2009
7,7,"Jim Furyk",86,34.92,2898,83,"Back9ScoringAverage",2009
7,7,"Steve Marino",98,34.92,3422,98,"Back9ScoringAverage",2009
7,7,"John Senden",100,34.92,3492,100,"Back9ScoringAverage",2009
10,10,"Jonathan Byrd",89,34.93,3109,89,"Back9ScoringAverage",2009
11,11,"Spencer Levin",75,34.96,2622,75,"Back9ScoringAverage",2009
12,12,"Scott Verplank",88,34.98,3078,88,"Back9ScoringAverage",2009
13,13,"Dustin Johnson",85,34.99,2939,84,"Back9ScoringAverage",2009
14,14,"Greg Chalmers",85,35.01,2976,85,"Back9ScoringAverage",2009
15,15,"Justin Leonard",95,35.02,3187,91,"Back9ScoringAverage",2009
15,15,"YE Yang",83,35.02,2907,83,"Back9ScoringAverage",2009
17,17,"Bill Haas",91,35.03,3188,91,"Back9ScoringAverage",2009
17,17,"Ryan Moore",89,35.03,3118,89,"Back9ScoringAverage",2009
19,19,"Matt Jones",56,35.04,1962,56,"Back9ScoringAverage",2009
19,19,"Joe Ogilvie",85,35.04,2978,85,"Back9ScoringAverage",2009
21,21,"Jason Day",61,35.05,2138,61,"Back9ScoringAverage",2009
21,21,"Harrison Frazar",93,35.05,3260,93,"Back9ScoringAverage",2009
23,23,"Bob Heintz",59,35.07,2069,59,"Back9ScoringAverage",2009
24,24,"DA Points",99,35.08,3473,99,"Back9ScoringAverage",2009
24,24,"Patrick Sheehan",51,35.08,1789,51,"Back9ScoringAverage",2009
26,26,"Chad Campbell",90,35.09,3158,90,"Back9ScoringAverage",2009
27,27,"Matt Kuchar",82,35.1,2878,82,"Back9ScoringAverage",2009
27,27,"Hunter Mahan",94,35.1,3229,92,"Back9ScoringAverage",2009
29,29,"Brian Gay",96,35.11,3371,96,"Back9ScoringAverage",2009
29,29,"Jerry Kelly",90,35.11,3160,90,"Back9ScoringAverage",2009
29,29,"Mike Weir",85,35.11,2949,84,"Back9ScoringAverage",2009
32,32,"Bill Lunde",83,35.12,2915,83,"Back9ScoringAverage",2009
33,33,"Ben Crane",93,35.13,3267,93,"Back9ScoringAverage",2009
34,34,"Geoff Ogilvy",78,35.14,2530,72,"Back9ScoringAverage",2009
35,35,"Angel Cabrera",55,35.15,1898,54,"Back9ScoringAverage",2009
36,36,"Jason Bohn",88,35.17,3095,88,"Back9ScoringAverage",2009
36,36,"Fred Couples",54,35.17,1899,54,"Back9ScoringAverage",2009
36,36,"Luke Donald",79,35.17,2673,76,"Back9ScoringAverage",2009
36,36,"Lucas Glover",93,35.17,3271,93,"Back9ScoringAverage",2009
40,40,"Jason Dufner",90,35.18,3166,90,"Back9ScoringAverage",2009
40,40,"Greg Owen",97,35.18,3412,97,"Back9ScoringAverage",2009
40,40,"Rory Sabbatini",81,35.18,2814,80,"Back9ScoringAverage",2009
43,43,"Vaughn Taylor",88,35.19,3097,88,"Back9ScoringAverage",2009
43,43,"Camilo Villegas",76,35.19,2569,73,"Back9ScoringAverage",2009
45,45,"Rich Beem",77,35.22,2712,77,"Back9ScoringAverage",2009
46,46,"Kenny Perry",92,35.23,3206,91,"Back9ScoringAverage",2009
