"Round3ScoringAverage_RANKTHISWEEK_2007","Round3ScoringAverage_RANKLASTWEEK_2007","Round3ScoringAverage_PLAYERNAME_2007","Round3ScoringAverage__2007","Round3ScoringAverage_AVG_2007","Round3ScoringAverage_TOTALSTROKES_2007","Round3ScoringAverage_TOTALROUNDS_2007","stat_name","year"
1,1,"Steve Stricker",NA,68.56,1234,18,"Round3ScoringAverage",2007
2,2,"Tiger Woods",NA,68.73,1031,15,"Round3ScoringAverage",2007
3,3,"Jonathan Byrd",NA,69.15,899,13,"Round3ScoringAverage",2007
4,4,"Bo Van Pelt",NA,69.18,1522,22,"Round3ScoringAverage",2007
5,5,"Sergio Garcia",NA,69.6,1044,15,"Round3ScoringAverage",2007
6,6,"Dean Wilson",NA,69.67,1254,18,"Round3ScoringAverage",2007
7,7,"Justin Rose",NA,69.71,976,14,"Round3ScoringAverage",2007
8,8,"Paul Stankowski",NA,69.75,558,8,"Round3ScoringAverage",2007
9,9,"Nick OHern",NA,69.77,907,13,"Round3ScoringAverage",2007
10,10,"Jose Coceres",NA,69.78,628,9,"Round3ScoringAverage",2007
11,11,"JB Holmes",NA,69.83,838,12,"Round3ScoringAverage",2007
12,12,"Lucas Glover",NA,69.86,1467,21,"Round3ScoringAverage",2007
13,13,"Brandt Snedeker",NA,69.87,1607,23,"Round3ScoringAverage",2007
14,14,"Bob Estes",NA,69.88,1118,16,"Round3ScoringAverage",2007
15,15,"Hunter Mahan",NA,69.89,1258,18,"Round3ScoringAverage",2007
16,16,"Kenny Perry",NA,69.94,1259,18,"Round3ScoringAverage",2007
16,16,"Rory Sabbatini",NA,69.94,1259,18,"Round3ScoringAverage",2007
18,18,"Boo Weekley",NA,69.95,1539,22,"Round3ScoringAverage",2007
19,19,"Aaron Baddeley",NA,70.11,1262,18,"Round3ScoringAverage",2007
20,20,"Briny Baird",NA,70.15,1824,26,"Round3ScoringAverage",2007
21,21,"Justin Leonard",NA,70.16,1333,19,"Round3ScoringAverage",2007
22,22,"Mark Wilson",NA,70.17,1263,18,"Round3ScoringAverage",2007
23,23,"Heath Slocum",NA,70.18,1544,22,"Round3ScoringAverage",2007
24,24,"Johnson Wagner",NA,70.2,1053,15,"Round3ScoringAverage",2007
25,25,"Jeff Quinney",NA,70.22,1264,18,"Round3ScoringAverage",2007
26,26,"Woody Austin",NA,70.25,1405,20,"Round3ScoringAverage",2007
26,26,"KJ Choi",NA,70.25,1405,20,"Round3ScoringAverage",2007
28,28,"Steve Elkington",NA,70.26,1335,19,"Round3ScoringAverage",2007
28,28,"Steve Flesch",NA,70.26,1335,19,"Round3ScoringAverage",2007
28,28,"Billy Mayfair",NA,70.26,1335,19,"Round3ScoringAverage",2007
31,31,"Geoff Ogilvy",NA,70.28,1265,18,"Round3ScoringAverage",2007
31,31,"Scott Verplank",NA,70.28,1265,18,"Round3ScoringAverage",2007
33,33,"Matt Kuchar",NA,70.31,1125,16,"Round3ScoringAverage",2007
33,33,"Kevin Na",NA,70.31,1125,16,"Round3ScoringAverage",2007
33,33,"Pat Perez",NA,70.31,1125,16,"Round3ScoringAverage",2007
36,36,"Ken Duke",NA,70.32,1758,25,"Round3ScoringAverage",2007
37,37,"Phil Mickelson",NA,70.33,1055,15,"Round3ScoringAverage",2007
37,37,"Tom Pernice Jr",NA,70.33,1477,21,"Round3ScoringAverage",2007
37,37,"Tim Petrovic",NA,70.33,1477,21,"Round3ScoringAverage",2007
40,40,"Jeff Overton",NA,70.36,774,11,"Round3ScoringAverage",2007
41,41,"Cameron Beckman",NA,70.37,1337,19,"Round3ScoringAverage",2007
42,42,"Chris Riley",NA,70.38,915,13,"Round3ScoringAverage",2007
43,43,"Troy Matteson",NA,70.39,1267,18,"Round3ScoringAverage",2007
44,44,"Peter Lonard",NA,70.4,1056,15,"Round3ScoringAverage",2007
45,45,"Zach Johnson",NA,70.41,1197,17,"Round3ScoringAverage",2007
46,46,"Andrew Buckle",NA,70.42,845,12,"Round3ScoringAverage",2007
47,47,"Anthony Kim",NA,70.45,1409,20,"Round3ScoringAverage",2007
47,47,"Sean OHair",NA,70.45,1550,22,"Round3ScoringAverage",2007
49,49,"Luke Donald",NA,70.47,1057,15,"Round3ScoringAverage",2007
50,50,"Adam Scott",NA,70.5,1128,16,"Round3ScoringAverage",2007
51,51,"Jeff Maggert",NA,70.53,1058,15,"Round3ScoringAverage",2007
52,52,"Vijay Singh",NA,70.54,1693,24,"Round3ScoringAverage",2007
53,53,"Brian Davis",NA,70.57,1623,23,"Round3ScoringAverage",2007
53,53,"Ernie Els",NA,70.57,988,14,"Round3ScoringAverage",2007
55,55,"Jason Bohn",NA,70.58,847,12,"Round3ScoringAverage",2007
55,55,"Fred Funk",NA,70.58,847,12,"Round3ScoringAverage",2007
57,57,"John Rollins",NA,70.59,1553,22,"Round3ScoringAverage",2007
58,58,"George McNeill",NA,70.61,1271,18,"Round3ScoringAverage",2007
59,59,"Kent Jones",NA,70.63,1342,19,"Round3ScoringAverage",2007
60,60,"Tim Clark",NA,70.64,989,14,"Round3ScoringAverage",2007
61,61,"Stephen Leaney",NA,70.69,1131,16,"Round3ScoringAverage",2007
61,61,"Shigeki Maruyama",NA,70.69,919,13,"Round3ScoringAverage",2007
63,63,"Robert Garrigus",NA,70.7,1414,20,"Round3ScoringAverage",2007
64,64,"Charles Warren",NA,70.71,1485,21,"Round3ScoringAverage",2007
65,65,"David Toms",NA,70.72,1273,18,"Round3ScoringAverage",2007
66,66,"Jeff Gove",NA,70.73,1556,22,"Round3ScoringAverage",2007
66,66,"Steve Marino",NA,70.73,1556,22,"Round3ScoringAverage",2007
66,66,"Jay Williamson",NA,70.73,778,11,"Round3ScoringAverage",2007
69,69,"Stewart Cink",NA,70.75,1415,20,"Round3ScoringAverage",2007
69,69,"Joe Durant",NA,70.75,1132,16,"Round3ScoringAverage",2007
71,71,"Stephen Ames",NA,70.76,1203,17,"Round3ScoringAverage",2007
71,71,"Mathias Gronberg",NA,70.76,1203,17,"Round3ScoringAverage",2007
73,73,"Cliff Kresge",NA,70.78,1628,23,"Round3ScoringAverage",2007
73,73,"Vaughn Taylor",NA,70.78,1274,18,"Round3ScoringAverage",2007
75,75,"Steve Allan",NA,70.79,991,14,"Round3ScoringAverage",2007
75,75,"Jim Furyk",NA,70.79,1345,19,"Round3ScoringAverage",2007
77,77,"Carl Pettersson",NA,70.8,1770,25,"Round3ScoringAverage",2007
78,78,"Bill Haas",NA,70.81,1133,16,"Round3ScoringAverage",2007
79,79,"Robert Allenby",NA,70.82,1204,17,"Round3ScoringAverage",2007
80,80,"Jesper Parnevik",NA,70.83,1275,18,"Round3ScoringAverage",2007
81,81,"Alex Cejka",NA,70.88,1134,16,"Round3ScoringAverage",2007
81,81,"Daisuke Maruyama",NA,70.88,1134,16,"Round3ScoringAverage",2007
83,83,"Mark Brooks",NA,70.89,638,9,"Round3ScoringAverage",2007
83,83,"Ted Purdy",NA,70.89,1347,19,"Round3ScoringAverage",2007
85,85,"Paul Gow",NA,70.9,709,10,"Round3ScoringAverage",2007
86,86,"Dicky Pride",NA,70.91,780,11,"Round3ScoringAverage",2007
87,87,"Bubba Watson",NA,70.93,1064,15,"Round3ScoringAverage",2007
88,88,"Will Ma Kenzie",NA,70.95,1419,20,"Round3ScoringAverage",2007
89,89,"Stuart Appleby",NA,71,994,14,"Round3ScoringAverage",2007
89,89,"Bart Bryant",NA,71,1349,19,"Round3ScoringAverage",2007
