"OfficialWorldGolfRanking_RANKTHISWEEK_2013","OfficialWorldGolfRanking_RANKLASTWEEK_2013","OfficialWorldGolfRanking_PLAYERNAME_2013","OfficialWorldGolfRanking_EVENTS_2013","OfficialWorldGolfRanking_AVGPOINTS_2013","OfficialWorldGolfRanking_TOTALPOINTS_2013","OfficialWorldGolfRanking_POINTSLOST_2013","OfficialWorldGolfRanking_POINTSGAINED_2013","OfficialWorldGolfRanking_COUNTRY_2013","stat_name","year"
1,1,"Tiger Woods",42,12.84,539.18,-244.58,442.45,NA,"OfficialWorldGolfRanking",2013
2,2,"Adam Scott",40,9.27,370.86,-182.39,292.54,NA,"OfficialWorldGolfRanking",2013
3,3,"Phil Mickelson",48,8.51,408.59,-168.12,346.85,NA,"OfficialWorldGolfRanking",2013
4,4,"Henrik Stenson",52,8.15,423.58,-68.22,380.78,NA,"OfficialWorldGolfRanking",2013
5,5,"Justin Rose",52,7.54,392.1,-223.94,281.16,NA,"OfficialWorldGolfRanking",2013
6,6,"Rory McIlroy",47,7.31,343.44,-368.73,90.85,NA,"OfficialWorldGolfRanking",2013
7,7,"Steve Stricker",40,6.72,268.61,-148.75,226.75,NA,"OfficialWorldGolfRanking",2013
8,8,"Matt Kuchar",51,6.58,335.41,-181.46,290.53,NA,"OfficialWorldGolfRanking",2013
9,9,"Brandt Snedeker",51,6.2,316.31,-196.14,240.39,NA,"OfficialWorldGolfRanking",2013
10,10,"Jason Dufner",52,5.93,308.32,-172.18,210.65,NA,"OfficialWorldGolfRanking",2013
11,11,"Zach Johnson",52,5.4,280.69,-136.32,204.66,NA,"OfficialWorldGolfRanking",2013
12,12,"Graeme McDowell",52,5.33,277.37,-165.79,189.89,NA,"OfficialWorldGolfRanking",2013
13,13,"Jim Furyk",50,5.09,254.46,-121.7,177.06,NA,"OfficialWorldGolfRanking",2013
14,14,"Luke Donald",49,5.08,248.99,-299.78,109.03,NA,"OfficialWorldGolfRanking",2013
15,15,"Keegan Bradley",52,4.97,258.24,-180.05,178.95,NA,"OfficialWorldGolfRanking",2013
16,16,"Jason Day",44,4.89,215.19,-118.9,207.02,NA,"OfficialWorldGolfRanking",2013
17,17,"Sergio Garcia",50,4.49,224.34,-161.91,154.26,NA,"OfficialWorldGolfRanking",2013
18,18,"Lee Westwood",52,4.44,230.62,-216.64,133.55,NA,"OfficialWorldGolfRanking",2013
19,19,"Charl Schwartzel",52,4.43,230.59,-164.37,143.96,NA,"OfficialWorldGolfRanking",2013
20,21,"Jordan Spieth",40,4.34,173.53,-10.39,178.81,NA,"OfficialWorldGolfRanking",2013
21,22,"Dustin Johnson",46,4.32,198.82,-158.44,148.04,NA,"OfficialWorldGolfRanking",2013
22,20,"Ian Poulter",48,4.32,207.46,-146.81,99.38,NA,"OfficialWorldGolfRanking",2013
23,23,"Ernie Els",52,4.2,218.3,-135.63,131.19,NA,"OfficialWorldGolfRanking",2013
24,24,"Webb Simpson",51,4.12,210.23,-195.47,149.32,NA,"OfficialWorldGolfRanking",2013
25,25,"Bubba Watson",46,3.97,182.5,-168.49,91.56,NA,"OfficialWorldGolfRanking",2013
26,26,"Hunter Mahan",52,3.95,205.44,-155.73,160.81,NA,"OfficialWorldGolfRanking",2013
27,27,"Nick Watney",52,3.88,201.87,-151.89,118.4,NA,"OfficialWorldGolfRanking",2013
28,28,"Bill Haas",52,3.84,199.89,-129.72,166.38,NA,"OfficialWorldGolfRanking",2013
29,29,"Louis Oosthuizen",52,3.79,197.32,-193.39,70,NA,"OfficialWorldGolfRanking",2013
30,30,"Hideki Matsuyama",40,3.56,142.46,-33.67,124.45,NA,"OfficialWorldGolfRanking",2013
31,31,"Matteo Manassero",52,3.01,156.26,-85.45,107.02,NA,"OfficialWorldGolfRanking",2013
32,32,"Graham DeLaet",50,2.95,147.71,-29.2,136.63,NA,"OfficialWorldGolfRanking",2013
33,33,"Rickie Fowler",50,2.86,143.03,-126.7,97.89,NA,"OfficialWorldGolfRanking",2013
34,34,"Jonas Blixt",52,2.85,147.95,-53.67,112.87,NA,"OfficialWorldGolfRanking",2013
35,35,"Billy Horschel",52,2.84,147.86,-35.99,155.88,NA,"OfficialWorldGolfRanking",2013
36,36,"Kevin Streelman",52,2.83,147.21,-50.45,156.05,NA,"OfficialWorldGolfRanking",2013
37,37,"Martin Kaymer",52,2.77,143.94,-133.03,86.52,NA,"OfficialWorldGolfRanking",2013
38,38,"Branden Grace",52,2.73,142.07,-103,82.6,NA,"OfficialWorldGolfRanking",2013
39,41,"Richard Sterne",45,2.72,122.49,-37.56,115.35,NA,"OfficialWorldGolfRanking",2013
40,40,"Scott Piercy",52,2.72,141.53,-90.7,91.87,NA,"OfficialWorldGolfRanking",2013
41,39,"Peter Hanson",52,2.71,140.76,-146.78,47.05,NA,"OfficialWorldGolfRanking",2013
42,42,"Bo Van Pelt",52,2.67,138.69,-142.22,52.7,NA,"OfficialWorldGolfRanking",2013
43,43,"Miguel Angel Jimenez",46,2.63,121.21,-68.79,77.56,NA,"OfficialWorldGolfRanking",2013
44,44,"Jamie Donaldson",48,2.6,125.04,-83.69,96.32,NA,"OfficialWorldGolfRanking",2013
45,45,"Ryan Moore",47,2.59,121.87,-84.89,74.17,NA,"OfficialWorldGolfRanking",2013
46,46,"Thomas Bjorn",49,2.56,125.46,-89.88,96.79,NA,"OfficialWorldGolfRanking",2013
47,47,"Francesco Molinari",52,2.46,127.84,-108.64,58.98,NA,"OfficialWorldGolfRanking",2013
48,48,"Boo Weekley",52,2.41,125.27,-29.28,126.18,NA,"OfficialWorldGolfRanking",2013
49,49,"Thorbjorn Olesen",52,2.34,121.92,-81.75,91.24,NA,"OfficialWorldGolfRanking",2013
50,50,"DA Points",52,2.34,121.53,-57.83,117.87,NA,"OfficialWorldGolfRanking",2013
51,51,"Angel Cabrera",48,2.29,110.13,-32.21,112.87,NA,"OfficialWorldGolfRanking",2013
52,53,"David Lynn",52,2.28,118.59,-79.02,81.62,NA,"OfficialWorldGolfRanking",2013
53,52,"Nicolas Colsaerts",52,2.28,118.42,-104.11,63.96,NA,"OfficialWorldGolfRanking",2013
54,54,"Joost Luiten",52,2.21,115.03,-59.88,98.36,NA,"OfficialWorldGolfRanking",2013
55,55,"Gonzalo Fdez Castano",52,2.19,113.71,-92.91,74.15,NA,"OfficialWorldGolfRanking",2013
56,56,"Bernd Wiesberger",52,2.16,112.28,-67.68,74.9,NA,"OfficialWorldGolfRanking",2013
57,60,"Martin Laird",49,2.15,105.45,-79.74,84.59,NA,"OfficialWorldGolfRanking",2013
58,62,"Chris Wood",45,2.14,96.1,-47.67,83.59,NA,"OfficialWorldGolfRanking",2013
59,57,"Michael Thompson",52,2.13,110.87,-71.18,95.32,NA,"OfficialWorldGolfRanking",2013
60,59,"Thongchai Jaidee",52,2.13,110.54,-60.62,77.31,NA,"OfficialWorldGolfRanking",2013
61,58,"Robert Garrigus",52,2.12,110.45,-91.35,53.58,NA,"OfficialWorldGolfRanking",2013
62,61,"Marc Leishman",52,2.09,108.63,-59.15,80.42,NA,"OfficialWorldGolfRanking",2013
63,63,"Brendon de Jonge",52,2.09,108.44,-61.23,79.9,NA,"OfficialWorldGolfRanking",2013
64,68,"Patrick Reed",40,2.08,83.37,-8.04,81.27,NA,"OfficialWorldGolfRanking",2013
65,67,"Stephen Gallacher",50,2.07,103.72,-59.32,82.83,NA,"OfficialWorldGolfRanking",2013
66,64,"Jimmy Walker",52,2.06,107.18,-57.34,92.95,NA,"OfficialWorldGolfRanking",2013
67,65,"Roberto Castro",52,2.06,107.09,-24.46,98.74,NA,"OfficialWorldGolfRanking",2013
68,66,"Tim Clark",41,2.04,83.57,-42.88,61.46,NA,"OfficialWorldGolfRanking",2013
69,69,"Peter Uihlein",46,2.04,93.71,-14.45,90.3,NA,"OfficialWorldGolfRanking",2013
70,71,"Shane Lowry",52,1.96,102.04,-65.99,60.32,NA,"OfficialWorldGolfRanking",2013
71,72,"Russell Henley",51,1.96,99.76,-40.37,89.16,NA,"OfficialWorldGolfRanking",2013
72,70,"Carl Pettersson",52,1.96,101.7,-108.09,38.61,NA,"OfficialWorldGolfRanking",2013
73,73,"Harris English",52,1.95,101.32,-37.74,91.77,NA,"OfficialWorldGolfRanking",2013
74,74,"Paul Lawrie",51,1.94,99.04,-111.36,33.98,NA,"OfficialWorldGolfRanking",2013
75,78,"John Merrick",51,1.9,96.65,-38.7,96.05,NA,"OfficialWorldGolfRanking",2013
76,75,"Mikko Ilonen",42,1.86,78.25,-18.54,77.35,NA,"OfficialWorldGolfRanking",2013
77,79,"Alexander Noren",47,1.86,87.37,-79.29,55.87,NA,"OfficialWorldGolfRanking",2013
78,76,"Marcel Siem",52,1.85,96.04,-70.66,58.66,NA,"OfficialWorldGolfRanking",2013
79,77,"Freddie Jacobson",40,1.84,73.63,-84.2,65.71,NA,"OfficialWorldGolfRanking",2013
80,80,"Gary Woodland",51,1.83,93.4,-50.25,86.68,NA,"OfficialWorldGolfRanking",2013
81,81,"Brett Rumford",52,1.8,93.63,-32.77,83.25,NA,"OfficialWorldGolfRanking",2013
82,83,"John Huh",52,1.78,92.74,-54.33,73.1,NA,"OfficialWorldGolfRanking",2013
83,82,"Kyle Stanley",52,1.78,92.32,-76.31,71.94,NA,"OfficialWorldGolfRanking",2013
84,84,"Scott Stallings",52,1.77,92.12,-52.82,76.56,NA,"OfficialWorldGolfRanking",2013
85,86,"Ken Duke",52,1.72,89.69,-43.66,77.2,NA,"OfficialWorldGolfRanking",2013
86,85,"George Coetzee",52,1.72,89.35,-84.1,53.37,NA,"OfficialWorldGolfRanking",2013
87,87,"Kiradech Aphibarnrat",52,1.72,89.27,-41.63,81,NA,"OfficialWorldGolfRanking",2013
88,88,"David Lingmerth",52,1.71,89.16,-33.7,83.03,NA,"OfficialWorldGolfRanking",2013
89,89,"Luke Guthrie",41,1.71,69.92,-34.55,48.96,NA,"OfficialWorldGolfRanking",2013
90,90,"Chris Kirk",52,1.7,88.66,-58.44,74.67,NA,"OfficialWorldGolfRanking",2013
91,91,"David Toms",40,1.7,67.84,-86.66,36.41,NA,"OfficialWorldGolfRanking",2013
92,94,"David Howell",52,1.69,87.84,-27.21,76.96,NA,"OfficialWorldGolfRanking",2013
93,92,"Charles Howell III",52,1.69,87.69,-72.41,89.86,NA,"OfficialWorldGolfRanking",2013
94,93,"Ryan Palmer",49,1.68,82.19,-56.35,68.47,NA,"OfficialWorldGolfRanking",2013
95,95,"Kevin Chappell",52,1.67,86.62,-38.87,82.82,NA,"OfficialWorldGolfRanking",2013
