"MissedFairwayPercentOther_RANKTHISWEEK_2007","MissedFairwayPercentOther_RANKLASTWEEK_2007","MissedFairwayPercentOther_PLAYERNAME_2007","MissedFairwayPercentOther_ROUNDS_2007","MissedFairwayPercentOther_Pct_2007","MissedFairwayPercentOther_TOTALMISSED_2007","MissedFairwayPercentOther_TOTALFWYS_2007","MissedFairwayPercentOther_RELATIVETOPAR_2007","stat_name","year"
1,1,"Fred Funk",65,1.35,10,741,0.7,"MissedFairwayPercentOther",2007
2,2,"Jim Furyk",84,1.57,15,955,0.2,"MissedFairwayPercentOther",2007
3,3,"Trevor Immelman",74,1.85,14,756,0.71,"MissedFairwayPercentOther",2007
4,4,"Jose Coceres",50,1.95,12,616,0.5,"MissedFairwayPercentOther",2007
5,5,"Jay Williamson",50,2,14,700,0.29,"MissedFairwayPercentOther",2007
6,6,"Joe Durant",88,2.22,24,1083,0.33,"MissedFairwayPercentOther",2007
7,7,"Zach Johnson",76,2.47,21,850,0.71,"MissedFairwayPercentOther",2007
8,8,"Tim Clark",66,2.53,19,752,0.47,"MissedFairwayPercentOther",2007
9,9,"Luke Donald",69,2.55,19,745,0.42,"MissedFairwayPercentOther",2007
10,10,"Stephen Ames",81,2.6,23,886,0.57,"MissedFairwayPercentOther",2007
11,11,"Heath Slocum",101,2.66,36,1351,0.58,"MissedFairwayPercentOther",2007
12,12,"Steve Stricker",81,2.82,26,922,0.35,"MissedFairwayPercentOther",2007
12,12,"David Toms",80,2.82,25,886,0.56,"MissedFairwayPercentOther",2007
14,14,"Arron Oberholser",69,2.92,22,753,0.41,"MissedFairwayPercentOther",2007
15,15,"Geoff Ogilvy",84,3,27,900,0.11,"MissedFairwayPercentOther",2007
15,15,"Rod Pampling",92,3,32,1068,0.5,"MissedFairwayPercentOther",2007
17,17,"Bart Bryant",87,3.04,34,1119,0.18,"MissedFairwayPercentOther",2007
18,18,"Tom Byrum",50,3.12,20,641,0.8,"MissedFairwayPercentOther",2007
19,19,"Justin Leonard",95,3.13,39,1246,0.49,"MissedFairwayPercentOther",2007
20,20,"Michael Boyd",61,3.25,26,799,0.54,"MissedFairwayPercentOther",2007
21,21,"KJ Choi",87,3.32,33,993,0.58,"MissedFairwayPercentOther",2007
22,22,"Tiger Woods",63,3.41,21,616,0.19,"MissedFairwayPercentOther",2007
23,23,"Nick OHern",72,3.44,27,784,0.41,"MissedFairwayPercentOther",2007
24,24,"John Rollins",102,3.53,44,1245,0.34,"MissedFairwayPercentOther",2007
25,25,"Aaron Baddeley",83,3.56,34,955,0.03,"MissedFairwayPercentOther",2007
26,26,"Retief Goosen",50,3.57,17,476,0.53,"MissedFairwayPercentOther",2007
27,27,"Ben Curtis",80,3.65,35,959,0.43,"MissedFairwayPercentOther",2007
28,28,"Adam Scott",69,3.68,28,760,0.68,"MissedFairwayPercentOther",2007
29,29,"Ryan Armour",107,3.76,54,1438,0.48,"MissedFairwayPercentOther",2007
30,30,"Hunter Mahan",91,3.9,43,1102,0.07,"MissedFairwayPercentOther",2007
31,31,"Billy Mayfair",98,3.91,49,1253,0.31,"MissedFairwayPercentOther",2007
32,32,"Kirk Triplett",77,3.92,41,1046,0.32,"MissedFairwayPercentOther",2007
33,33,"Brian Gay",107,3.96,57,1439,0.3,"MissedFairwayPercentOther",2007
34,34,"Bob Estes",88,4,47,1174,0.47,"MissedFairwayPercentOther",2007
35,35,"Steve Elkington",87,4.01,44,1098,0.3,"MissedFairwayPercentOther",2007
36,36,"Gavin Coles",87,4.06,47,1157,0.47,"MissedFairwayPercentOther",2007
36,36,"Ernie Els",59,4.06,25,616,0.56,"MissedFairwayPercentOther",2007
38,38,"Freddie Jacobson",70,4.07,40,984,0.53,"MissedFairwayPercentOther",2007
39,39,"Peter Lonard",85,4.08,46,1128,0.43,"MissedFairwayPercentOther",2007
40,40,"JJ Henry",86,4.13,41,993,0.41,"MissedFairwayPercentOther",2007
41,41,"Craig Bowden",78,4.14,44,1062,0.14,"MissedFairwayPercentOther",2007
42,42,"Chris Riley",59,4.16,32,769,0.63,"MissedFairwayPercentOther",2007
43,43,"Henrik Stenson",52,4.17,21,504,0.43,"MissedFairwayPercentOther",2007
44,44,"John Senden",97,4.18,52,1245,0.38,"MissedFairwayPercentOther",2007
44,44,"Scott Verplank",82,4.18,38,909,0.05,"MissedFairwayPercentOther",2007
46,46,"Shaun Micheel",91,4.24,45,1061,0.27,"MissedFairwayPercentOther",2007
46,46,"Vijay Singh",102,4.24,51,1203,0.24,"MissedFairwayPercentOther",2007
48,48,"Davis Love III",66,4.27,33,773,0.55,"MissedFairwayPercentOther",2007
49,49,"Jerry Kelly",101,4.3,50,1162,0.38,"MissedFairwayPercentOther",2007
50,50,"Glen Day",85,4.34,49,1129,0.49,"MissedFairwayPercentOther",2007
50,50,"Jeff Maggert",79,4.34,48,1106,0.6,"MissedFairwayPercentOther",2007
52,52,"Camilo Villegas",82,4.4,44,999,0.2,"MissedFairwayPercentOther",2007
53,53,"Will Ma Kenzie",100,4.48,60,1340,0.18,"MissedFairwayPercentOther",2007
54,54,"Robert Allenby",90,4.49,51,1135,0.29,"MissedFairwayPercentOther",2007
55,55,"Alex Cejka",80,4.51,49,1087,0.1,"MissedFairwayPercentOther",2007
56,56,"Daisuke Maruyama",86,4.54,52,1145,0.37,"MissedFairwayPercentOther",2007
57,57,"Boo Weekley",101,4.55,54,1186,0.22,"MissedFairwayPercentOther",2007
58,58,"Chad Campbell",96,4.57,50,1093,0.4,"MissedFairwayPercentOther",2007
59,59,"Jeff Quinney",95,4.61,60,1301,0.38,"MissedFairwayPercentOther",2007
60,60,"Kent Jones",97,4.65,63,1354,0.4,"MissedFairwayPercentOther",2007
61,61,"Craig Kanada",109,4.66,67,1438,0.39,"MissedFairwayPercentOther",2007
61,61,"Michael Sim",52,4.66,34,730,0.38,"MissedFairwayPercentOther",2007
61,61,"Vaughn Taylor",91,4.66,50,1073,0.34,"MissedFairwayPercentOther",2007
64,64,"Stephen Leaney",82,4.67,52,1113,0.38,"MissedFairwayPercentOther",2007
65,65,"Robert Gamez",88,4.69,55,1172,0.67,"MissedFairwayPercentOther",2007
66,66,"Bo Van Pelt",104,4.71,67,1421,0.37,"MissedFairwayPercentOther",2007
67,67,"Mark Calcavecchia",93,4.72,52,1102,0.31,"MissedFairwayPercentOther",2007
67,67,"John Mallinger",96,4.72,63,1336,0.38,"MissedFairwayPercentOther",2007
69,69,"Darron Stiles",65,4.73,39,825,0.28,"MissedFairwayPercentOther",2007
69,69,"Charlie Wi",90,4.73,58,1227,0.45,"MissedFairwayPercentOther",2007
71,71,"Woody Austin",95,4.75,59,1241,0.36,"MissedFairwayPercentOther",2007
