"FirstTeeLateRound5ScoringAverage_RANKTHISWEEK_2009","FirstTeeLateRound5ScoringAverage_RANKLASTWEEK_2009","FirstTeeLateRound5ScoringAverage_PLAYERNAME_2009","FirstTeeLateRound5ScoringAverage__2009","FirstTeeLateRound5ScoringAverage_AVG_2009","FirstTeeLateRound5ScoringAverage_TOTALSTROKES_2009","FirstTeeLateRound5ScoringAverage_TOTALROUNDS_2009","stat_name","year"
1,1,"John Merrick",NA,67,67,1,"FirstTeeLateRound5ScoringAverage",2009
1,1,"Mike Weir",NA,67,67,1,"FirstTeeLateRound5ScoringAverage",2009
3,3,"Tim Clark",NA,69,69,1,"FirstTeeLateRound5ScoringAverage",2009
3,3,"Pat Perez",NA,69,69,1,"FirstTeeLateRound5ScoringAverage",2009
3,3,"Tom Pernice Jr",NA,69,69,1,"FirstTeeLateRound5ScoringAverage",2009
3,3,"Webb Simpson",NA,69,69,1,"FirstTeeLateRound5ScoringAverage",2009
7,7,"Richard Johnson",NA,70,70,1,"FirstTeeLateRound5ScoringAverage",2009
7,7,"DJ Trahan",NA,70,70,1,"FirstTeeLateRound5ScoringAverage",2009
9,9,"Rich Beem",NA,71,71,1,"FirstTeeLateRound5ScoringAverage",2009
9,9,"Mathew Goggin",NA,71,71,1,"FirstTeeLateRound5ScoringAverage",2009
9,9,"John Mallinger",NA,71,71,1,"FirstTeeLateRound5ScoringAverage",2009
9,9,"Chris Stroud",NA,71,71,1,"FirstTeeLateRound5ScoringAverage",2009
13,13,"Robert Garrigus",NA,73,73,1,"FirstTeeLateRound5ScoringAverage",2009
14,14,"Bubba Watson",NA,75,75,1,"FirstTeeLateRound5ScoringAverage",2009
15,15,"Vaughn Taylor",NA,76,76,1,"FirstTeeLateRound5ScoringAverage",2009
16,16,"Steve Stricker",NA,77,77,1,"FirstTeeLateRound5ScoringAverage",2009
