"VictoryLeaders_RANKTHISWEEK_2014","VictoryLeaders_RANKLASTWEEK_2014","VictoryLeaders_PLAYERNAME_2014","VictoryLeaders_EVENTS_2014","VictoryLeaders_VICTORIES_2014","stat_name","year"
1,1,"Rory McIlroy",17,3,"VictoryLeaders",2014
1,1,"Jimmy Walker",27,3,"VictoryLeaders",2014
3,3,"Billy Horschel",27,2,"VictoryLeaders",2014
3,3,"Martin Kaymer",19,2,"VictoryLeaders",2014
3,3,"Chris Kirk",28,2,"VictoryLeaders",2014
3,3,"Patrick Reed",28,2,"VictoryLeaders",2014
3,3,"Bubba Watson",21,2,"VictoryLeaders",2014
8,8,"Steven Bowditch",30,1,"VictoryLeaders",2014
8,8,"Angel Cabrera",23,1,"VictoryLeaders",2014
8,8,"Tim Clark",26,1,"VictoryLeaders",2014
8,8,"Ben Crane",25,1,"VictoryLeaders",2014
8,8,"Jason Day",15,1,"VictoryLeaders",2014
8,8,"Harris English",28,1,"VictoryLeaders",2014
8,8,"Matt Every",26,1,"VictoryLeaders",2014
8,8,"Chesson Hadley",29,1,"VictoryLeaders",2014
8,8,"Brian Harman",32,1,"VictoryLeaders",2014
8,8,"Russell Henley",29,1,"VictoryLeaders",2014
8,8,"JB Holmes",24,1,"VictoryLeaders",2014
8,8,"Zach Johnson",26,1,"VictoryLeaders",2014
8,8,"Dustin Johnson",17,1,"VictoryLeaders",2014
8,8,"Matt Jones",25,1,"VictoryLeaders",2014
8,8,"Matt Kuchar",24,1,"VictoryLeaders",2014
8,8,"Hunter Mahan",25,1,"VictoryLeaders",2014
8,8,"Hideki Matsuyama",24,1,"VictoryLeaders",2014
8,8,"Ryan Moore",24,1,"VictoryLeaders",2014
8,8,"Seung Yul Noh",27,1,"VictoryLeaders",2014
8,8,"Geoff Ogilvy",26,1,"VictoryLeaders",2014
8,8,"Justin Rose",19,1,"VictoryLeaders",2014
8,8,"Adam Scott",17,1,"VictoryLeaders",2014
8,8,"John Senden",27,1,"VictoryLeaders",2014
8,8,"Webb Simpson",25,1,"VictoryLeaders",2014
8,8,"Kevin Stadler",26,1,"VictoryLeaders",2014
8,8,"Scott Stallings",28,1,"VictoryLeaders",2014
8,8,"Kevin Streelman",24,1,"VictoryLeaders",2014
8,8,"Brendon Todd",29,1,"VictoryLeaders",2014
8,8,"Camilo Villegas",29,1,"VictoryLeaders",2014
37,37,"Blake Adams",8,NA,"VictoryLeaders",2014
37,37,"Brian Agee",1,NA,"VictoryLeaders",2014
37,37,"Felipe Aguilar",0,NA,"VictoryLeaders",2014
37,37,"Thomas Aiken",3,NA,"VictoryLeaders",2014
37,37,"Neal Ajubita",1,NA,"VictoryLeaders",2014
37,37,"Steven Alker",1,NA,"VictoryLeaders",2014
37,37,"Robert Allenby",29,NA,"VictoryLeaders",2014
37,37,"Jason Allred",9,NA,"VictoryLeaders",2014
37,37,"Benjamin Alvarado",6,NA,"VictoryLeaders",2014
37,37,"Max Alverio",1,NA,"VictoryLeaders",2014
37,37,"Stephen Ames",18,NA,"VictoryLeaders",2014
37,37,"Byeong Hun An",1,NA,"VictoryLeaders",2014
37,37,"Brian Anania",1,NA,"VictoryLeaders",2014
37,37,"Mark Anderson",8,NA,"VictoryLeaders",2014
37,37,"Billy Andrade",1,NA,"VictoryLeaders",2014
37,37,"Kiradech Aphibarnrat",9,NA,"VictoryLeaders",2014
37,37,"Stuart Appleby",29,NA,"VictoryLeaders",2014
37,37,"Alex Aragon",18,NA,"VictoryLeaders",2014
37,37,"Wu Ashun",2,NA,"VictoryLeaders",2014
37,37,"Arjun Atwal",4,NA,"VictoryLeaders",2014
37,37,"Woody Austin",22,NA,"VictoryLeaders",2014
37,37,"Eric Axley",10,NA,"VictoryLeaders",2014
37,37,"Aaron Baddeley",24,NA,"VictoryLeaders",2014
37,37,"Sangmoon Bae",24,NA,"VictoryLeaders",2014
37,37,"Seukhyun Baek",2,NA,"VictoryLeaders",2014
37,37,"Briny Baird",17,NA,"VictoryLeaders",2014
37,37,"Matthew Baldwin",1,NA,"VictoryLeaders",2014
