"DrivingPctMeasured_RANKTHISWEEK_2013","DrivingPctMeasured_RANKLASTWEEK_2013","DrivingPctMeasured_PLAYERNAME_2013","DrivingPctMeasured_ROUNDS_2013","DrivingPctMeasured_Pct_2013","DrivingPctMeasured_TOTALDRIVESFOR_2013","DrivingPctMeasured_TOTALDRVSOVERALL_2013","DrivingPctMeasured_RELATIVETOPAR_2013","stat_name","year"
1,1,"Ian Poulter",59,8.97,7,78,0,"DrivingPctMeasured",2013
2,2,"Steve Stricker",51,7.14,5,70,-0.6,"DrivingPctMeasured",2013
3,3,"Jim Furyk",80,6.82,9,132,-0.44,"DrivingPctMeasured",2013
4,4,"Luke Donald",60,6.52,6,92,0.17,"DrivingPctMeasured",2013
5,5,"Brian Gay",79,6.16,9,146,-0.11,"DrivingPctMeasured",2013
6,6,"Marc Leishman",77,6.15,8,130,0.25,"DrivingPctMeasured",2013
7,7,"Ben Curtis",59,5.32,5,94,0.4,"DrivingPctMeasured",2013
8,8,"John Huh",88,5.26,8,152,-0.25,"DrivingPctMeasured",2013
8,8,"Ryan Moore",72,5.26,6,114,-0.17,"DrivingPctMeasured",2013
10,10,"Zach Johnson",84,5.07,7,138,-0.57,"DrivingPctMeasured",2013
11,11,"Lee Williams",62,5,6,120,0.5,"DrivingPctMeasured",2013
12,12,"Jason Dufner",78,4.92,6,122,0,"DrivingPctMeasured",2013
13,13,"Mike Weir",60,4.81,5,104,0.4,"DrivingPctMeasured",2013
14,14,"Brandt Snedeker",79,4.76,6,126,0,"DrivingPctMeasured",2013
15,15,"DA Points",87,4.67,7,150,0.14,"DrivingPctMeasured",2013
16,16,"Michael Thompson",66,4.63,5,108,-0.4,"DrivingPctMeasured",2013
17,17,"DH Lee",65,4.62,6,130,0.67,"DrivingPctMeasured",2013
18,18,"Jonas Blixt",76,4.41,6,136,0,"DrivingPctMeasured",2013
18,18,"David Toms",49,4.41,3,68,0,"DrivingPctMeasured",2013
20,20,"Bryce Molder",82,4.38,7,160,-0.14,"DrivingPctMeasured",2013
21,21,"David Lynn",70,4.24,5,118,0,"DrivingPctMeasured",2013
22,22,"Hunter Mahan",91,4.23,6,142,0,"DrivingPctMeasured",2013
23,23,"Patrick Reed",83,4.22,7,166,-0.14,"DrivingPctMeasured",2013
24,24,"Rickie Fowler",75,4.17,5,120,-0.4,"DrivingPctMeasured",2013
24,24,"Bill Haas",85,4.17,6,144,0.17,"DrivingPctMeasured",2013
26,26,"John Merrick",79,4.11,6,146,0,"DrivingPctMeasured",2013
27,27,"Graeme McDowell",53,4.05,3,74,-0.33,"DrivingPctMeasured",2013
28,28,"Angel Cabrera",73,4.03,5,124,-0.2,"DrivingPctMeasured",2013
29,29,"Jin Park",52,4,4,100,0.75,"DrivingPctMeasured",2013
30,30,"Kevin Stadler",83,3.9,6,154,0,"DrivingPctMeasured",2013
31,31,"Mark Wilson",56,3.85,4,104,-0.25,"DrivingPctMeasured",2013
32,32,"Sangmoon Bae",83,3.8,6,158,0.17,"DrivingPctMeasured",2013
32,32,"Ken Duke",87,3.8,6,158,0,"DrivingPctMeasured",2013
34,34,"Matt Kuchar",93,3.52,5,142,-0.2,"DrivingPctMeasured",2013
35,35,"Webb Simpson",92,3.38,5,148,-0.2,"DrivingPctMeasured",2013
36,36,"Nick Watney",88,3.29,5,152,0,"DrivingPctMeasured",2013
37,37,"Phil Mickelson",78,3.23,4,124,-0.25,"DrivingPctMeasured",2013
38,38,"Tim Clark",64,3.19,3,94,-0.33,"DrivingPctMeasured",2013
39,39,"David Hearn",88,3.13,5,160,0,"DrivingPctMeasured",2013
40,40,"Colt Knost",69,3.08,4,130,0.75,"DrivingPctMeasured",2013
41,41,"Stephen Ames",49,3.06,3,98,0.67,"DrivingPctMeasured",2013
41,41,"Darron Stiles",51,3.06,3,98,-0.33,"DrivingPctMeasured",2013
43,43,"David Mathis",71,2.99,4,134,1,"DrivingPctMeasured",2013
43,43,"Dicky Pride",71,2.99,4,134,0.75,"DrivingPctMeasured",2013
45,45,"Russell Henley",80,2.94,4,136,0,"DrivingPctMeasured",2013
45,45,"Chris Kirk",89,2.94,5,170,-0.2,"DrivingPctMeasured",2013
45,45,"George McNeill",68,2.94,4,136,0.25,"DrivingPctMeasured",2013
48,48,"Scott Stallings",79,2.9,4,138,0.5,"DrivingPctMeasured",2013
49,49,"Lee Westwood",70,2.83,3,106,0,"DrivingPctMeasured",2013
50,50,"Chez Reavie",72,2.78,4,144,0.75,"DrivingPctMeasured",2013
51,51,"Greg Chalmers",77,2.74,4,146,0.5,"DrivingPctMeasured",2013
51,51,"Justin Hicks",79,2.74,4,146,0.25,"DrivingPctMeasured",2013
53,53,"Justin Bolli",59,2.73,3,110,1,"DrivingPctMeasured",2013
54,54,"Kevin Streelman",86,2.7,4,148,-0.25,"DrivingPctMeasured",2013
55,55,"Charley Hoffman",84,2.63,4,152,-0.25,"DrivingPctMeasured",2013
56,56,"JJ Henry",83,2.6,4,154,-0.25,"DrivingPctMeasured",2013
57,57,"Ben Crane",62,2.59,3,116,0.33,"DrivingPctMeasured",2013
58,58,"Matt Jones",83,2.53,4,158,-0.25,"DrivingPctMeasured",2013
59,59,"Rory Sabbatini",86,2.5,4,160,0.5,"DrivingPctMeasured",2013
59,59,"Jimmy Walker",84,2.5,4,160,-0.25,"DrivingPctMeasured",2013
61,61,"Stuart Appleby",88,2.38,4,168,0.25,"DrivingPctMeasured",2013
61,61,"Jeff Maggert",63,2.38,3,126,1,"DrivingPctMeasured",2013
61,61,"Rod Pampling",46,2.38,2,84,0.5,"DrivingPctMeasured",2013
61,61,"Kyle Stanley",71,2.38,3,126,1,"DrivingPctMeasured",2013
