"LaunchAngle_RANKTHISWEEK_2013","LaunchAngle_RANKLASTWEEK_2013","LaunchAngle_PLAYERNAME_2013","LaunchAngle_ROUNDS_2013","LaunchAngle_AVG_2013","LaunchAngle_TOTALVERTLAUNCHANGLE_2013","LaunchAngle_TOTALATTEMPTS_2013","LaunchAngle_LOWESTLAUNCHANGLE_2013","LaunchAngle_STEEPESTLAUNCHANGLE_2013","stat_name","year"
1,1,"David Toms",49,14.18,439.5,31,10.86,18.5,"LaunchAngle",2013
2,2,"Darron Stiles",51,13.79,551.77,40,10.12,16.13,"LaunchAngle",2013
3,3,"Jin Park",52,13.76,619.28,45,10.48,16.05,"LaunchAngle",2013
4,4,"Jeff Maggert",63,13.67,792.63,58,10.83,19.61,"LaunchAngle",2013
5,5,"Vaughn Taylor",50,13.57,529.19,39,10.05,16.04,"LaunchAngle",2013
6,6,"Bud Cauley",67,13.43,698.57,52,9.79,18.48,"LaunchAngle",2013
7,7,"David Hearn",88,13.34,1014.03,76,9.5,16.06,"LaunchAngle",2013
7,7,"Nicholas Thompson",99,13.34,1161.01,87,9.29,18.23,"LaunchAngle",2013
9,9,"Tim Clark",64,13.31,598.95,45,10.48,18.21,"LaunchAngle",2013
10,10,"Mark Wilson",56,13.27,650.3,49,11.25,16.15,"LaunchAngle",2013
11,11,"Brian Gay",79,13.11,983.47,75,6.73,16.55,"LaunchAngle",2013
12,12,"Zach Johnson",84,12.98,908.37,70,9.88,15.24,"LaunchAngle",2013
13,13,"Ernie Els",63,12.83,577.39,45,10.47,16.42,"LaunchAngle",2013
14,14,"Ben Crane",62,12.7,686.06,54,8.27,15.98,"LaunchAngle",2013
15,15,"Morgan Hoffmann",64,12.68,672.05,53,9.17,18.88,"LaunchAngle",2013
16,16,"Sean OHair",56,12.62,504.77,40,10.15,16.68,"LaunchAngle",2013
17,17,"John Huh",88,12.61,958.2,76,8.64,15.85,"LaunchAngle",2013
18,18,"Doug LaBelle II",72,12.48,761.36,61,9.85,16.5,"LaunchAngle",2013
19,19,"Chez Reavie",72,12.44,908.05,73,9.88,14.57,"LaunchAngle",2013
20,20,"Brian Davis",91,12.42,1068,86,10.1,14.73,"LaunchAngle",2013
20,20,"Ryan Palmer",79,12.42,770.19,62,9.34,15.04,"LaunchAngle",2013
22,22,"Jonas Blixt",76,12.41,880.77,71,5.86,16.33,"LaunchAngle",2013
23,23,"Jerry Kelly",75,12.39,817.91,66,8.79,15.28,"LaunchAngle",2013
24,24,"Josh Teater",86,12.31,750.67,61,8.96,15.85,"LaunchAngle",2013
25,25,"Justin Rose",62,12.3,492.02,40,9.52,15.52,"LaunchAngle",2013
26,26,"Scott Gardiner",61,12.24,673.29,55,6.12,17.76,"LaunchAngle",2013
27,27,"Jason Day",86,12.22,586.45,48,10.05,16.97,"LaunchAngle",2013
27,27,"Aaron Watkins",46,12.22,439.93,36,9.69,16.41,"LaunchAngle",2013
29,29,"Lee Williams",62,12.18,645.47,53,9.43,15.48,"LaunchAngle",2013
30,30,"James Hahn",78,12.17,778.66,64,9.15,16.87,"LaunchAngle",2013
31,31,"Hunter Mahan",91,12.16,814.7,67,9.54,17.94,"LaunchAngle",2013
32,32,"Robert Garrigus",69,12.12,496.82,41,8.44,17.37,"LaunchAngle",2013
33,33,"Keegan Bradley",88,12.06,735.91,61,9.13,17.48,"LaunchAngle",2013
34,34,"Justin Bolli",59,12.04,565.71,47,8.71,16.13,"LaunchAngle",2013
35,35,"Billy Horschel",96,12.03,926.23,77,8.2,18.05,"LaunchAngle",2013
35,35,"Michael Thompson",66,12.03,613.7,51,9.1,16.49,"LaunchAngle",2013
37,37,"Tommy Gainey",84,11.94,883.93,74,8.38,15.27,"LaunchAngle",2013
38,38,"Peter Hanson",45,11.92,405.23,34,8.48,15.43,"LaunchAngle",2013
38,38,"Shawn Stefani",63,11.92,524.6,44,8.74,14.88,"LaunchAngle",2013
40,40,"Colt Knost",69,11.82,721.24,61,8.56,15.22,"LaunchAngle",2013
41,41,"Chris Kirk",89,11.75,916.39,78,8.95,16.55,"LaunchAngle",2013
42,42,"Bo Van Pelt",72,11.73,621.95,53,8.31,14.61,"LaunchAngle",2013
43,43,"Ben Curtis",59,11.69,561.27,48,8.73,15.83,"LaunchAngle",2013
44,44,"JJ Henry",83,11.68,630.48,54,8.13,14.51,"LaunchAngle",2013
45,45,"Troy Matteson",68,11.65,640.65,55,8.09,16.79,"LaunchAngle",2013
46,46,"Andres Romero",63,11.64,523.6,45,4.02,18.5,"LaunchAngle",2013
47,47,"Kyle Stanley",71,11.62,650.55,56,4.18,14,"LaunchAngle",2013
48,48,"Brian Harman",89,11.61,928.97,80,9.11,14.17,"LaunchAngle",2013
48,48,"Brian Stuard",78,11.61,765.94,66,8.98,15.05,"LaunchAngle",2013
50,50,"Cameron Percy",68,11.59,648.82,56,8.69,14.34,"LaunchAngle",2013
51,51,"Rickie Fowler",75,11.57,682.79,59,8.06,14.52,"LaunchAngle",2013
52,52,"Scott Piercy",78,11.52,598.87,52,3.46,16.04,"LaunchAngle",2013
52,52,"Brandt Snedeker",79,11.52,679.57,59,8.56,15.39,"LaunchAngle",2013
54,54,"Brandt Jobe",62,11.5,575.02,50,8.75,15.92,"LaunchAngle",2013
55,55,"David Lingmerth",68,11.48,700.53,61,6.75,17.53,"LaunchAngle",2013
56,56,"Matt Kuchar",93,11.46,859.71,75,8.49,15.67,"LaunchAngle",2013
57,57,"Matt Every",89,11.42,1004.9,88,8.51,14.86,"LaunchAngle",2013
58,58,"Justin Hicks",79,11.4,661.41,58,5.03,15.15,"LaunchAngle",2013
59,59,"Graham DeLaet",94,11.39,797.38,70,8.78,14.47,"LaunchAngle",2013
60,60,"Johnson Wagner",64,11.37,591.03,52,3.98,17.53,"LaunchAngle",2013
61,61,"Vijay Singh",61,11.35,533.33,47,6.51,15.95,"LaunchAngle",2013
62,62,"Robert Allenby",58,11.34,521.48,46,9.04,14.48,"LaunchAngle",2013
63,63,"Casey Wittenberg",72,11.33,713.76,63,7.77,15.65,"LaunchAngle",2013
64,64,"John Rollins",77,11.29,745.33,66,8.03,14.25,"LaunchAngle",2013
65,65,"Luke Donald",60,11.25,495.03,44,8.85,13.83,"LaunchAngle",2013
66,66,"Scott Brown",65,11.24,640.58,57,8.17,14.73,"LaunchAngle",2013
67,67,"Chris Stroud",88,11.23,886.82,79,7.93,16.11,"LaunchAngle",2013
68,68,"Charley Hoffman",84,11.2,839.79,75,8.44,14.93,"LaunchAngle",2013
68,68,"Tiger Woods",61,11.2,324.69,29,7.88,15.37,"LaunchAngle",2013
70,70,"Padraig Harrington",52,11.17,357.31,32,7.71,14.62,"LaunchAngle",2013
71,71,"David Lynn",70,11.15,613.28,55,8.15,15.45,"LaunchAngle",2013
71,71,"DA Points",87,11.15,747.34,67,7.16,14.63,"LaunchAngle",2013
73,73,"Russell Henley",80,11.14,724.36,65,8.84,15.67,"LaunchAngle",2013
73,73,"Martin Laird",68,11.14,512.6,46,8.25,16.53,"LaunchAngle",2013
75,75,"Tim Herron",45,11.13,445.16,40,7.7,13.58,"LaunchAngle",2013
76,76,"Carl Pettersson",82,11.11,699.97,63,8.44,14.41,"LaunchAngle",2013
76,76,"Alistair Presnell",59,11.11,522.14,47,5.9,14.1,"LaunchAngle",2013
78,78,"DJ Trahan",48,11.09,399.29,36,8.53,15.2,"LaunchAngle",2013
79,79,"Andrew Svoboda",46,11.07,409.72,37,7.29,13.73,"LaunchAngle",2013
80,80,"David Mathis",71,11.06,674.72,61,7.9,15.62,"LaunchAngle",2013
81,81,"Kevin Stadler",83,11,792.27,72,6.96,14.76,"LaunchAngle",2013
82,82,"Ryan Moore",72,10.97,658.13,60,7.51,14.19,"LaunchAngle",2013
83,83,"Rory Sabbatini",86,10.96,789.12,72,4.39,18.7,"LaunchAngle",2013
84,84,"Patrick Reed",83,10.92,742.53,68,7.08,15.69,"LaunchAngle",2013
