"OpenChamp_PLAYER_NAME_2015","OpenChamp_Finish_2015","year"
"Zach Johnson",1,2015
"Louis Oosthuizen",2,2015
"Marc Leishman",2,2015
"Jason Day",4,2015
"Jordan Spieth",4,2015
"Danny Willett",6,2015
"Justin Rose",6,2015
"Sergio Garcia",6,2015
"Jordan Niebrugge",6,2015
"Brooks Koepka",10,2015
"Adam Scott",10,2015
"Brendon Todd",12,2015
"Luke Donald",12,2015
"Martin Kaymer",12,2015
"Anthony Wall",12,2015
"Ollie Schniederjans",12,2015
"Ashley Chesters",12,2015
"Hideki Matsuyama",18,2015
"Robert Streb",18,2015
"Branden Grace",20,2015
"Russell Henley",20,2015
"Greg Owen",20,2015
"Phil Mickelson",20,2015
"James Morrison",20,2015
"Marcus Fraser",20,2015
"Stewart Cink",20,2015
"Patrick Reed",20,2015
"Retief Goosen",20,2015
"Padraig Harrington",20,2015
"Billy Horschel",30,2015
"Jimmy Walker",30,2015
"Andy Sullivan",30,2015
"Anirban Lahiri",30,2015
"Matt Jones",30,2015
"Jim Furyk",30,2015
"Ryan Palmer",30,2015
"Steven Bowditch",30,2015
"Rickie Fowler",30,2015
"Paul Dunne",30,2015
"Scott Arnold",40,2015
"Francesco Molinari",40,2015
"Henrik Stenson",40,2015
"Rafael Cabrera Bello",40,2015
"John Senden",40,2015
"Geoff Ogilvy",40,2015
"Webb Simpson",40,2015
"Paul Lawrie",40,2015
"Marc Warren",40,2015
"Ryan Fox",49,2015
"Jamie Donaldson",49,2015
"David Howell",49,2015
"Graeme McDowell",49,2015
"Lee Westwood",49,2015
"David Duval",49,2015
"Hunter Mahan",49,2015
"Dustin Johnson",49,2015
"Eddie Pepperell",49,2015
"Cameron Tringale",58,2015
"Matt Kuchar",58,2015
"Gary Woodland",58,2015
"David Lipsky",58,2015
"Kevin Na",58,2015
"Jason Dufner",58,2015
"Greg Chalmers",58,2015
"Ernie Els",65,2015
"Thongchai Jaidee",65,2015
"Romain Langasque",65,2015
"Ross Fisher",68,2015
"Bernd Wiesberger",68,2015
"Richie Ramsay",68,2015
"Harris English",68,2015
"Graham DeLaet",68,2015
"Charl Schwartzel",68,2015
"Paul Casey",74,2015
"Brett Rumford",74,2015
"David Lingmerth",74,2015
"Ben Martin",74,2015
"Bernhard Langer",78,2015
"Mark OMeara",78,2015
"Thomas Aiken",80,2015
"Marcel Siem",81,2015
"Pablo Larrazabal",81,2015
"John Daly",81,2015
"Tommy Fleetwood",81,2015
"Rikard Karlberg",81,2015
"Brian Harman",81,2015
"Alexander Levy",81,2015
"Shane Lowry",81,2015
"Carl Pettersson",81,2015
"Victor Dubuisson",81,2015
"Kevin Kisner",81,2015
"Mikko Ilonen",81,2015
"Jonas Blixt",93,2015
"Stephen Gallacher",93,2015
"Hiroyuki Fujita",93,2015
"Pelle Edberg",93,2015
"Russell Knox",93,2015
"Joost Luiten",93,2015
"Byeon Hun An",93,2015
"Brandt Snedeker",93,2015
"Darren Clarke",93,2015
"Matteo Manassero",93,2015
"Raphael Jacquelin",93,2015
"Tyrrell Hatton",93,2015
"Paul Kinnear",93,2015
"Scott Hend",93,2015
"Danny Lee",107,2015
"George Coetzee",107,2015
"Ryan Moore",107,2015
"Keegan Bradley",107,2015
"Sandy Lyle",107,2015
"JB Holmes",107,2015
"Shinji Tomimura",107,2015
"Ian Poulter",107,2015
"Bubba Watson",107,2015
"Tadahiro Takayama",107,2015
"David Hearn",107,2015
"Jaco Van Zyl",118,2015
"Soren Kjeldsen",118,2015
"Miguel Angel Jimenez",118,2015
"Tom Lehman",118,2015
"Yuta Ikeda",118,2015
"Kiradech Aphibarnrat",118,2015
"Romain Wattel",118,2015
"Mark Young",118,2015
"James Hahn",118,2015
"Morgan Hoffmann",127,2015
"Hiroshi Iwata",127,2015
"Bill Haas",127,2015
"Koumei Oda",127,2015
"Edoardo Molinari",127,2015
"Daniel Berger",127,2015
"Taichi Teshima",127,2015
"Thomas Bjorn",127,2015
"Ben Curtis",127,2015
"Adam Bland",127,2015
"Daniel Brooks",127,2015
"WC Liang",138,2015
"Gunn Yang",138,2015
"Justin Leonard",138,2015
"Tom Gillis",138,2015
"Scott Strange",138,2015
"Alister Balcombe",138,2015
"Robert Dinwiddie",138,2015
"Charley Hoffman",138,2015
"Kevin Streelman",138,2015
"Todd Hamilton",147,2015
"Matt Every",147,2015
"Tiger Woods",147,2015
"Rod Pampling",150,2015
"Jonathan Moore",150,2015
"Nick Faldo",152,2015
"Mark Calcavecchia",153,2015
"Ben Taylor",153,2015
"Tom Watson",155,2015
"Gary Boyd",156,2015
