"USOpen_PLAYER_NAME_2015","USOpen_Finish_2015","year"
"Jordan Spieth",1,2015
"Louis Oosthuizen",2,2015
"Dustin Johnson",2,2015
"Adam Scott",4,2015
"Cameron Smith",4,2015
"Branden Grace",4,2015
"Charl Schwartzel",7,2015
"Brandt Snedeker",8,2015
"Rory McIlroy",9,2015
"Shane Lowry",9,2015
"Jason Day",9,2015
"Kevin Kisner",12,2015
"Matt Kuchar",12,2015
"John Senden",14,2015
"Patrick Reed",14,2015
"Tony Finau",14,2015
"Andres Romero",14,2015
"Geoff Ogilvy",18,2015
"Sergio Garcia",18,2015
"Brooks Koepka",18,2015
"Jason Dufner",18,2015
"Jamie Lovemark",18,2015
"Hideki Matsuyama",18,2015
"Charlie Beljan",18,2015
"Thomas Aiken",25,2015
"Billy Horschel",25,2015
"Morgan Hoffmann",27,2015
"Tommy Fleetwood",27,2015
"Keegan Bradley",27,2015
"Daniel Summerhays",27,2015
"Jimmy Gunn",27,2015
"Justin Rose",27,2015
"Marc Warren",27,2015
"Francesco Molinari",27,2015
"Alexander Levy",27,2015
"Henrik Stenson",27,2015
"JB Holmes",27,2015
"Brian Campbell",27,2015
"Troy Kelly",39,2015
"Paul Casey",39,2015
"Joost Luiten",39,2015
"Robert Streb",42,2015
"Jim Furyk",42,2015
"Denny McCarthy",42,2015
"Ollie Schniederjans",42,2015
"Kevin Chappell",46,2015
"Brad Fritsch",46,2015
"Webb Simpson",46,2015
"Kevin Na",46,2015
"Lee Westwood",50,2015
"Sam Saunders",50,2015
"Ryan Palmer",52,2015
"Nick Hardy",52,2015
"Ernie Els",54,2015
"Mark Silvers",54,2015
"Cameron Tringale",54,2015
"Ian Poulter",54,2015
"DA Points",58,2015
"Brad Elder",58,2015
"Luke Donald",58,2015
"Jimmy Walker",58,2015
"Beau Hossler",58,2015
"Jack Maguire",58,2015
"Ben Martin",64,2015
"Phil Mickelson",64,2015
"Marcus Fraser",64,2015
"Cheng Tsung Pan",64,2015
"Angel Cabrera",64,2015
"Colin Montgomerie",64,2015
"Andy Pope",70,2015
"George Coetzee",70,2015
"Zach Johnson",72,2015
"John Parry",72,2015
"Camilo Villegas",74,2015
"Chris Kirk",75,2015
"Roberto Castro",78,2015
"Bill Haas",78,2015
"Charley Hoffman",78,2015
"Garth Mulroy",78,2015
"Cody Gribble",78,2015
"Andy Sullivan",78,2015
"Hiroyuki Fujita",78,2015
"Marcel Siem",78,2015
"Martin Kaymer",78,2015
"Tom Hoge",87,2015
"Hunter Mahan",87,2015
"Anirban Lahiri",87,2015
"Michael Putnam",87,2015
"Jason Allred",87,2015
"Timothy ONeal",87,2015
"Bubba Watson",87,2015
"Victor Dubuisson",87,2015
"Bernd Wiesberger",87,2015
"WC Liang",87,2015
"David Hearn",87,2015
"Masahiro Kawamura",87,2015
"Retief Goosen",99,2015
"Alexander Noren",99,2015
"Thongchai Jaidee",99,2015
"Matt Mabrey",99,2015
"Lee McCoy",99,2015
"Brian Harman",99,2015
"Graeme McDowell",99,2015
"Miguel Angel Jimenez",99,2015
"Russell Henley",99,2015
"Kevin Lucas",99,2015
"Jason Palmer",109,2015
"Shiv Kapur",109,2015
"Ryo Ishikawa",109,2015
"Bryson DeChambeau",109,2015
"Bradley Neil",109,2015
"Danny Willett",109,2015
"Bo Van Pelt",109,2015
"Lee Janzen",109,2015
"Ryan Moore",109,2015
"George McNeill",109,2015
"Byeon Hun An",109,2015
"Matthew NeSmith",109,2015
"Tjaart van der Walt",121,2015
"Marc Leishman",121,2015
"Stephen Gallacher",121,2015
"Erik Compton",121,2015
"Tyler Duncan",121,2015
"Jake Knapp",121,2015
"Jared Becher",121,2015
"Steve Marino",121,2015
"Lucas Bjerregaard",121,2015
"Kyle Jones",121,2015
"Gunn Yang",121,2015
"Oliver Farr",121,2015
"Blayne Barber",133,2015
"Gary Woodland",133,2015
"Jamie Donaldson",133,2015
"Shunsuke Sonoda",133,2015
"Brandon Hagy",133,2015
"Sam Horsfield",133,2015
"Billy Hurley III",139,2015
"Danny Lee",139,2015
"Michael Davan",139,2015
"Brendon Todd",142,2015
"Davis Riley",142,2015
"Kurt Barnes",142,2015
"Rickie Fowler",145,2015
"Richard Lee",145,2015
"Josh Persons",145,2015
"Stephan Jaeger",145,2015
"Sebastian Cappelen",149,2015
"Pat Wilson",149,2015
"Rich Berberian Jr",149,2015
"Lucas Glover",152,2015
"Tiger Woods",152,2015
"Seu Hyun Baek",152,2015
"Darren Clarke",155,2015
"Cole Hammer",156,2015
"Alex Kim",76,2015
"Matt Every",77,2015
"Alex Kim",157,2015
