"Masters_PLAYER_NAME_2015","Masters_Finish_2015","year"
"Jordan Spieth",1,2015
"Phil Mickelson",2,2015
"Justin Rose",2,2015
"Rory McIlroy",4,2015
"Hideki Matsuyama",5,2015
"Ian Poulter",6,2015
"Paul Casey",6,2015
"Dustin Johnson",6,2015
"Hunter Mahan",9,2015
"Zach Johnson",9,2015
"Charley Hoffman",9,2015
"Rickie Fowler",12,2015
"Ryan Moore",12,2015
"Bill Haas",12,2015
"Kevin Streelman",12,2015
"Kevin Na",12,2015
"Sergio Garcia",17,2015
"Tiger Woods",17,2015
"Henrik Stenson",19,2015
"Louis Oosthuizen",19,2015
"Russell Henley",21,2015
"Mark OMeara",22,2015
"Keegan Bradley",22,2015
"Patrick Reed",22,2015
"Bernd Wiesberger",22,2015
"Angel Cabrera",22,2015
"Ernie Els",22,2015
"Steve Stricker",28,2015
"Morgan Hoffmann",28,2015
"Webb Simpson",28,2015
"Jason Day",28,2015
"Jonas Blixt",28,2015
"Jamie Donaldson",33,2015
"Ryan Palmer",33,2015
"Chris Kirk",33,2015
"San Moon Bae",33,2015
"Brooks Koepka",33,2015
"Jimmy Walker",38,2015
"Danny Willett",38,2015
"John Senden",38,2015
"Seungyul Noh",38,2015
"Adam Scott",38,2015
"Bubba Watson",38,2015
"Cameron Tringale",38,2015
"Charl Schwartzel",38,2015
"Matt Kuchar",46,2015
"Lee Westwood",46,2015
"Geoff Ogilvy",48,2015
"Anirban Lahiri",49,2015
"Jason Dufner",49,2015
"Erik Compton",51,2015
"Darren Clarke",52,2015
"Graeme McDowell",52,2015
"Vijay Singh",54,2015
"Thongchai Jaidee",55,2015
"Bernhard Langer",56,2015
"Jim Furyk",56,2015
"Shane Lowry",56,2015
"James Hahn",56,2015
"Mikko Ilonen",56,2015
"Luke Donald",56,2015
"Gary Woodland",56,2015
"Stephen Gallacher",56,2015
"Matt Every",56,2015
"JB Holmes",56,2015
"Brandt Snedeker",56,2015
"Ben Martin",67,2015
"Billy Horschel",67,2015
"Branden Grace",67,2015
"Brian Harman",67,2015
"Camilo Villegas",67,2015
"Joost Luiten",67,2015
"Ian Woosnam",73,2015
"Padraig Harrington",73,2015
"Victor Dubuisson",73,2015
"Corey Conners",73,2015
"Sandy Lyle",77,2015
"Byron Meth",77,2015
"Jose Maria Olazabal",77,2015
"Kevin Stadler",80,2015
"Thomas Bjorn",80,2015
"Larry Mize",80,2015
"Brendon Todd",80,2015
"Miguel Angel Jimenez",80,2015
"Antonio Murdaca",80,2015
"Martin Kaymer",80,2015
"Matias Dominguez",87,2015
"Tom Watson",87,2015
"Trevor Immelman",89,2015
"Fred Couples",89,2015
"Robert Streb",91,2015
"Scott Harvey",92,2015
"Bradley Neil",92,2015
"Ben Crane",92,2015
"Gunn Yang",95,2015
"Mike Weir",96,2015
"Ben Crenshaw",97,2015
