"PGAChamp_PLAYER_NAME_2004","PGAChamp_Finish_2004","year"
"Vijay Singh",1,2004
"Chris DiMarco",2,2004
"Justin Leonard",2,2004
"Ernie Els",4,2004
"Chris Riley",4,2004
"Paul McGinley",6,2004
"KJ Choi",6,2004
"Phil Mickelson",6,2004
"Robert Allenby",9,2004
"Stephen Ames",9,2004
"Adam Scott",9,2004
"Ben Crane",9,2004
"Brian Davis",13,2004
"Darren Clarke",13,2004
"Brad Faxon",13,2004
"Arron Oberholser",13,2004
"Stuart Appleby",17,2004
"Jea Francois Remesy",17,2004
"Matt Gogel",17,2004
"Stewart Cink",17,2004
"Loren Roberts",17,2004
"Freddie Jacobson",17,2004
"David Toms",17,2004
"Shaun Micheel",24,2004
"Tom Byrum",24,2004
"Chad Campbell",24,2004
"JL Lewis",24,2004
"Tiger Woods",24,2004
"Luke Donald",24,2004
"Geoff Ogilvy",24,2004
"Miguel Angel Jimenez",31,2004
"Charles Howell III",31,2004
"Carlos Franco",31,2004
"Bo Van Pelt",31,2004
"Chip Sullivan",31,2004
"Nick OHern",31,2004
"Brett Quigley",37,2004
"Zach Johnson",37,2004
"Ian Poulter",37,2004
"Todd Hamilton",37,2004
"Jay Haas",37,2004
"Steve Flesch",37,2004
"Briny Baird",37,2004
"Trevor Immelman",37,2004
"Tommy Armour III",45,2004
"Padraig Harrington",45,2004
"Niclas Fasth",45,2004
"David Howell",45,2004
"Duffy Waldorf",49,2004
"Patrick Sheehan",49,2004
"Michael Campbell",49,2004
"Nick Faldo",49,2004
"Joe Ogilvie",49,2004
"Carl Pettersson",54,2004
"SK Ho",55,2004
"Bob Tway",55,2004
"Eduardo Romero",55,2004
"Hidemichi Tanaka",55,2004
"Rod Pampling",55,2004
"Craig Parry",55,2004
"Paul Azinger",55,2004
"Woody Austin",62,2004
"Shingo Katayama",62,2004
"Jeff Sluman",62,2004
"Scott Verplank",62,2004
"Scott Drummond",66,2004
"Bernhard Langer",66,2004
"Robert Gamez",68,2004
"Mark Hensby",68,2004
"Colin Montgomerie",70,2004
"Roy Biancalana",71,2004
"Jeff Coston",72,2004
"Skip Kendall",73,2004
"Sergio Garcia",85,2004
"Hale Irwin",85,2004
"Rocco Mediate",97,2004
"Peter Lonard",97,2004
"Jose Maria Olazabal",75,2004
"Paul Casey",97,2004
"Joe Durant",77,2004
"Fred Funk",97,2004
"Brian Bateman",85,2004
"Heath Slocum",97,2004
"Thomas Levet",97,2004
"Mike Weir",85,2004
"Lee Westwood",110,2004
"Raphael Jacquelin",97,2004
"Jonathan Byrd",85,2004
"Alex Cejka",110,2004
"Kevin Sutherland",97,2004
"Tim Petrovic",74,2004
"Phillip Price",80,2004
"Hal Sutton",85,2004
"Ben Curtis",85,2004
"Stephen Leaney",97,2004
"Justin Rose",85,2004
"Ted Purdy",85,2004
"Bill Britton",129,2004
"Tom Pernice Jr",110,2004
"Jesper Parnevik",121,2004
"Quinn Griffing",121,2004
"Zane Zwemke",80,2004
"Davis Love III",142,2004
"Scott McCarron",75,2004
"Bob Estes",110,2004
"Tim Clark",110,2004
"Mark Brooks",85,2004
"Brenden Pappas",97,2004
"Ricardo Gonzalez",110,2004
"Craig Thomas",85,2004
"Kirk Triplett",129,2004
"Joey Sindelar",77,2004
"Tim Fleming",121,2004
"Harrison Frazar",80,2004
"Mark OMeara",85,2004
"Kenny Perry",121,2004
"Shigeki Maruyama",80,2004
"John Huston",77,2004
"Angel Cabrera",97,2004
"Rich Beem",139,2004
"Mike Small",110,2004
"Brendan Jones",80,2004
"Alan Schulte",110,2004
"Frank Bensel",121,2004
"Graeme McDowell",129,2004
"Jerry Kelly",121,2004
"Billy Andrade",97,2004
"Jim Furyk",110,2004
"Joakim Haeggman",139,2004
"Steve Schneiter",110,2004
"Ian Woosnam",142,2004
"Cary Hungate",129,2004
"Rory Sabbatini",151,2004
"Tetsuji Hiratsuka",146,2004
"Bruce Smith",129,2004
"Steve Lowery",146,2004
"Jonathan Kaye",97,2004
"Ron Philo Jr",121,2004
"Bob Sowards",139,2004
"Mike Northern",129,2004
"Jeff Roth",142,2004
"David Tentis",121,2004
"Tim Herron",129,2004
"Rob Thompson",129,2004
"John Daly",151,2004
"Mike Baker",146,2004
"Mike Schuchart",142,2004
"David Duval",129,2004
"Thongchai Jaidee",146,2004
"Sean English",110,2004
"Jeffrey Lankford",129,2004
"Mark Evenson",146,2004
"Robert Thompson",154,2004
"Dudley Hart",155,2004
"Scott Hoch",156,2004
"Frank Lickliter II",157,2004
"Mark Calcavecchia",153,2004
