"Masters_PLAYER_NAME_2016","Masters_Finish_2016","year"
"Danny Willett",1,2016
"Lee Westwood",2,2016
"Jordan Spieth",2,2016
"Paul Casey",4,2016
"JB Holmes",4,2016
"Dustin Johnson",4,2016
"Matthew Fitzpatrick",7,2016
"Soren Kjeldsen",7,2016
"Hideki Matsuyama",7,2016
"Justin Rose",10,2016
"Rory McIlroy",10,2016
"Daniel Berger",10,2016
"Brandt Snedeker",10,2016
"Jason Day",10,2016
"Kiradech Aphibarnrat",15,2016
"Louis Oosthuizen",15,2016
"Rafael Cabrera Bello",17,2016
"Danny Lee",17,2016
"Emiliano Grillo",17,2016
"Billy Horschel",17,2016
"Brooks Koepka",21,2016
"Jamie Donaldson",21,2016
"Bryson DeChambeau",21,2016
"Henrik Stenson",24,2016
"Bill Haas",24,2016
"Matt Kuchar",24,2016
"Angel Cabrera",24,2016
"Bernhard Langer",24,2016
"Webb Simpson",29,2016
"Scott Piercy",29,2016
"Charley Hoffman",29,2016
"Jimmy Walker",29,2016
"Smylie Kaufman",29,2016
"Sergio Garcia",34,2016
"Kevin Streelman",34,2016
"Bernd Wiesberger",34,2016
"Bubba Watson",37,2016
"Kevin Kisner",37,2016
"Justin Thomas",39,2016
"Shane Lowry",39,2016
"Romain Langasque",39,2016
"Victor Dubuisson",42,2016
"Troy Merritt",42,2016
"Anirban Lahiri",42,2016
"Harris English",42,2016
"Adam Scott",42,2016
"Davis Love III",42,2016
"Chris Wood",42,2016
"Ian Poulter",49,2016
"Martin Kaymer",49,2016
"Patrick Reed",49,2016
"Larry Mize",52,2016
"Keegan Bradley",52,2016
"Hunter Mahan",54,2016
"Kevin Na",55,2016
"Cameron Smith",55,2016
"Thongchai Jaidee",57,2016
"Byeon Hun An",58,2016
"Trevor Immelman",58,2016
"Vaughn Taylor",58,2016
"Phil Mickelson",58,2016
"Marc Leishman",58,2016
"David Lingmerth",63,2016
"Charl Schwartzel",63,2016
"Russell Knox",63,2016
"Branden Grace",63,2016
"Tom Watson",63,2016
"Zach Johnson",63,2016
"Ernie Els",69,2016
"Graeme McDowell",69,2016
"Jim Herman",69,2016
"Derek Bard",69,2016
"Rickie Fowler",69,2016
"Jason Dufner",69,2016
"Vijay Singh",69,2016
"Chris Kirk",69,2016
"Mike Weir",77,2016
"Ryan Moore",78,2016
"Sammy Schmitz",79,2016
"Robert Streb",79,2016
"Mark OMeara",81,2016
"Fabian Gomez",81,2016
"Sandy Lyle",81,2016
"Jin Cheng",81,2016
"Andy Sullivan",81,2016
"Darren Clarke",86,2016
"Steven Bowditch",87,2016
"Ian Woosnam",88,2016
"Paul Chaplet",89,2016
