"PGAChamp_PLAYER_NAME_2014","PGAChamp_Finish_2014","year"
"Rory McIlroy",1,2014
"Phil Mickelson",2,2014
"Henrik Stenson",3,2014
"Rickie Fowler",3,2014
"Jim Furyk",5,2014
"Ryan Palmer",5,2014
"Ernie Els",7,2014
"Jimmy Walker",7,2014
"Victor Dubuisson",7,2014
"Hunter Mahan",7,2014
"Steve Stricker",7,2014
"Mikko Ilonen",7,2014
"Brandt Snedeker",13,2014
"Kevin Chappell",13,2014
"Charl Schwartzel",15,2014
"Marc Warren",15,2014
"Brooks Koepka",15,2014
"Lee Westwood",15,2014
"Adam Scott",15,2014
"Graham DeLaet",15,2014
"Louis Oosthuizen",15,2014
"Jason Day",15,2014
"Bernd Wiesberger",15,2014
"Justin Rose",24,2014
"Jamie Donaldson",24,2014
"Joost Luiten",26,2014
"Jerry Kelly",27,2014
"Kenny Perry",27,2014
"Bill Haas",27,2014
"Thorbjorn Olesen",30,2014
"Alexander Levy",30,2014
"Danny Willett",30,2014
"Daniel Summerhays",33,2014
"Nick Watney",33,2014
"Vijay Singh",35,2014
"Hideki Matsuyama",35,2014
"Richard Sterne",35,2014
"Jonas Blixt",35,2014
"Sergio Garcia",35,2014
"Koumei Oda",40,2014
"Jason Bohn",40,2014
"Brendon de Jonge",40,2014
"Luke Donald",40,2014
"Brian Harman",40,2014
"Ryan Moore",40,2014
"Shane Lowry",46,2014
"Robert Karlsson",46,2014
"Graeme McDowell",46,2014
"Marc Leishman",46,2014
"Pat Perez",46,2014
"Fabrizio Zanotti",46,2014
"Matt Jones",46,2014
"Scott Brown",46,2014
"Geoff Ogilvy",46,2014
"Branden Grace",46,2014
"Edoardo Molinari",46,2014
"Chris Wood",46,2014
"Brendan Steele",58,2014
"Gonzalo Fernande Castano",58,2014
"Francesco Molinari",58,2014
"Ian Poulter",58,2014
"Patrick Reed",58,2014
"Billy Horschel",58,2014
"Chris Stroud",64,2014
"Bubba Watson",64,2014
"Kevin Stadler",64,2014
"JB Holmes",64,2014
"Shawn Stefani",68,2014
"Freddie Jacobson",69,2014
"Colin Montgomerie",69,2014
"Zach Johnson",69,2014
"Brendon Todd",72,2014
"Rafael Cabrera Bello",73,2014
"Charley Hoffman",78,2014
"Erik Compton",78,2014
"Gary Woodland",78,2014
"Scott Piercy",78,2014
"Martin Kaymer",78,2014
"Tommy Fleetwood",78,2014
"Tim Clark",78,2014
"Padraig Harrington",78,2014
"Ryan Helminen",78,2014
"Russell Henley",78,2014
"Anirban Lahiri",88,2014
"Tom Watson",88,2014
"Davis Love III",88,2014
"Seungyul Noh",88,2014
"Ben Martin",88,2014
"Johan Kok",88,2014
"Russell Knox",88,2014
"Brian Stuard",88,2014
"Matt Every",88,2014
"Kevin Streelman",88,2014
"Rory Sabbatini",98,2014
"Ryo Ishikawa",98,2014
"Stuart Deane",98,2014
"David Hearn",98,2014
"YE Yang",98,2014
"Keegan Bradley",98,2014
"Chris Kirk",98,2014
"Hideto Tanihara",98,2014
"Kevin Na",98,2014
"Paul Casey",98,2014
"Steven Bowditch",98,2014
"Roberto Castro",98,2014
"Jamie Broce",98,2014
"Ross Fisher",98,2014
"Harris English",98,2014
"Eric Williamson",113,2014
"Webb Simpson",113,2014
"Chesson Hadley",113,2014
"Charles Howell III",113,2014
"George Coetzee",113,2014
"Stewart Cink",113,2014
"Stephen Gallacher",113,2014
"Darren Clarke",120,2014
"Pablo Larrazabal",120,2014
"Jordan Spieth",120,2014
"John Daly",120,2014
"Tiger Woods",120,2014
"Hyun Sung Kim",120,2014
"George McNeill",120,2014
"Scott Stallings",127,2014
"John Senden",127,2014
"Rod Perry",127,2014
"Miguel Angel Jimenez",127,2014
"Bob Sowards",131,2014
"Steve Schneiter",131,2014
"Will Ma Kenzie",131,2014
"Thongchai Jaidee",131,2014
"Thomas Bjorn",131,2014
"Shaun Micheel",136,2014
"Michael Block",136,2014
"KJ Choi",136,2014
"John Huh",136,2014
"Jason Kokrak",136,2014
"Brian Norman",141,2014
"Rich Beem",142,2014
"Rob Corcoran",142,2014
"Matteo Manassero",144,2014
"Jim McGovern",144,2014
"Mark Brooks",144,2014
"David McNabb",144,2014
"David Tentis",148,2014
"David Hronek",148,2014
"Jerry Smith",148,2014
"Frank Esposito Jr",151,2014
"Aaron Krueger",151,2014
"Dustin Volk",153,2014
"Matt Pesta",154,2014
"Jason Dufner",156,2014
"Kiradech Aphibarnrat",75,2014
"Ben Crane",74,2014
"Boo Weekley",76,2014
"Angel Cabrera",77,2014
"Cameron Tringale",155,2014
