"OpenChamp_PLAYER_NAME_2004","OpenChamp_Finish_2004","year"
"Todd Hamilton",1,2004
"Ernie Els",2,2004
"Phil Mickelson",3,2004
"Lee Westwood",4,2004
"Davis Love III",5,2004
"Thomas Levet",5,2004
"Scott Verplank",7,2004
"Retief Goosen",7,2004
"Mike Weir",9,2004
"Tiger Woods",9,2004
"Skip Kendall",11,2004
"Mark Calcavecchia",11,2004
"Darren Clarke",11,2004
"Stewart Cink",14,2004
"Barry Lane",14,2004
"Joakim Haeggman",16,2004
"KJ Choi",16,2004
"Justin Leonard",16,2004
"Kenny Perry",16,2004
"Vijay Singh",20,2004
"Paul Casey",20,2004
"Michael Campbell",20,2004
"Bob Estes",20,2004
"Gary Evans",20,2004
"Ian Poulter",25,2004
"Colin Montgomerie",25,2004
"Rod Pampling",27,2004
"Jyoti Randhawa",27,2004
"Takashi Kamiyama",27,2004
"Bo Van Pelt",30,2004
"Nick Price",30,2004
"Mark OMeara",30,2004
"David Toms",30,2004
"Shigeki Maruyama",30,2004
"Keiichiro Fukabori",30,2004
"Stuart Appleby",36,2004
"Steve Lowery",36,2004
"Hunter Mahan",36,2004
"Kim Felton",36,2004
"Tetsuji Hiratsuka",36,2004
"Tjaart van der Walt",36,2004
"Kenneth Ferrie",42,2004
"Andy Oldcorn",42,2004
"Adam Scott",42,2004
"Charles Howell III",42,2004
"Trevor Immelman",42,2004
"Miguel Angel Jimenez",47,2004
"Mathias Gronberg",47,2004
"Shaun Micheel",47,2004
"Jerry Kelly",47,2004
"Alastair Forsyth",47,2004
"Paul Bradshaw",47,2004
"Sean Whiffin",47,2004
"Ignacio Garrido",54,2004
"Raphael Jacquelin",54,2004
"Steve Flesch",54,2004
"Paul McGinley",57,2004
"Carl Pettersson",57,2004
"James Kingston",57,2004
"Gary Emerson",60,2004
"Paul Broadhurst",60,2004
"Brad Faxon",60,2004
"Chris DiMarco",63,2004
"Mark Foster",63,2004
"Stuart Wilson",63,2004
"Marten Olander",66,2004
"Rory Sabbatini",66,2004
"Paul Wesselingh",68,2004
"Martin Erlandsson",68,2004
"Bob Tway",70,2004
"Rich Beem",71,2004
"Christian Cevaer",71,2004
"Sandy Lyle",73,2004
"Mathew Goggin",74,2004
"Chad Campbell",83,2004
"Tim Clark",92,2004
"Jim Furyk",92,2004
"Jay Haas",75,2004
"Scott Barr",75,2004
"Euan Little",103,2004
"Klas Eriksson",92,2004
"Luke Donald",119,2004
"Freddie Jacobson",119,2004
"SK Ho",83,2004
"Jea Francois Remesy",103,2004
"Stephen Leaney",92,2004
"Peter OMalley",137,2004
"Grant Muller",92,2004
"Barry Hume",83,2004
"Lloyd Campbell",92,2004
"Jonathan Cheetham",83,2004
"Paul Sheehan",119,2004
"Sven Struver",103,2004
"Brendan Jones",79,2004
"Padraig Harrington",129,2004
"Glen Day",103,2004
"Robert Allenby",75,2004
"Peter Lonard",129,2004
"Chris Riley",83,2004
"Craig Parry",129,2004
"Steven Tiley",79,2004
"Ben Willman",83,2004
"Daniel Sugrue",103,2004
"Phillip Price",119,2004
"John Daly",75,2004
"Tim Herron",83,2004
"John Huston",119,2004
"Sergio Garcia",119,2004
"Nick Flanagan",83,2004
"Arjun Atwal",103,2004
"Maarten Lafeber",103,2004
"Brian Davis",83,2004
"Zach Johnson",92,2004
"Ben Curtis",119,2004
"Miles Tunnicliff",103,2004
"Stephen Ames",103,2004
"Aaron Baddeley",103,2004
"Cameron Beckman",119,2004
"Spike McRoy",79,2004
"Greg Norman",92,2004
"Jonathan Kaye",103,2004
"Matthew Hazelden",147,2004
"Richard Green",103,2004
"Anders Hansen",129,2004
"Hidemasa Hoshino",129,2004
"Simon Wakefield",92,2004
"Simon Dyson",119,2004
"Darren Fichardt",79,2004
"Peter Hedblom",142,2004
"Hennie Otto",103,2004
"Tom Lehman",92,2004
"Craig Perks",103,2004
"Eduardo Romero",137,2004
"Graeme McDowell",147,2004
"Scott Drummond",92,2004
"Brian McElhinney",129,2004
"Jimmy Green",142,2004
"Nick Faldo",129,2004
"Thomas Bjorn",103,2004
"David Griffiths",119,2004
"Frank Lickliter II",137,2004
"Dinesh Chand",152,2004
"Nicolas Colsaerts",137,2004
"David Howell",142,2004
"Paul Lawrie",142,2004
"Louis Oosthuizen",103,2004
"Andrew Willey",152,2004
"Ian Spencer",147,2004
"Adam Le Vesconte",137,2004
"Andrew Buckle",129,2004
"Yoshinobu Tsukada",147,2004
"Tom Weiskopf",152,2004
"Brett Taylor",156,2004
"Neil Evans",155,2004
"Lewis Atkinson",147,2004
"Anthony Millar",142,2004
