"USOpen_PLAYER_NAME_2009","USOpen_Finish_2009","year"
"Lucas Glover",1,2009
"Phil Mickelson",2,2009
"David Duval",2,2009
"Ricky Barnes",2,2009
"Ross Fisher",5,2009
"Tiger Woods",6,2009
"Soren Hansen",6,2009
"Hunter Mahan",6,2009
"Henrik Stenson",9,2009
"Rory McIlroy",10,2009
"Matt Bettencourt",10,2009
"Sergio Garcia",10,2009
"Ryan Moore",10,2009
"Stephen Ames",10,2009
"Mike Weir",10,2009
"Anthony Kim",16,2009
"Retief Goosen",16,2009
"Michael Sim",18,2009
"Peter Hanson",18,2009
"Ian Poulter",18,2009
"Graeme McDowell",18,2009
"Bubba Watson",18,2009
"Lee Westwood",23,2009
"Steve Stricker",23,2009
"Oliver Wilson",23,2009
"Sean OHair",23,2009
"JB Holmes",27,2009
"Azuma Yano",27,2009
"Johan Edfors",27,2009
"Francesco Molinari",27,2009
"Stewart Cink",27,2009
"Vijay Singh",27,2009
"Camilo Villegas",33,2009
"Jim Furyk",33,2009
"Kevin Sutherland",33,2009
"Adam Scott",36,2009
"Carl Pettersson",36,2009
"Todd Hamilton",36,2009
"Nick Taylor",36,2009
"Billy Mayfair",40,2009
"Dustin Johnson",40,2009
"Tim Clark",40,2009
"Drew Weaver",40,2009
"Kenny Perry",44,2009
"John Mallinger",45,2009
"Thomas Levet",45,2009
"Gary Woodland",47,2009
"Geoff Ogilvy",47,2009
"Tom Lehman",47,2009
"KJ Choi",47,2009
"Rocco Mediate",47,2009
"Andres Romero",47,2009
"Kyle Stanley",53,2009
"Andrew McLardy",54,2009
"Angel Cabrera",54,2009
"Jea Francois Lucquin",54,2009
"Ben Curtis",57,2009
"Trevor Murphy",58,2009
"Jeff Brehaut",58,2009
"Fred Funk",60,2009
"Simon Khan",62,2009
"Martin Kaymer",62,2009
"Rory Sabbatini",62,2009
"Luke Donald",62,2009
"Miguel Angel Jimenez",62,2009
"George McNeill",62,2009
"Martin Laird",62,2009
"Peter Tomasulo",62,2009
"Cameron Beckman",62,2009
"David Toms",62,2009
"Ryan Blaum",62,2009
"Rickie Fowler",73,2009
"Bo Van Pelt",73,2009
"Angelo Que",73,2009
"San Moon Bae",73,2009
"Robert Allenby",73,2009
"Justin Leonard",73,2009
"Rod Pampling",73,2009
"Andrew Parr",73,2009
"Nathan Tyler",73,2009
"Ryan Spears",73,2009
"James Kamte",73,2009
"Steve Allan",73,2009
"Alvaro Quiros",73,2009
"Nick Watney",73,2009
"Brandt Snedeker",73,2009
"Raphael Jacquelin",73,2009
"Brian Gay",73,2009
"Chris Stroud",73,2009
"Courtland Lowe",73,2009
"Shawn Stefani",73,2009
"Charlie Wi",93,2009
"Rich Bland",93,2009
"Jose Manuel Lara",93,2009
"Ryuji Imada",93,2009
"Eduardo Romero",93,2009
"Zach Johnson",93,2009
"Ken Duke",93,2009
"Cameron Tringale",93,2009
"Mike Miles",93,2009
"James Nitties",93,2009
"Charl Schwartzel",93,2009
"David Smail",93,2009
"JJ Henry",93,2009
"Briny Baird",93,2009
"DJ Trahan",93,2009
"Colby Beckstrom",93,2009
"JP Hayes",109,2009
"Craig Bowden",109,2009
"Simon Dyson",109,2009
"Kaname Yokoo",109,2009
"Gonzalo Fernande Castano",109,2009
"Justin Rose",109,2009
"Matt Kuchar",109,2009
"Tyson Alexander",109,2009
"Doug Batty",109,2009
"Heath Slocum",118,2009
"Scott Gutschewski",118,2009
"Steve Conway",118,2009
"Stuart Appleby",118,2009
"Michael Welch",118,2009
"Chad Campbell",123,2009
"Paul Casey",123,2009
"John Merrick",123,2009
"Kevin Silva",123,2009
"Ben Martin",123,2009
"Darren Clarke",123,2009
"Charlie Beljan",123,2009
"Clark Klaasen",123,2009
"Casey Wittenberg",131,2009
"Greg Kraft",131,2009
"Jeev Milkha Singh",131,2009
"Ben Crane",131,2009
"Boo Weekley",131,2009
"Chris Kirk",131,2009
"Josh McCumber",131,2009
"Padraig Harrington",138,2009
"David Erdy",138,2009
"Drew Kittleson",140,2009
"Clinton Jensen",140,2009
"Bronson Burgoon",140,2009
"David Horsey",143,2009
"Andrew Svoboda",143,2009
"Vaughn Snyder",143,2009
"Darron Stiles",143,2009
"Cameron Yancey",143,2009
"Sean Farren",148,2009
"Ernie Els",148,2009
"Michael Campbell",150,2009
"Matt Nagy",150,2009
"Kyle Peterman",150,2009
"Shintaro Kai",153,2009
"Eric Axley",154,2009
"Scott Lewis",155,2009
"Josh Brock",156,2009
"Matt Jones",61,2009
"Dudley Hart",157,2009
"Trevor Immelman",158,2009
"Shingo Katayama",159,2009
"Robert Karlsson",160,2009
