"Masters_PLAYER_NAME_2014","Masters_Finish_2014","year"
"Bubba Watson",1,2014
"Jonas Blixt",2,2014
"Jordan Spieth",2,2014
"Miguel Angel Jimenez",4,2014
"Rickie Fowler",5,2014
"Matt Kuchar",5,2014
"Lee Westwood",7,2014
"Bernhard Langer",8,2014
"Jimmy Walker",8,2014
"Rory McIlroy",8,2014
"John Senden",8,2014
"Kevin Stadler",8,2014
"Thomas Bjorn",8,2014
"Stewart Cink",14,2014
"Jamie Donaldson",14,2014
"Henrik Stenson",14,2014
"Adam Scott",14,2014
"Justin Rose",14,2014
"Jim Furyk",14,2014
"Bill Haas",20,2014
"Chris Kirk",20,2014
"Jason Day",20,2014
"Ian Poulter",20,2014
"Fred Couples",20,2014
"Louis Oosthuizen",25,2014
"Joost Luiten",26,2014
"Hunter Mahan",26,2014
"Steven Bowditch",26,2014
"Gonzalo Fernande Castano",26,2014
"Gary Woodland",26,2014
"Martin Kaymer",31,2014
"Russell Henley",31,2014
"Steve Stricker",31,2014
"Stephen Gallacher",34,2014
"KJ Choi",34,2014
"Jose Maria Olazabal",34,2014
"Brandt Snedeker",37,2014
"Brendon de Jonge",37,2014
"Thongchai Jaidee",37,2014
"Billy Horschel",37,2014
"Vijay Singh",37,2014
"Lucas Glover",42,2014
"Kevin Streelman",42,2014
"Mike Weir",44,2014
"Sandy Lyle",44,2014
"Nick Watney",44,2014
"Thorbjorn Olesen",44,2014
"Darren Clarke",44,2014
"Oliver Goss",49,2014
"Francesco Molinari",50,2014
"Larry Mize",51,2014
"Ryan Moore",52,2014
"San Moon Bae",52,2014
"Luke Donald",52,2014
"Sergio Garcia",52,2014
"Marc Leishman",52,2014
"Victor Dubuisson",52,2014
"Ernie Els",52,2014
"Phil Mickelson",52,2014
"Webb Simpson",52,2014
"Charl Schwartzel",52,2014
"Matthew Fitzpatrick",52,2014
"DA Points",63,2014
"Harris English",63,2014
"Ian Woosnam",63,2014
"Graeme McDowell",63,2014
"Zach Johnson",63,2014
"Ken Duke",68,2014
"Dustin Johnson",68,2014
"John Huh",68,2014
"Hideki Matsuyama",68,2014
"Matt Jones",72,2014
"Graham DeLaet",72,2014
"Derek Ernst",72,2014
"Mark OMeara",72,2014
"David Lynn",72,2014
"Angel Cabrera",72,2014
"Matteo Manassero",72,2014
"Patrick Reed",72,2014
"Branden Grace",80,2014
"Trevor Immelman",80,2014
"Keegan Bradley",80,2014
"Roberto Castro",80,2014
"Changwoo Lee",80,2014
"YE Yang",85,2014
"Jason Dufner",85,2014
"Jordan Niebrugge",87,2014
"Scott Stallings",87,2014
"Matt Every",87,2014
"Garrick Porteous",90,2014
"Boo Weekley",90,2014
"Tim Clark",92,2014
"Peter Hanson",93,2014
"Craig Stadler",93,2014
"Tom Watson",93,2014
"Michael McCoy",96,2014
"Ben Crenshaw",97,2014
