"USOpen_PLAYER_NAME_2010","USOpen_Finish_2010","year"
"Graeme McDowell",1,2010
"Gregory Havret",2,2010
"Ernie Els",3,2010
"Phil Mickelson",4,2010
"Tiger Woods",4,2010
"Matt Kuchar",6,2010
"Davis Love III",6,2010
"Brandt Snedeker",8,2010
"Martin Kaymer",8,2010
"Alex Cejka",8,2010
"Dustin Johnson",8,2010
"Sean OHair",12,2010
"Tim Clark",12,2010
"Ben Curtis",14,2010
"Justin Leonard",14,2010
"Peter Hanson",16,2010
"Lee Westwood",16,2010
"Jim Furyk",16,2010
"Charl Schwartzel",16,2010
"Scott Langley",16,2010
"Russell Henley",16,2010
"Sergio Garcia",22,2010
"Shaun Micheel",22,2010
"Angel Cabrera",22,2010
"Padraig Harrington",22,2010
"John Mallinger",22,2010
"Ricky Barnes",27,2010
"Robert Karlsson",27,2010
"Stuart Appleby",29,2010
"Henrik Stenson",29,2010
"Robert Allenby",29,2010
"Tom Watson",29,2010
"Jason Dufner",33,2010
"Ryan Moore",33,2010
"David Toms",33,2010
"Kenny Perry",33,2010
"Brendon de Jonge",33,2010
"Soren Kjeldsen",33,2010
"Ryo Ishikawa",33,2010
"Bo Van Pelt",40,2010
"Ross McGowan",40,2010
"Seungyul Noh",40,2010
"Vijay Singh",40,2010
"Stewart Cink",40,2010
"Bobby Gates",40,2010
"Paul Casey",40,2010
"Jim Herman",47,2010
"Chris Stroud",47,2010
"Jason Gore",47,2010
"Thongchai Jaidee",47,2010
"Jason Allred",47,2010
"Scott Verplank",47,2010
"KJ Choi",47,2010
"Luke Donald",47,2010
"Ian Poulter",47,2010
"Edoardo Molinari",47,2010
"Steve Stricker",58,2010
"Retief Goosen",58,2010
"Lucas Glover",58,2010
"Hiroyuki Fujita",58,2010
"Yuta Ikeda",58,2010
"Gareth Maybin",63,2010
"Toru Taniguchi",63,2010
"Steve Wheatcroft",63,2010
"Jerry Kelly",63,2010
"Eric Axley",63,2010
"Steve Marino",63,2010
"Erick Justesen",69,2010
"Camilo Villegas",70,2010
"Fred Funk",70,2010
"Matt Bettencourt",70,2010
"David Duval",70,2010
"Rhys Davies",74,2010
"Kent Jones",74,2010
"Nick Watney",76,2010
"Matthew Richardson",77,2010
"Zach Johnson",77,2010
"Craig Barlow",77,2010
"Mike Weir",80,2010
"Ty Tryon",80,2010
"Pablo Martin",82,2010
"Jason Preeo",82,2010
"Morgan Hoffmann",83,2010
"Jea Francois Lucquin",83,2010
"Simon Dyson",83,2010
"Tom Lehman",83,2010
"Alvaro Quiros",83,2010
"Miguel Angel Jimenez",83,2010
"Ross Fisher",83,2010
"Azuma Yano",83,2010
"Hudson Swafford",83,2010
"Geoff Ogilvy",83,2010
"Adam Scott",83,2010
"Trevor Immelman",83,2010
"Arjun Atwal",83,2010
"Hugo Leon",83,2010
"Rich Barcelo",97,2010
"John Rollins",97,2010
"Marc Leishman",97,2010
"JJ Henry",97,2010
"Oliver Wilson",97,2010
"Louis Oosthuizen",97,2010
"Kenny Kim",97,2010
"Simon Khan",97,2010
"Brian Gay",97,2010
"David Frost",97,2010
"Paul Goydos",107,2010
"Ben Crane",107,2010
"Rory McIlroy",107,2010
"Heath Slocum",107,2010
"Steve Allan",107,2010
"Gary Woodland",107,2010
"Mikko Ilonen",107,2010
"Hunter Mahan",107,2010
"Jon Curran",107,2010
"Gary Boyd",116,2010
"Michael Sim",116,2010
"Paul Sheehan",116,2010
"Rory Sabbatini",116,2010
"Rocco Mediate",120,2010
"Bob Estes",120,2010
"Brian Davis",120,2010
"John Senden",120,2010
"Jerry Smith",120,2010
"Charles Warren",120,2010
"James Morrison",120,2010
"Francesco Molinari",120,2010
"Byeon Hun An",120,2010
"Kaname Yokoo",120,2010
"Andrew Putnam",120,2010
"Joseph Bramlett",120,2010
"Rikard Karlberg",132,2010
"Rafael Echenique",132,2010
"Harrison Frazar",132,2010
"Ben Martin",132,2010
"Kent Eger",132,2010
"Daniel Summerhays",137,2010
"Mathias Gronberg",137,2010
"YE Yang",137,2010
"Terry Pilkadaris",140,2010
"Aaron Baddeley",140,2010
"Kevin Na",140,2010
"Erik Compton",143,2010
"Kevin Phelan",143,2010
"Deane Pappas",143,2010
"Soren Hansen",143,2010
"Stephen Ames",143,2010
"Daniel McCarthy",143,2010
"Travis Hampshire",143,2010
"Derek Lamely",150,2010
"Michael Campbell",151,2010
"Alex Martin",152,2010
"Mark Silvers",153,2010
"Blaine Peffley",154,2010
"Bennett Blakeman",155,2010
