"USOpen_PLAYER_NAME_2007","USOpen_Finish_2007","year"
"Angel Cabrera",1,2007
"Jim Furyk",2,2007
"Tiger Woods",2,2007
"Niclas Fasth",4,2007
"David Toms",5,2007
"Bubba Watson",5,2007
"Nick Dougherty",7,2007
"Scott Verplank",7,2007
"Jerry Kelly",7,2007
"Justin Rose",10,2007
"Paul Casey",10,2007
"Stephen Ames",10,2007
"Lee Janzen",13,2007
"Hunter Mahan",13,2007
"Steve Stricker",13,2007
"Aaron Baddeley",13,2007
"Carl Pettersson",17,2007
"Tim Clark",17,2007
"Jeff Brehaut",17,2007
"Anthony Kim",20,2007
"Mike Weir",20,2007
"Vijay Singh",20,2007
"Ken Duke",23,2007
"Brandt Snedeker",23,2007
"Nick OHern",23,2007
"Camilo Villegas",26,2007
"Boo Weekley",26,2007
"JJ Henry",26,2007
"Stuart Appleby",26,2007
"Pablo Martin",30,2007
"Peter Hanson",30,2007
"Fred Funk",30,2007
"DJ Brigman",30,2007
"Charl Schwartzel",30,2007
"Graeme McDowell",30,2007
"Lee Westwood",36,2007
"Shingo Katayama",36,2007
"Mathew Goggin",36,2007
"Jeev Milkha Singh",36,2007
"Ian Poulter",36,2007
"Tom Pernice Jr",36,2007
"Kenneth Ferrie",42,2007
"Geoff Ogilvy",42,2007
"John Rollins",42,2007
"Marcus Fraser",45,2007
"Olin Browne",45,2007
"Jose Maria Olazabal",45,2007
"Ben Curtis",45,2007
"Zach Johnson",45,2007
"Chris DiMarco",45,2007
"Rory Sabbatini",51,2007
"Dean Wilson",51,2007
"Charles Howell III",51,2007
"Ernie Els",51,2007
"Anders Hansen",55,2007
"Michael Putnam",55,2007
"Chad Campbell",57,2007
"Kevin Sutherland",58,2007
"Bob Estes",58,2007
"Michael Campbell",58,2007
"Harrison Frazar",58,2007
"Jason Dufner",62,2007
"George McNeill",63,2007
"Joey Sindelar",65,2007
"Joe Durant",65,2007
"Shaun Micheel",65,2007
"Paul Goydos",65,2007
"Ryan Moore",65,2007
"Lucas Glover",65,2007
"Phil Mickelson",65,2007
"Tripp Isenhour",65,2007
"Soren Kjeldsen",65,2007
"Eric Axley",65,2007
"Mark Harrell",65,2007
"Jon Mills",65,2007
"Kirk Triplett",65,2007
"Thomas Bjorn",65,2007
"Justin Leonard",65,2007
"Luke Donald",65,2007
"Johan Edfors",65,2007
"Nick Watney",65,2007
"Woody Austin",65,2007
"Trevor Immelman",84,2007
"Stewart Cink",84,2007
"Brett Wetterich",84,2007
"Jeff Sluman",84,2007
"Tom Byrum",84,2007
"Ryuji Imada",84,2007
"Vaughn Taylor",84,2007
"Richie Ramsay",84,2007
"KJ Choi",84,2007
"Kaname Yokoo",93,2007
"Toru Taniguchi",93,2007
"Sean OHair",93,2007
"Joe Daley",93,2007
"Nobuhiro Masuda",93,2007
"Padraig Harrington",93,2007
"Retief Goosen",93,2007
"Darron Stiles",100,2007
"Andrew Buckle",100,2007
"Anthony Wall",100,2007
"Sergio Garcia",100,2007
"Robert Allenby",100,2007
"Arron Oberholser",100,2007
"Pat Perez",100,2007
"Warren Pineo",100,2007
"Chris Stroud",108,2007
"Martin Laird",108,2007
"Henrik Stenson",108,2007
"Davis Love III",108,2007
"Tom Gillis",108,2007
"Ricky Barnes",108,2007
"Kyle Dobbs",108,2007
"Darren Fichardt",115,2007
"Luke List",115,2007
"Rod Pampling",115,2007
"Adam Speirs",115,2007
"Nathan Green",115,2007
"Geoffrey Sisk",115,2007
"Michael Berg",115,2007
"Michael Block",115,2007
"Jason Kokrak",115,2007
"Steve Marino",124,2007
"Tim Petrovic",124,2007
"Rhys Davies",124,2007
"Craig Kanada",124,2007
"Todd Fischer",128,2007
"Robert Karlsson",128,2007
"Adam Scott",128,2007
"Rich Beem",128,2007
"Frank Bensel",128,2007
"Lee Williams",128,2007
"John M Kelly",128,2007
"Colin Montgomerie",128,2007
"Todd Hamilton",128,2007
"John Koskinen",128,2007
"Trip Kuehne",138,2007
"Miguel Rodriguez",139,2007
"Johnson Wagner",139,2007
"Jeff Golden",139,2007
"Andy Matthews",139,2007
"Jason Allen",143,2007
"Chris Condello",144,2007
"Christian Cevaer",145,2007
"Alex Prugh",145,2007
"Steve Elkington",145,2007
"Martin Ureta",145,2007
"Philip Pettitt Jr",145,2007
"Mike Small",145,2007
"Brett Quigley",151,2007
"Todd Rossetti",152,2007
"Sam Walker",153,2007
"Allen Doyle",153,2007
"Jacob Rogers",155,2007
"Ryan Palmer",155,2007
"Richard Lee",64,2007
