"Masters_PLAYER_NAME_2007","Masters_Finish_2007","year"
"Zach Johnson",1,2007
"Rory Sabbatini",2,2007
"Retief Goosen",2,2007
"Tiger Woods",2,2007
"Jerry Kelly",5,2007
"Justin Rose",5,2007
"Padraig Harrington",7,2007
"Stuart Appleby",7,2007
"David Toms",9,2007
"Paul Casey",10,2007
"Luke Donald",10,2007
"Vaughn Taylor",10,2007
"Ian Poulter",13,2007
"Vijay Singh",13,2007
"Tim Clark",13,2007
"Jim Furyk",13,2007
"Stewart Cink",17,2007
"Tom Pernice Jr",17,2007
"Henrik Stenson",17,2007
"Mike Weir",20,2007
"John Rollins",20,2007
"Mark Calcavecchia",20,2007
"Lucas Glover",20,2007
"Stephen Ames",24,2007
"Geoff Ogilvy",24,2007
"Phil Mickelson",24,2007
"Adam Scott",27,2007
"Davis Love III",27,2007
"KJ Choi",27,2007
"Fred Couples",30,2007
"Robert Karlsson",30,2007
"YE Yang",30,2007
"Charles Howell III",30,2007
"Scott Verplank",30,2007
"Lee Westwood",30,2007
"Dean Wilson",30,2007
"Angel Cabrera",37,2007
"Tim Herron",37,2007
"JJ Henry",37,2007
"Rod Pampling",37,2007
"Brett Wetterich",37,2007
"Jeev Milkha Singh",37,2007
"Sandy Lyle",43,2007
"Shingo Katayama",44,2007
"Miguel Angel Jimenez",44,2007
"David Howell",44,2007
"Jose Maria Olazabal",44,2007
"Bradley Dredge",44,2007
"Jeff Sluman",49,2007
"Craig Stadler",49,2007
"Brett Quigley",51,2007
"Carl Pettersson",52,2007
"Aaron Baddeley",52,2007
"Rich Beem",54,2007
"Ben Crenshaw",55,2007
"Trevor Immelman",55,2007
"Niclas Fasth",55,2007
"Arron Oberholser",58,2007
"Billy Mayfair",59,2007
"Fuzzy Zoeller",60,2007
"Michael Campbell",61,2007
"Chris DiMarco",61,2007
"Tom Watson",61,2007
"Mark OMeara",61,2007
"Colin Montgomerie",61,2007
"Todd Hamilton",66,2007
"Darren Clarke",66,2007
"Thomas Bjorn",66,2007
"John M Kelly",66,2007
"Chad Campbell",66,2007
"Ernie Els",66,2007
"Sergio Garcia",66,2007
"Bart Bryant",66,2007
"Joe Durant",74,2007
"Fred Funk",74,2007
"Bernhard Langer",74,2007
"Ben Curtis",77,2007
"Nick OHern",77,2007
"Steve Stricker",77,2007
"Richie Ramsay",77,2007
"Raymond Floyd",81,2007
"Ben Crane",81,2007
"Johan Edfors",81,2007
"Paul Goydos",84,2007
"Troy Matteson",84,2007
"Kenneth Ferrie",84,2007
"Robert Allenby",87,2007
"Shaun Micheel",87,2007
"Gary Player",89,2007
"Larry Mize",90,2007
"Hideto Tanihara",91,2007
"Julien Guerrier",91,2007
"Camilo Villegas",93,2007
"Casey Watabu",93,2007
"Dave Womack",93,2007
"Seve Ballesteros",96,2007
"Ian Woosnam",97,2007
