"PGAChamp_PLAYER_NAME_2005","PGAChamp_Finish_2005","year"
"Phil Mickelson",1,2005
"Steve Elkington",2,2005
"Thomas Bjorn",2,2005
"Tiger Woods",4,2005
"Davis Love III",4,2005
"Geoff Ogilvy",6,2005
"Michael Campbell",6,2005
"Retief Goosen",6,2005
"Pat Perez",6,2005
"Ted Purdy",10,2005
"David Toms",10,2005
"Steve Flesch",10,2005
"Dudley Hart",10,2005
"Vijay Singh",10,2005
"Charles Howell III",15,2005
"Stuart Appleby",15,2005
"Tim Clark",17,2005
"Zach Johnson",17,2005
"Trevor Immelman",17,2005
"Joe Ogilvie",17,2005
"Bo Van Pelt",17,2005
"Lee Westwood",17,2005
"Paul McGinley",23,2005
"Sergio Garcia",23,2005
"Shingo Katayama",23,2005
"Tom Pernice Jr",23,2005
"Kenny Perry",23,2005
"Bob Estes",28,2005
"Vaughn Taylor",28,2005
"Chad Campbell",28,2005
"Arron Oberholser",28,2005
"Jesper Parnevik",28,2005
"Stewart Cink",28,2005
"Freddie Jacobson",34,2005
"Scott Verplank",34,2005
"Jim Furyk",34,2005
"Jerry Kelly",34,2005
"Jason Bohn",34,2005
"Ben Curtis",34,2005
"Ben Crane",40,2005
"Steve Schneiter",40,2005
"Adam Scott",40,2005
"Patrick Sheehan",40,2005
"KJ Choi",40,2005
"Miguel Angel Jimenez",40,2005
"John Rollins",40,2005
"Henrik Stenson",47,2005
"Heath Slocum",47,2005
"Ryan Palmer",47,2005
"Jose Maria Olazabal",47,2005
"Mike Weir",47,2005
"YE Yang",47,2005
"JL Lewis",47,2005
"Todd Hamilton",47,2005
"Bernhard Langer",47,2005
"Ian Poulter",47,2005
"Fred Funk",47,2005
"Greg Owen",47,2005
"Scott McCarron",59,2005
"Sean OHair",59,2005
"Steve Webster",59,2005
"Carlos Franco",59,2005
"Paul Casey",59,2005
"Peter Hanson",59,2005
"Mark Hensby",59,2005
"Ron Philo Jr",66,2005
"Luke Donald",66,2005
"Chris Riley",66,2005
"Woody Austin",66,2005
"Mark Calcavecchia",70,2005
"Fred Couples",70,2005
"Joe Durant",72,2005
"Stephen Ames",72,2005
"John Daly",74,2005
"Rory Sabbatini",74,2005
"Mike Small",76,2005
"Kevin Sutherland",77,2005
"Darrell Kestner",78,2005
"Hal Sutton",79,2005
"Hunter Mahan",80,2005
"Alex Cejka",80,2005
"Tim Petrovic",80,2005
"Lee Janzen",80,2005
"Jeff Yurkiewicz",80,2005
"Loren Roberts",80,2005
"Stephen Dodd",80,2005
"Nick Dougherty",80,2005
"Justin Leonard",80,2005
"Shaun Micheel",80,2005
"Paul Azinger",80,2005
"Brett Quigley",91,2005
"Jay Haas",91,2005
"Stephen Leaney",91,2005
"Rob Moss",91,2005
"Chris DiMarco",91,2005
"Kevin Na",91,2005
"Chip Johnson",91,2005
"Brett Melton",98,2005
"Travis Long",98,2005
"Bart Bryant",98,2005
"Brad Faxon",98,2005
"Billy Andrade",98,2005
"Thomas Levet",98,2005
"Richard Green",98,2005
"Richard S Johnson",98,2005
"Bob Tway",98,2005
"Peter Lonard",98,2005
"Niclas Fasth",98,2005
"Brian Davis",109,2005
"David Howell",109,2005
"Graeme McDowell",109,2005
"Billy Mayfair",109,2005
"Jea Francois Remesy",109,2005
"Jeff Coston",109,2005
"Colin Montgomerie",109,2005
"Tim Fleming",109,2005
"Maarten Lafeber",109,2005
"Nick OHern",118,2005
"David Tentis",118,2005
"Mark Brooks",118,2005
"Tim Thelen",121,2005
"Mark Mielke",121,2005
"Jonathan Kaye",121,2005
"Thongchai Jaidee",121,2005
"Bob Ford",121,2005
"Shigeki Maruyama",121,2005
"Rod Pampling",121,2005
"Darren Clarke",121,2005
"Robert Allenby",121,2005
"Craig Parry",121,2005
"Lucas Glover",121,2005
"Alan Morin",132,2005
"Chris Wiemers",132,2005
"Arjun Atwal",132,2005
"Tim Herron",132,2005
"David Duval",132,2005
"Tom Lehman",132,2005
"Brent Geiberger",138,2005
"Toru Taniguchi",138,2005
"Michael Allen",140,2005
"Stephen Gallacher",140,2005
"Scott Spence",140,2005
"SK Ho",140,2005
"Jeff Sluman",140,2005
"Padraig Harrington",140,2005
"Chris Starkjohann",140,2005
"Don Berry",147,2005
"Jeff Maggert",147,2005
"Wayne Grady",149,2005
"Rich Beem",150,2005
"Mike Reid",150,2005
"Kelly Mitchum",153,2005
"Rich Steinmetz",153,2005
"Jeff Martin",153,2005
"Craig Thomas",156,2005
"Tim Weinhart",156,2005
"Michael Reid",150,2005
