"USOpen_PLAYER_NAME_2004","USOpen_Finish_2004","year"
"Retief Goosen",1,2004
"Phil Mickelson",2,2004
"Jeff Maggert",3,2004
"Shigeki Maruyama",4,2004
"Mike Weir",4,2004
"Fred Funk",6,2004
"Steve Flesch",7,2004
"Robert Allenby",7,2004
"Stephen Ames",9,2004
"Chris DiMarco",9,2004
"Ernie Els",9,2004
"Jay Haas",9,2004
"Tim Herron",13,2004
"Tim Clark",13,2004
"Spencer Levin",13,2004
"Angel Cabrera",16,2004
"Skip Kendall",17,2004
"Tiger Woods",17,2004
"Corey Pavin",17,2004
"David Toms",20,2004
"Kirk Triplett",20,2004
"Mark Calcavecchia",20,2004
"Sergio Garcia",20,2004
"Lee Janzen",24,2004
"Tim Petrovic",24,2004
"Nick Price",24,2004
"Daniel Chopra",24,2004
"Shaun Micheel",28,2004
"Vijay Singh",28,2004
"Ben Curtis",30,2004
"Bo Van Pelt",31,2004
"David Roesch",31,2004
"Padraig Harrington",31,2004
"Peter Lonard",31,2004
"KJ Choi",31,2004
"Charles Howell III",36,2004
"Lee Westwood",36,2004
"Hidemichi Tanaka",36,2004
"Casey Wittenberg",36,2004
"Scott Verplank",40,2004
"Stephen Leaney",40,2004
"Joe Ogilvie",40,2004
"Geoffrey Sisk",40,2004
"Pat Perez",40,2004
"Spike McRoy",40,2004
"Jerry Kelly",40,2004
"Bill Haas",40,2004
"Jim Furyk",48,2004
"John Rollins",48,2004
"Kris Cox",48,2004
"Zach Johnson",48,2004
"Chris Riley",48,2004
"Scott Hoch",53,2004
"Dudley Hart",53,2004
"Trevor Immelman",55,2004
"Tom Carter",55,2004
"Joakim Haeggman",57,2004
"Phillip Price",57,2004
"Tom Kite",57,2004
"Craig Parry",60,2004
"Alex Cejka",60,2004
"Cliff Kresge",62,2004
"Chez Reavie",62,2004
"JJ Henry",64,2004
"Kevin Stadler",65,2004
"Billy Mayfair",66,2004
"Jonathan Kaye",135,2004
"Justin Leonard",68,2004
"Miguel Angel Jimenez",135,2004
"JP Hayes",70,2004
"Justin Hicks",107,2004
"Dan Forsman",94,2004
"Bob Estes",94,2004
"Tom Byrum",122,2004
"Brad Faxon",94,2004
"Michael Campbell",142,2004
"Chad Campbell",70,2004
"Rich Beem",94,2004
"Brian Davis",79,2004
"John Senden",122,2004
"Ian Poulter",94,2004
"Eduardo Romero",70,2004
"Rory Sabbatini",70,2004
"Duffy Waldorf",70,2004
"Bob Tway",79,2004
"Omar Uresti",107,2004
"Kevin Sutherland",122,2004
"Bubba Watson",79,2004
"Dan Olsen",79,2004
"Briny Baird",79,2004
"Paul Casey",94,2004
"Craig Bowden",122,2004
"Darren Clarke",79,2004
"Tripp Isenhour",94,2004
"Toshi Izawa",70,2004
"JL Lewis",79,2004
"John Douma",122,2004
"Brian Gay",67,2004
"Thomas Bjorn",135,2004
"Robert Garrigus",94,2004
"Brad Lardon",79,2004
"Chris Smith",135,2004
"Steve Stricker",107,2004
"Joey Sindelar",147,2004
"Dennis Paulson",70,2004
"Tom Pernice Jr",79,2004
"Brendan Jones",68,2004
"John Elliott",122,2004
"Nathan Smith",79,2004
"Eric Axley",70,2004
"Steve Allan",94,2004
"Stuart Appleby",147,2004
"Stewart Cink",94,2004
"Brock Mackenzie",79,2004
"Parker McLachlin",107,2004
"Andrew Tschudin",79,2004
"Camilo Villegas",79,2004
"Scott Weatherly",122,2004
"Raymond Floyd",107,2004
"David Morland IV",107,2004
"Charleton Dechert",79,2004
"Adam Scott",107,2004
"Thomas Levet",107,2004
"Kenny Perry",94,2004
"David Faught",107,2004
"Todd Hamilton",135,2004
"Davis Love III",122,2004
"Pete Jordan",147,2004
"Matt Gogel",122,2004
"Nick Faldo",153,2004
"Aaron Baddeley",147,2004
"Mark Brooks",94,2004
"Fred Couples",107,2004
"Gabriel Hjertstedt",107,2004
"Jeff Gove",107,2004
"Jimmy Green",142,2004
"John Connelly",79,2004
"Roger Tambellini",147,2004
"Freddie Jacobson",107,2004
"Jonathan Byrd",94,2004
"Carl Paulson",70,2004
"Scott Hend",107,2004
"Paul Lawrie",122,2004
"Leif Olson",122,2004
"Payton Osborn",122,2004
"Steve Sokol",107,2004
"Johnson Wagner",135,2004
"Nick Flanagan",152,2004
"Steve Gotsche",122,2004
"Justin Rose",135,2004
"Casey Bourque",142,2004
"Oscar Alvarez",142,2004
"Joey Maxon",142,2004
"David Duval",154,2004
"David Carr",154,2004
"Carlos Franco",156,2004
