"Masters_PLAYER_NAME_2006","Masters_Finish_2006","year"
"Phil Mickelson",1,2006
"Tim Clark",2,2006
"Jose Maria Olazabal",3,2006
"Retief Goosen",3,2006
"Tiger Woods",3,2006
"Chad Campbell",3,2006
"Fred Couples",3,2006
"Angel Cabrera",8,2006
"Vijay Singh",8,2006
"Stewart Cink",10,2006
"Mike Weir",11,2006
"Miguel Angel Jimenez",11,2006
"Stephen Ames",11,2006
"Arron Oberholser",14,2006
"Billy Mayfair",14,2006
"Geoff Ogilvy",16,2006
"Scott Verplank",16,2006
"Rod Pampling",16,2006
"Nick OHern",19,2006
"Stuart Appleby",19,2006
"David Howell",19,2006
"Robert Allenby",22,2006
"Davis Love III",22,2006
"Mark Hensby",22,2006
"Jim Furyk",22,2006
"Darren Clarke",22,2006
"Adam Scott",27,2006
"Carl Pettersson",27,2006
"Padraig Harrington",27,2006
"Shingo Katayama",27,2006
"Ernie Els",27,2006
"Brandt Jobe",32,2006
"Thomas Bjorn",32,2006
"Zach Johnson",32,2006
"Ted Purdy",32,2006
"Rory Sabbatini",36,2006
"Tim Herron",36,2006
"Rocco Mediate",36,2006
"Justin Leonard",39,2006
"Ben Curtis",39,2006
"Jason Bohn",39,2006
"Larry Mize",42,2006
"Luke Donald",42,2006
"Rich Beem",42,2006
"Olin Browne",45,2006
"Sergio Garcia",46,2006
"Ben Crenshaw",47,2006
"Bart Bryant",48,2006
"Colin Montgomerie",48,2006
"Thomas Levet",48,2006
"Ben Crane",48,2006
"Vaughn Taylor",48,2006
"Michael Campbell",48,2006
"Ian Woosnam",48,2006
"Lee Westwood",55,2006
"Peter Lonard",55,2006
"Chris DiMarco",55,2006
"Todd Hamilton",55,2006
"David Toms",55,2006
"Joe Ogilvie",60,2006
"Lucas Glover",60,2006
"Trevor Immelman",60,2006
"Tom Lehman",60,2006
"Henrik Stenson",60,2006
"Sean OHair",65,2006
"Shaun Micheel",65,2006
"KJ Choi",65,2006
"Raymond Floyd",65,2006
"Bernhard Langer",69,2006
"John Daly",69,2006
"Nick Faldo",69,2006
"Thongchai Jaidee",69,2006
"Mark OMeara",73,2006
"Tom Watson",73,2006
"Shigeki Maruyama",73,2006
"Craig Stadler",76,2006
"Paul McGinley",76,2006
"Brian McElhinney",76,2006
"Mark Calcavecchia",79,2006
"Fred Funk",80,2006
"Edoardo Molinari",80,2006
"David Duval",82,2006
"Clay Ogden",82,2006
"Fuzzy Zoeller",82,2006
"Kevin Marsh",85,2006
"Dillon Dougherty",85,2006
"Gary Player",85,2006
"Sandy Lyle",88,2006
"Charles Coody",89,2006
"Charles Howell III",90,2006
