"OpenChamp_PLAYER_NAME_2012","OpenChamp_Finish_2012","year"
"Ernie Els",1,2012
"Adam Scott",2,2012
"Tiger Woods",3,2012
"Brandt Snedeker",3,2012
"Luke Donald",5,2012
"Graeme McDowell",5,2012
"Nicolas Colsaerts",7,2012
"Thomas Aiken",7,2012
"Miguel Angel Jimenez",9,2012
"Geoff Ogilvy",9,2012
"Ian Poulter",9,2012
"Alexander Noren",9,2012
"Vijay Singh",9,2012
"Matt Kuchar",9,2012
"Dustin Johnson",9,2012
"Mark Calcavecchia",9,2012
"Thorbjorn Olesen",9,2012
"Zach Johnson",9,2012
"Hunter Mahan",19,2012
"Steven Alker",19,2012
"Louis Oosthuizen",19,2012
"Bill Haas",19,2012
"Carl Pettersson",23,2012
"Simon Dyson",23,2012
"Steve Stricker",23,2012
"Peter Hanson",23,2012
"Matthew Baldwin",23,2012
"James Morrison",23,2012
"Nick Watney",23,2012
"Bubba Watson",23,2012
"Rickie Fowler",31,2012
"Anirban Lahiri",31,2012
"Jason Dufner",31,2012
"John Senden",34,2012
"Jim Furyk",34,2012
"Gary Woodland",34,2012
"Paul Lawrie",34,2012
"Keegan Bradley",34,2012
"Richard Sterne",39,2012
"KJ Choi",39,2012
"Troy Matteson",39,2012
"Francesco Molinari",39,2012
"Padraig Harrington",39,2012
"Kyle Stanley",39,2012
"Ross Fisher",45,2012
"Bob Estes",45,2012
"Pablo Larrazabal",45,2012
"Lee Westwood",45,2012
"Rafael Echenique",45,2012
"Joost Luiten",45,2012
"Justin Hicks",45,2012
"Greg Chalmers",45,2012
"Simon Khan",45,2012
"Freddie Jacobson",54,2012
"Yoshinori Fujimoto",54,2012
"Gonzalo Fernande Castano",54,2012
"Greg Owen",54,2012
"Harris English",54,2012
"Thomas Bjorn",54,2012
"Rory McIlroy",60,2012
"Ted Potter Jr",60,2012
"Dale Whitnell",60,2012
"Jamie Donaldson",60,2012
"Charles Howell III",64,2012
"Lee Slattery",64,2012
"Retief Goosen",64,2012
"San Moon Bae",64,2012
"Garth Mulroy",64,2012
"Jeev Milkha Singh",69,2012
"Aaron Baddeley",69,2012
"Adilson da Silva",69,2012
"Martin Laird",72,2012
"Chad Campbell",72,2012
"Juvic Pagunsan",72,2012
"Brendan Jones",72,2012
"Toshinori Muto",72,2012
"Tom Watson",77,2012
"Warren Bennett",77,2012
"Thongchai Jaidee",77,2012
"Branden Grace",77,2012
"John Daly",81,2012
"Rafael Cabrera Bello",81,2012
"Andres Romero",83,2012
"Mardan Mamat",134,2012
"Nick Cullen",84,2012
"Marcel Siem",84,2012
"George Coetzee",84,2012
"Marcus Fraser",84,2012
"Mark Wilson",84,2012
"Anders Hansen",84,2012
"Koumei Oda",84,2012
"Marc Leishman",84,2012
"Richie Ramsay",84,2012
"Jbe Kruger",84,2012
"Raphael Jacquelin",84,2012
"YE Yang",84,2012
"Justin Rose",84,2012
"Sergio Garcia",84,2012
"Charl Schwartzel",84,2012
"Steven Tiley",84,2012
"Aaron Townsend",84,2012
"Scott Pinckney",101,2012
"Tom Lehman",101,2012
"Gregory Havret",101,2012
"Kyung Kim",101,2012
"Bo Van Pelt",101,2012
"Morten Orum Madsen",101,2012
"David Duval",101,2012
"Stewart Cink",101,2012
"Steven OHara",109,2012
"Jonathan Byrd",109,2012
"Ash Hall",109,2012
"Barry Lane",109,2012
"Sandy Lyle",109,2012
"Todd Hamilton",109,2012
"Alejandro Canizares",109,2012
"Alan Dunbar",109,2012
"Martin Kaymer",109,2012
"Ryo Ishikawa",109,2012
"Sam Walker",109,2012
"Michael Thompson",120,2012
"Toru Taniguchi",120,2012
"Robert Allenby",120,2012
"Stephen Ames",120,2012
"Darren Clarke",120,2012
"Daniel Chopra",120,2012
"Lucas Glover",126,2012
"Andrew Georgiou",126,2012
"Troy Kelly",126,2012
"Tadahiro Takayama",126,2012
"John Huh",126,2012
"Justin Leonard",126,2012
"Hiroyuki Fujita",126,2012
"Brad Kennedy",126,2012
"Chez Reavie",134,2012
"Ben Curtis",134,2012
"Trevor Immelman",134,2012
"Alvaro Quiros",134,2012
"Robert Rock",134,2012
"Johnson Wagner",134,2012
"Prayad Marksaeng",141,2012
"Kodai Ichihara",141,2012
"Davis Love III",141,2012
"Tim Clark",141,2012
"Kevin Na",141,2012
"Paul Casey",146,2012
"Phil Mickelson",146,2012
"Elliot Saltman",146,2012
"Angel Cabrera",149,2012
"James Driscoll",149,2012
"Paul Broadhurst",151,2012
"Richard Finch",151,2012
"Michael Hoey",153,2012
"Grant Veenstra",154,2012
"Manuel Trappel",155,2012
"Ian Keenan",156,2012
"Russ Cochran",157,2012
