"Masters_PLAYER_NAME_2004","Masters_Finish_2004","year"
"Phil Mickelson","1",2004
"Ernie Els","2",2004
"KJ Choi","3",2004
"Sergio Garcia","4",2004
"Bernhard Langer","4",2004
"Davis Love III","6",2004
"Nick Price","6",2004
"Vijay Singh","6",2004
"Chris DiMarco","6",2004
"Paul Casey","6",2004
"Fred Couples","6",2004
"Kirk Triplett","6",2004
"Retief Goosen","13",2004
"Padraig Harrington","13",2004
"Charles Howell III","13",2004
"Casey Wittenberg","13",2004
"Jay Haas","17",2004
"Steve Flesch","17",2004
"Stewart Cink","17",2004
"Freddie Jacobson","17",2004
"Stephen Leaney","17",2004
"Justin Rose","22",2004
"Tiger Woods","22",2004
"Stuart Appleby","22",2004
"Shaun Micheel","22",2004
"Alex Cejka","26",2004
"Bob Tway","27",2004
"Mark OMeara","27",2004
"Scott Verplank","29",2004
"Jose Maria Olazabal","30",2004
"Jerry Kelly","31",2004
"Brad Faxon","31",2004
"Bob Estes","31",2004
"Ian Poulter","31",2004
"Justin Leonard","35",2004
"Phillip Price","35",2004
"Paul Lawrie","37",2004
"Sandy Lyle","37",2004
"Eduardo Romero","39",2004
"Todd Hamilton","40",2004
"Tim Petrovic","41",2004
"Brandt Snedeker","41",2004
"Jeff Sluman","43",2004
"Chris Riley","44",2004
"Craig Stadler","51",2004
"Craig Perks","60",2004
"JL Lewis","69",2004
"Peter Lonard","51",2004
"Raymond Floyd","47",2004
"Robert Allenby","47",2004
"Michael Campbell","60",2004
"Ben Crenshaw","51",2004
"John Daly","75",2004
"Darren Clarke","45",2004
"Lia Wei Zhang","69",2004
"John Rollins","51",2004
"Mike Weir","80",2004
"Nathan Smith","75",2004
"Ben Curtis","47",2004
"Briny Baird","69",2004
"Rich Beem","69",2004
"Fred Funk","84",2004
"Jeff Maggert","75",2004
"Larry Mize","60",2004
"Jack Nicklaus","58",2004
"Craig Parry","51",2004
"David Toms","75",2004
"Colin Montgomerie","46",2004
"Len Mattiace","60",2004
"Rocco Mediate","58",2004
"Nick Faldo","60",2004
"Angel Cabrera","51",2004
"Jonathan Kaye","80",2004
"Ian Woosnam","60",2004
"Tom Watson","60",2004
"Nick Flanagan","75",2004
"Toshi Izawa","60",2004
"Kenny Perry","51",2004
"Adam Scott","84",2004
"Shigeki Maruyama","88",2004
"Trevor Immelman","69",2004
"Chad Campbell","60",2004
"Gary Wolstenholme","69",2004
"Jonathan Byrd","80",2004
"Tim Clark","47",2004
"Tim Herron","84",2004
"Brian Davis","88",2004
"Thomas Bjorn","84",2004
"Fuzzy Zoeller","80",2004
"Gary Player","88",2004
"Charles Coody","93",2004
"Arnold Palmer","91",2004
"Tommy Aaron","92",2004
"Gay Brewer","94",2004
"Billy Casper","95",2004
"Doug Ford","96",2004
"Byron Nelson","97",2004
"George Archer","98",2004
"Jack Burke Jr","99",2004
"Bob Goalby","100",2004
