"OpenChamp_PLAYER_NAME_2011","OpenChamp_Finish_2011","year"
"Darren Clarke",1,2011
"Phil Mickelson",2,2011
"Dustin Johnson",2,2011
"Thomas Bjorn",4,2011
"Chad Campbell",5,2011
"Anthony Kim",5,2011
"Rickie Fowler",5,2011
"Raphael Jacquelin",8,2011
"Sergio Garcia",9,2011
"Simon Dyson",9,2011
"Davis Love III",9,2011
"Steve Stricker",12,2011
"Martin Kaymer",12,2011
"Lucas Glover",12,2011
"George Coetzee",15,2011
"Richard Green",16,2011
"Charl Schwartzel",16,2011
"YE Yang",16,2011
"Freddie Jacobson",16,2011
"Webb Simpson",16,2011
"Zach Johnson",16,2011
"Tom Watson",22,2011
"Tom Lehman",22,2011
"Anders Hansen",22,2011
"Rory McIlroy",25,2011
"Adam Scott",25,2011
"Miguel Angel Jimenez",25,2011
"Ryan Moore",28,2011
"Charles Howell III",28,2011
"Seungyul Noh",30,2011
"Stewart Cink",30,2011
"Jason Day",30,2011
"Gary Woodland",30,2011
"Bubba Watson",30,2011
"Pablo Larrazabal",30,2011
"Ryan Palmer",30,2011
"Tom Lewis",30,2011
"Simon Khan",38,2011
"Jeff Overton",38,2011
"Gary Boyd",38,2011
"Yuta Ikeda",38,2011
"Robert Rock",38,2011
"Trevor Immelman",38,2011
"Spencer Levin",44,2011
"Justin Rose",44,2011
"KJ Choi",44,2011
"Kyle Stanley",44,2011
"Gregory Bourdy",48,2011
"Floris De Vries",48,2011
"Jim Furyk",48,2011
"Robert Allenby",48,2011
"Richard McEvoy",48,2011
"Peter Uihlein",48,2011
"Paul Casey",54,2011
"Rory Sabbatini",54,2011
"Louis Oosthuizen",54,2011
"Bill Haas",57,2011
"Gregory Havret",57,2011
"Ricky Barnes",57,2011
"Fredrik Andersson Hed",57,2011
"Stephen Gallacher",57,2011
"Bo Van Pelt",57,2011
"Matthew Millar",63,2011
"Joost Luiten",63,2011
"Mark Wilson",63,2011
"Paul Lawrie",66,2011
"Edoardo Molinari",66,2011
"Henrik Stenson",68,2011
"Harrison Frazar",69,2011
"Kenneth Ferrie",70,2011
"Junggon Hwang",71,2011
"Thomas Aiken",73,2011
"Padraig Harrington",73,2011
"Bryden Ma Pherson",73,2011
"Lee Westwood",73,2011
"JB Holmes",73,2011
"Alejandro Canizares",73,2011
"Justin Leonard",73,2011
"Ben Crane",73,2011
"Danny Willett",73,2011
"Graeme Storm",73,2011
"Hunter Mahan",73,2011
"Peter Hanson",73,2011
"Ross Fisher",73,2011
"Sean OHair",73,2011
"Rick Kulacz",73,2011
"Peter Whiteford",88,2011
"Brandt Snedeker",88,2011
"Graeme McDowell",88,2011
"Nick Watney",88,2011
"Matteo Manassero",88,2011
"Camilo Villegas",88,2011
"Alexander Noren",88,2011
"Robert Karlsson",95,2011
"Angel Cabrera",95,2011
"Luke Donald",95,2011
"John Daly",95,2011
"Jason Dufner",95,2011
"Kevin Streelman",95,2011
"Neil Schietekat",95,2011
"Martin Maritz",102,2011
"Prom Meesawat",102,2011
"Lee Corfield",102,2011
"Jason Knutzon",102,2011
"Charley Hoffman",102,2011
"Martin Laird",102,2011
"Geoff Ogilvy",102,2011
"Ian Poulter",102,2011
"Thorbjorn Olesen",102,2011
"Bernhard Langer",111,2011
"Tadahiro Takayama",111,2011
"San Moon Bae",111,2011
"Robert Garrigus",111,2011
"Mark Calcavecchia",111,2011
"Tetsuji Hiratsuka",111,2011
"Francesco Molinari",111,2011
"Ernie Els",111,2011
"Sandy Lyle",119,2011
"Jonathan Byrd",119,2011
"Kurt Barnes",119,2011
"Brad Kennedy",119,2011
"Kevin Na",119,2011
"Mark Laskey",119,2011
"Scott Jamieson",125,2011
"Steve Marino",125,2011
"Nathan Green",125,2011
"Aaron Baddeley",125,2011
"Tom Shadbolt",125,2011
"Chris Tidland",125,2011
"Simon Lilly",125,2011
"Matt Kuchar",132,2011
"Chi Bing Lam",132,2011
"Thongchai Jaidee",132,2011
"Hiroyuki Fujita",132,2011
"Ben Curtis",132,2011
"Brian Davis",132,2011
"Mark OMeara",138,2011
"Kyung Kim",138,2011
"Bob Estes",138,2011
"Adam Wootton",141,2011
"Andrew Johnston",141,2011
"Jerry Kelly",141,2011
"Prayad Marksaeng",141,2011
"Rhys Davies",141,2011
"Francis McGuirk",141,2011
"Andy Smith",147,2011
"Alvaro Quiros",147,2011
"Ryo Ishikawa",147,2011
"Hiroo Kawai",150,2011
"David Duval",150,2011
"Todd Hamilton",152,2011
"Markus Brier",153,2011
"Simon Edwards",154,2011
"Craig Hinton",155,2011
"Retief Goosen",72,2011
