"Masters_PLAYER_NAME_2010","Masters_Finish_2010","year"
"Phil Mickelson",1,2010
"Lee Westwood",2,2010
"Anthony Kim",3,2010
"Tiger Woods",4,2010
"KJ Choi",4,2010
"Fred Couples",6,2010
"Nick Watney",7,2010
"YE Yang",8,2010
"Hunter Mahan",8,2010
"Ricky Barnes",10,2010
"Ian Poulter",10,2010
"Miguel Angel Jimenez",12,2010
"Jerry Kelly",12,2010
"Ryan Moore",14,2010
"David Toms",14,2010
"Trevor Immelman",14,2010
"Steve Marino",14,2010
"Ernie Els",18,2010
"Scott Verplank",18,2010
"Adam Scott",18,2010
"Angel Cabrera",18,2010
"Heath Slocum",18,2010
"Tom Watson",18,2010
"Ben Crane",24,2010
"Matt Kuchar",24,2010
"Kenny Perry",26,2010
"Geoff Ogilvy",26,2010
"Bill Haas",26,2010
"Yuta Ikeda",29,2010
"Jason Dufner",30,2010
"Steve Stricker",30,2010
"Francesco Molinari",30,2010
"Charl Schwartzel",30,2010
"Soren Kjeldsen",30,2010
"Sean OHair",30,2010
"Lucas Glover",36,2010
"Matteo Manassero",36,2010
"Retief Goosen",38,2010
"Dustin Johnson",38,2010
"Camilo Villegas",38,2010
"Steve Flesch",38,2010
"Zach Johnson",42,2010
"Robert Karlsson",43,2010
"Mike Weir",43,2010
"Chad Campbell",45,2010
"Robert Allenby",45,2010
"Sergio Garcia",45,2010
"Nathan Green",48,2010
"Larry Mize",50,2010
"Ben Curtis",50,2010
"John Senden",50,2010
"Tim Clark",50,2010
"Ryo Ishikawa",50,2010
"Ryan Palmer",55,2010
"Soren Hansen",55,2010
"Padraig Harrington",55,2010
"John Merrick",55,2010
"Bernhard Langer",55,2010
"Graeme McDowell",55,2010
"Mark OMeara",55,2010
"Nathan Smith",55,2010
"Martin Kaymer",55,2010
"Luke Donald",55,2010
"Simon Dyson",65,2010
"Kevin Na",65,2010
"Justin Leonard",65,2010
"Brad Benjamin",65,2010
"Alvaro Quiros",65,2010
"John Rollins",70,2010
"Rory McIlroy",70,2010
"Edoardo Molinari",70,2010
"David Duval",70,2010
"Brian Gay",70,2010
"Marc Leishman",70,2010
"Todd Hamilton",70,2010
"Oliver Wilson",70,2010
"Shingo Katayama",78,2010
"Stewart Cink",78,2010
"Louis Oosthuizen",78,2010
"Ross Fisher",81,2010
"Rory Sabbatini",81,2010
"Paul Casey",81,2010
"Chris Wood",84,2010
"Vijay Singh",84,2010
"Sandy Lyle",86,2010
"Ben Crenshaw",86,2010
"Ben Martin",86,2010
"Changwon Han",86,2010
"Henrik Stenson",86,2010
"Byeon Hun An",86,2010
"Jim Furyk",92,2010
"Craig Stadler",93,2010
"Anders Hansen",93,2010
"Michael Campbell",95,2010
"Ian Woosnam",95,2010
"Thongchai Jaidee",49,2010
