"PGAChamp_PLAYER_NAME_2009","PGAChamp_Finish_2009","year"
"YE Yang",1,2009
"Tiger Woods",2,2009
"Lee Westwood",3,2009
"Rory McIlroy",3,2009
"Lucas Glover",5,2009
"Martin Kaymer",6,2009
"Ernie Els",6,2009
"Soren Kjeldsen",6,2009
"Henrik Stenson",6,2009
"John Merrick",10,2009
"Dustin Johnson",10,2009
"Zach Johnson",10,2009
"Francesco Molinari",10,2009
"Graeme McDowell",10,2009
"Padraig Harrington",10,2009
"Hunter Mahan",16,2009
"Vijay Singh",16,2009
"Tim Clark",16,2009
"Ian Poulter",19,2009
"Oliver Wilson",19,2009
"Michael Allen",19,2009
"Corey Pavin",19,2009
"Ross Fisher",19,2009
"Robert Allenby",24,2009
"KJ Choi",24,2009
"Ben Curtis",24,2009
"Scott McCarron",24,2009
"Stephen Ames",24,2009
"Brendan Jones",24,2009
"John Rollins",24,2009
"Alvaro Quiros",24,2009
"Jeff Overton",32,2009
"Gonzalo Fernande Castano",32,2009
"Kevin Sutherland",32,2009
"Steve Flesch",32,2009
"Soren Hansen",36,2009
"Fred Couples",36,2009
"Woody Austin",36,2009
"Thongchai Jaidee",36,2009
"Miguel Angel Jimenez",36,2009
"Boo Weekley",36,2009
"David Toms",36,2009
"Geoff Ogilvy",43,2009
"Kenny Perry",43,2009
"Rich Beem",43,2009
"Luke Donald",43,2009
"Chad Campbell",43,2009
"Kevin Na",43,2009
"Charl Schwartzel",43,2009
"Ben Crane",43,2009
"Thomas Levet",51,2009
"Michael Sim",51,2009
"Camilo Villegas",51,2009
"Anthony Kim",51,2009
"Retief Goosen",51,2009
"Ryo Ishikawa",56,2009
"Charlie Wi",56,2009
"Bob Tway",56,2009
"Hiroyuki Fujita",56,2009
"Tom Lehman",60,2009
"Richard Green",60,2009
"John Mallinger",60,2009
"JJ Henry",63,2009
"Nathan Green",63,2009
"Angel Cabrera",63,2009
"Jim Furyk",63,2009
"Paul Goydos",67,2009
"David Smail",67,2009
"Rory Sabbatini",67,2009
"Jeev Milkha Singh",67,2009
"Justin Leonard",67,2009
"Stewart Cink",67,2009
"Phil Mickelson",73,2009
"Gregory Bisconti",74,2009
"Sean OHair",75,2009
"Bob Estes",76,2009
"Chris Wood",76,2009
"Grant Sturgeon",76,2009
"Alastair Forsyth",79,2009
"Bubba Watson",82,2009
"Ryan Palmer",82,2009
"Davis Love III",82,2009
"Marc Turnesa",82,2009
"Scott Hebert",82,2009
"Carl Pettersson",82,2009
"Stuart Appleby",82,2009
"Sergio Garcia",82,2009
"Mathew Goggin",82,2009
"Justin Rose",82,2009
"Mark Brooks",82,2009
"Aaron Baddeley",82,2009
"Anders Hansen",82,2009
"Brandt Snedeker",82,2009
"Ken Duke",96,2009
"Brian Davis",96,2009
"Charles Howell III",96,2009
"Andres Romero",96,2009
"John Senden",96,2009
"Steve Elkington",96,2009
"Mark Wilson",96,2009
"Charley Hoffman",96,2009
"Briny Baird",96,2009
"Nick Watney",96,2009
"Bo Van Pelt",96,2009
"Peter Hanson",96,2009
"Michael Bradley",96,2009
"Matt Kuchar",96,2009
"Louis Oosthuizen",96,2009
"Tim Weinhart",111,2009
"Ryuji Imada",111,2009
"Steve Stricker",111,2009
"Steve Marino",111,2009
"Steve Webster",111,2009
"DJ Trahan",111,2009
"Scott Verplank",111,2009
"Craig Thomas",111,2009
"Keith Dicciani",119,2009
"Rod Pampling",119,2009
"Brett Quigley",119,2009
"Colin Montgomerie",122,2009
"Jason Dufner",122,2009
"Shingo Katayama",122,2009
"Pat Perez",122,2009
"Mike Miles",122,2009
"Darren Clarke",127,2009
"Mark Sheftic",127,2009
"Paul Azinger",127,2009
"Anthony Wall",127,2009
"Shaun Micheel",127,2009
"Will Ma Kenzie",132,2009
"Jerry Kelly",132,2009
"Nick Dougherty",132,2009
"Mike Weir",132,2009
"Chris Starkjohann",136,2009
"Cameron Beckman",136,2009
"Todd Lancaster",136,2009
"Prayad Marksaeng",139,2009
"Mike Small",139,2009
"Steve Schneiter",141,2009
"Sam Arnold",141,2009
"Kevin Streelman",141,2009
"Lee Rinker",144,2009
"Michael Campbell",144,2009
"Brian Gay",144,2009
"Brian Gaffney",144,2009
"Johan Edfors",148,2009
"Tim Petrovic",148,2009
"Adam Scott",150,2009
"Eric Lippert",151,2009
"Ryan Benzel",152,2009
"Mitch Lowe",152,2009
"Robert Gaus",154,2009
"Kevin Roman",154,2009
"Richard Sterne",156,2009
"JB Holmes",81,2009
"John Daly",80,2009
