"Masters_PLAYER_NAME_2013","Masters_Finish_2013","year"
"Adam Scott",1,2013
"Angel Cabrera",2,2013
"Jason Day",3,2013
"Tiger Woods",4,2013
"Marc Leishman",4,2013
"Thorbjorn Olesen",6,2013
"Brandt Snedeker",6,2013
"Sergio Garcia",8,2013
"Lee Westwood",8,2013
"Matt Kuchar",8,2013
"John Huh",11,2013
"Tim Clark",11,2013
"David Toms",13,2013
"Ernie Els",13,2013
"Dustin Johnson",13,2013
"Fred Couples",13,2013
"Nick Watney",13,2013
"Henrik Stenson",18,2013
"Branden Grace",18,2013
"Bill Haas",20,2013
"Jason Dufner",20,2013
"Gonzalo Fernande Castano",20,2013
"Bo Van Pelt",20,2013
"Steve Stricker",20,2013
"Michael Thompson",25,2013
"Rory McIlroy",25,2013
"Richard Sterne",25,2013
"Stewart Cink",25,2013
"Luke Donald",25,2013
"Charl Schwartzel",25,2013
"Freddie Jacobson",25,2013
"Justin Rose",25,2013
"Jim Furyk",25,2013
"Bernhard Langer",25,2013
"Martin Kaymer",35,2013
"John Senden",35,2013
"Zach Johnson",35,2013
"Ryan Moore",38,2013
"Ryo Ishikawa",38,2013
"Paul Lawrie",38,2013
"Vijay Singh",38,2013
"Brian Gay",38,2013
"DA Points",38,2013
"Robert Garrigus",38,2013
"Rickie Fowler",38,2013
"Thomas Bjorn",46,2013
"David Lynn",46,2013
"KJ Choi",46,2013
"Lucas Glover",49,2013
"Peter Hanson",50,2013
"Trevor Immelman",50,2013
"Jose Maria Olazabal",50,2013
"Bubba Watson",50,2013
"Keegan Bradley",54,2013
"Sandy Lyle",54,2013
"Phil Mickelson",54,2013
"Scott Piercy",54,2013
"Guan Tianlang",58,2013
"Kevin Na",59,2013
"John Peterson",60,2013
"Carl Pettersson",61,2013
"Martin Laird",62,2013
"Jamie Donaldson",62,2013
"George Coetzee",62,2013
"Matteo Manassero",62,2013
"YE Yang",62,2013
"Larry Mize",62,2013
"Ted Potter Jr",62,2013
"Webb Simpson",62,2013
"Graeme McDowell",62,2013
"Louis Oosthuizen",71,2013
"John Merrick",72,2013
"Ben Curtis",72,2013
"Mark OMeara",72,2013
"Mike Weir",72,2013
"Nicolas Colsaerts",72,2013
"Ian Poulter",72,2013
"Michael Weaver",78,2013
"TJ Vogel",78,2013
"Thaworn Wiratchant",78,2013
"Russell Henley",81,2013
"Kevin Streelman",81,2013
"Padraig Harrington",81,2013
"Francesco Molinari",84,2013
"Nathan Smith",84,2013
"Tom Watson",86,2013
"Steven Fox",86,2013
"Craig Stadler",88,2013
"Hunter Mahan",88,2013
"Ian Woosnam",88,2013
"Alan Dunbar",91,2013
"Ben Crenshaw",92,2013
"Hiroyuki Fujita",92,2013
