"OpenChamp_PLAYER_NAME_2009","OpenChamp_Finish_2009","year"
"Stewart Cink",1,2009
"Tom Watson",2,2009
"Chris Wood",3,2009
"Lee Westwood",3,2009
"Luke Donald",5,2009
"Retief Goosen",5,2009
"Mathew Goggin",5,2009
"Soren Hansen",8,2009
"Justin Leonard",8,2009
"Ernie Els",8,2009
"Thomas Aiken",8,2009
"Richard S Johnson",8,2009
"Jeff Overton",13,2009
"Andres Romero",13,2009
"Miguel Angel Jimenez",13,2009
"Camilo Villegas",13,2009
"Justin Rose",13,2009
"Henrik Stenson",13,2009
"Francesco Molinari",13,2009
"Boo Weekley",13,2009
"Thongchai Jaidee",13,2009
"Ross Fisher",13,2009
"Matteo Manassero",13,2009
"Peter Hanson",24,2009
"Oliver Wilson",24,2009
"Angel Cabrera",24,2009
"Davis Love III",27,2009
"Soren Kjeldsen",27,2009
"Mark Calcavecchia",27,2009
"Nick Watney",27,2009
"Kenichi Kuboya",27,2009
"James Kingston",27,2009
"John Daly",27,2009
"Richard Sterne",34,2009
"Martin Kaymer",34,2009
"Graeme McDowell",34,2009
"Jim Furyk",34,2009
"Sergio Garcia",38,2009
"Thomas Levet",38,2009
"Nick Dougherty",38,2009
"Vijay Singh",38,2009
"Steve Marino",38,2009
"Anthony Wall",43,2009
"Branden Grace",43,2009
"Paul McGinley",43,2009
"Bryce Molder",43,2009
"Paul Lawrie",47,2009
"Zach Johnson",47,2009
"Paul Casey",47,2009
"Rory McIlroy",47,2009
"Gonzalo Fernande Castano",47,2009
"Darren Clarke",52,2009
"Kenny Perry",52,2009
"Graeme Storm",52,2009
"Robert Allenby",52,2009
"Johan Edfors",52,2009
"Billy Mayfair",52,2009
"David Howell",52,2009
"Steve Stricker",52,2009
"David Drysdale",60,2009
"Tom Lehman",60,2009
"Paul Broadhurst",60,2009
"Kevin Sutherland",60,2009
"Ryuji Imada",64,2009
"Fredrik Andersson Hed",65,2009
"Padraig Harrington",65,2009
"Stuart Appleby",65,2009
"Sean OHair",65,2009
"JB Holmes",69,2009
"Mark OMeara",70,2009
"Freddie Jacobson",70,2009
"Paul Goydos",72,2009
"Daniel Gaunt",73,2009
"Ben Curtis",75,2009
"Mike Weir",75,2009
"Colin Montgomerie",75,2009
"Todd Hamilton",75,2009
"Charley Hoffman",75,2009
"Peter Hedblom",75,2009
"Josh Geary",75,2009
"Adam Scott",75,2009
"Anders Hansen",75,2009
"Tiger Woods",75,2009
"DJ Trahan",75,2009
"Matt Kuchar",86,2009
"Tim Clark",86,2009
"KJ Choi",86,2009
"Anthony Kim",86,2009
"Peter Baker",86,2009
"Elliot Saltman",86,2009
"John Senden",86,2009
"Louis Oosthuizen",86,2009
"Ryo Ishikawa",86,2009
"Martin Laird",86,2009
"Ben Crane",86,2009
"Rhys Davies",97,2009
"James Driscoll",97,2009
"David Toms",97,2009
"Rory Sabbatini",97,2009
"Charl Schwartzel",97,2009
"David Duval",97,2009
"Yuta Ikeda",97,2009
"Richard Green",97,2009
"Briny Baird",97,2009
"Mark Brown",97,2009
"Rod Pampling",97,2009
"David Higgins",108,2009
"Gaganjeet Bhullar",108,2009
"Alvaro Quiros",108,2009
"Sandy Lyle",108,2009
"Charles Howell III",108,2009
"Gary Orr",108,2009
"Bubba Watson",108,2009
"Raphael Jacquelin",108,2009
"Markus Brier",108,2009
"Prayad Marksaeng",108,2009
"Robert Rock",108,2009
"Brian Gay",119,2009
"Stephen Ames",119,2009
"Lucas Glover",119,2009
"Stephan Gross",119,2009
"David Smail",119,2009
"Rafael Echenique",119,2009
"Liang We Chong",119,2009
"Azuma Yano",119,2009
"Richie Ramsay",119,2009
"Brandt Snedeker",119,2009
"Tomohiro Kondo",129,2009
"Tim Wood",129,2009
"Terry Pilkadaris",129,2009
"Steve Surry",129,2009
"Chad Campbell",129,2009
"Ken Duke",129,2009
"Tim Stewart",135,2009
"Jeremy Kavanagh",135,2009
"Nick Faldo",135,2009
"Hunter Mahan",135,2009
"Carl Pettersson",135,2009
"Richard Finch",135,2009
"Marc Cayeux",135,2009
"Damien McGrane",142,2009
"Greg Norman",142,2009
"Lloyd Saltman",142,2009
"Thomas Haylock",142,2009
"Geoff Ogilvy",146,2009
"Bruce Vaughan",146,2009
"Ian Poulter",148,2009
"Koumei Oda",148,2009
"Dustin Johnson",148,2009
"Daniel Wardrop",151,2009
"Michael Wright",152,2009
"Oliver Fisher",153,2009
"Pablo Larrazabal",154,2009
"Peter Ellebye",155,2009
"Jaco Ahlers",156,2009
"Michael Campbell",74,2009
