"USOpen_PLAYER_NAME_2013","USOpen_Finish_2013","year"
"Justin Rose",1,2013
"Jason Day",2,2013
"Phil Mickelson",2,2013
"Jason Dufner",4,2013
"Ernie Els",4,2013
"Billy Horschel",4,2013
"Hunter Mahan",4,2013
"Luke Donald",8,2013
"Steve Stricker",8,2013
"Hideki Matsuyama",10,2013
"Nicolas Colsaerts",10,2013
"Gonzalo Fernande Castano",10,2013
"Rickie Fowler",10,2013
"Charl Schwartzel",14,2013
"Lee Westwood",15,2013
"John Senden",15,2013
"John Huh",17,2013
"Brandt Snedeker",17,2013
"David Lingmerth",17,2013
"Michael Kim",17,2013
"Martin Laird",21,2013
"David Hearn",21,2013
"Padraig Harrington",21,2013
"Mathew Goggin",21,2013
"Bo Van Pelt",21,2013
"Ian Poulter",21,2013
"Henrik Stenson",21,2013
"Mike Weir",28,2013
"John Parry",28,2013
"Matt Kuchar",28,2013
"Morten Orum Madsen",28,2013
"Geoff Ogilvy",32,2013
"Kevin Chappell",32,2013
"Webb Simpson",32,2013
"KJ Choi",32,2013
"Tiger Woods",32,2013
"Jamie Donaldson",32,2013
"Edward Loar",32,2013
"Bubba Watson",32,2013
"Paul Lawrie",32,2013
"Carl Pettersson",41,2013
"Scott Langley",41,2013
"Rory McIlroy",41,2013
"Jerry Kelly",41,2013
"Steven Alker",45,2013
"Russell Knox",45,2013
"Sergio Garcia",45,2013
"Adam Scott",45,2013
"Bio Kim",45,2013
"Charley Hoffman",45,2013
"Paul Casey",45,2013
"Cheng Tsung Pan",45,2013
"Scott Stallings",53,2013
"Matt Bettencourt",53,2013
"Dustin Johnson",55,2013
"Josh Teater",56,2013
"Nicholas Thompson",56,2013
"George Coetzee",56,2013
"Shawn Stefani",59,2013
"Martin Kaymer",59,2013
"Marcel Siem",59,2013
"Matt Weibring",62,2013
"Kevin Phelan",62,2013
"Michael Weaver",64,2013
"Peter Hedblom",65,2013
"David Howell",65,2013
"Kevin Sutherland",67,2013
"John Peterson",67,2013
"Jim Herman",67,2013
"Alistair Presnell",67,2013
"Robert Karlsson",71,2013
"Simon Khan",72,2013
"Kyle Stanley",73,2013
"Justin Hicks",76,2013
"Chris Williams",76,2013
"Michael Thompson",76,2013
"Cliff Kresge",76,2013
"Tim Clark",76,2013
"Peter Hanson",76,2013
"Aaron Baddeley",76,2013
"Rory Sabbatini",76,2013
"Matteo Manassero",76,2013
"Freddie Jacobson",76,2013
"Doug LaBelle II",76,2013
"Brian Stuard",87,2013
"Morgan Hoffmann",87,2013
"Casey Wittenberg",87,2013
"Kevin Streelman",87,2013
"Steven Fox",87,2013
"Stewart Cink",87,2013
"Hiroyuki Fujita",87,2013
"Ted Potter Jr",87,2013
"Jaco Van Zyl",87,2013
"Christopher Doak",87,2013
"Zach Johnson",97,2013
"DA Points",97,2013
"San Moon Bae",97,2013
"Gavin Hall",97,2013
"Max Homa",97,2013
"Nick Watney",97,2013
"Bill Haas",97,2013
"Boo Weekley",97,2013
"Andrew Svoboda",97,2013
"Ryan Nelson",97,2013
"Brendan Steele",107,2013
"David Toms",107,2013
"Marcus Fraser",107,2013
"Francesco Molinari",107,2013
"Luke Guthrie",107,2013
"Brandon Brown",107,2013
"Keegan Bradley",107,2013
"YE Yang",107,2013
"Marc Leishman",115,2013
"Graeme McDowell",115,2013
"Thongchai Jaidee",115,2013
"Branden Grace",115,2013
"Jordan Spieth",115,2013
"Junggon Hwang",115,2013
"Ryan Yip",115,2013
"Geoffrey Sisk",115,2013
"Mackenzie Hughes",115,2013
"Randall Hutchison",115,2013
"John Hahn",115,2013
"Estanislao Goya",126,2013
"Scott Piercy",126,2013
"Eddie Pepperell",126,2013
"Jesse Smith",126,2013
"Brandt Jobe",126,2013
"Jay Don Blake",126,2013
"Michael Campbell",126,2013
"Ryan Palmer",126,2013
"Darren Clarke",134,2013
"Angel Cabrera",134,2013
"Rikard Karlberg",134,2013
"Will Collins",134,2013
"Harold Varner III",134,2013
"Jose Maria Olazabal",139,2013
"Jim Furyk",139,2013
"Joe Ogilvie",139,2013
"Lucas Glover",139,2013
"Ryan Moore",139,2013
"Russell Henley",144,2013
"Adam Hadwin",144,2013
"Thorbjorn Olesen",146,2013
"Yoshinobu Tsukada",146,2013
"Zack Fischer",146,2013
"Matt Harmon",149,2013
"Brandon Crick",149,2013
"Roger Tambellini",151,2013
"Cory McElyea",151,2013
"Yui Ueda",153,2013
"John Nieporte",154,2013
"Ryan Sullivan",155,2013
"Grayson Murray",156,2013
"Louis Oosthuizen",74,2013
"Robert Garrigus",75,2013
