"OpenChamp_PLAYER_NAME_2006","OpenChamp_Finish_2006","year"
"Tiger Woods",1,2006
"Chris DiMarco",2,2006
"Ernie Els",3,2006
"Jim Furyk",4,2006
"Hideto Tanihara",5,2006
"Sergio Garcia",5,2006
"Angel Cabrera",7,2006
"Carl Pettersson",8,2006
"Adam Scott",8,2006
"Andres Romero",8,2006
"Anthony Wall",11,2006
"Ben Crane",11,2006
"SK Ho",11,2006
"Sean OHair",14,2006
"Retief Goosen",14,2006
"Robert Rock",16,2006
"Brett Rumford",16,2006
"Mikko Ilonen",16,2006
"Geoff Ogilvy",16,2006
"Robert Allenby",16,2006
"Peter Lonard",16,2006
"Mark Hensby",22,2006
"Phil Mickelson",22,2006
"Charl Schwartzel",22,2006
"Greg Owen",22,2006
"Paul Broadhurst",26,2006
"Rory Sabbatini",26,2006
"Lee Slattery",26,2006
"Hunter Mahan",26,2006
"Jerry Kelly",26,2006
"Lee Westwood",31,2006
"Thaworn Wiratchant",31,2006
"Simon Khan",31,2006
"Scott Verplank",31,2006
"Michael Campbell",35,2006
"John Senden",35,2006
"Luke Donald",35,2006
"Rod Pampling",35,2006
"Robert Karlsson",35,2006
"Marcus Fraser",35,2006
"Thomas Bjorn",41,2006
"Brandt Jobe",41,2006
"Miguel Angel Jimenez",41,2006
"Stephen Ames",41,2006
"Soren Kjeldsen",41,2006
"Jeff Sluman",41,2006
"Mark Calcavecchia",41,2006
"Gonzalo Fernande Castano",48,2006
"Tom Watson",48,2006
"Henrik Stenson",48,2006
"Simon Dyson",48,2006
"Simon Wakefield",48,2006
"John Bickerton",48,2006
"Andrew Marshall",48,2006
"Marius Thorp",48,2006
"David Duval",56,2006
"Jose Maria Olazabal",56,2006
"Mike Weir",56,2006
"Keiichiro Fukabori",56,2006
"Tim Clark",56,2006
"Andrew Buckle",61,2006
"Graeme McDowell",61,2006
"Marco Ruiz",63,2006
"Mark OMeara",63,2006
"Chad Campbell",65,2006
"Vaughn Taylor",66,2006
"Fred Funk",66,2006
"Todd Hamilton",68,2006
"Edoardo Molinari",68,2006
"Bart Bryant",70,2006
"Paul Casey",71,2006
"Rich Beem",74,2006
"Scott Drummond",74,2006
"Jeff Maggert",74,2006
"Jarrod Lyle",74,2006
"Mathew Goggin",74,2006
"Paul McGinley",74,2006
"Markus Brier",74,2006
"Bradley Dredge",74,2006
"Niclas Fasth",74,2006
"Phillip Price",74,2006
"Tom Pernice Jr",74,2006
"Mark Pilkington",74,2006
"Ted Purdy",86,2006
"Lucas Glover",86,2006
"Steve Elkington",86,2006
"John Daly",86,2006
"Nick OHern",86,2006
"Tom Lehman",86,2006
"Shiv Kapur",86,2006
"Sandy Lyle",93,2006
"JJ Henry",93,2006
"Richard Green",93,2006
"Aaron Baddeley",93,2006
"Brett Wetterich",93,2006
"Bo Van Pelt",93,2006
"David Smail",93,2006
"KJ Choi",93,2006
"Ben Curtis",93,2006
"Fred Couples",93,2006
"Vijay Singh",93,2006
"Zach Johnson",93,2006
"Stephen Dodd",93,2006
"Stuart Appleby",93,2006
"Thomas Aiken",93,2006
"Nick Dougherty",108,2006
"Julien Guerrier",108,2006
"Davis Love III",108,2006
"Louis Oosthuizen",108,2006
"Bradley Hughes",108,2006
"Darren Parris",108,2006
"Billy Andrade",108,2006
"Kenny Perry",108,2006
"Shaun Micheel",108,2006
"Michael Wright",108,2006
"Adam Bland",108,2006
"Shingo Katayama",119,2006
"Nick Faldo",119,2006
"Ross Wellington",119,2006
"Bernhard Langer",119,2006
"Colin Montgomerie",119,2006
"Arron Oberholser",119,2006
"Stewart Cink",125,2006
"Johan Edfors",125,2006
"Richard Sterne",125,2006
"Tim Herron",125,2006
"Padraig Harrington",125,2006
"Toshinori Muto",125,2006
"JB Holmes",125,2006
"Jim Payne",125,2006
"Peter Hedblom",133,2006
"Barry Lane",133,2006
"David Howell",133,2006
"Paul Lawrie",133,2006
"Brett Quigley",133,2006
"Jamie Donaldson",138,2006
"Yasuharu Imano",138,2006
"Darren Clarke",138,2006
"Seve Ballesteros",138,2006
"Ian Poulter",138,2006
"Nick Ludwell",138,2006
"Bruce Vaughan",144,2006
"Tatsuhiko Ichihara",144,2006
"Warren Bladon",144,2006
"Adam Frayne",144,2006
"Warren Abery",148,2006
"Danny Denison",72,2006
"Gary Lockerbie",149,2006
"Wayne Perske",150,2006
"Unho Park",151,2006
"Carlos Rodiles",152,2006
"Sam Little",152,2006
"Ben Bunny",152,2006
"Gary Day",155,2006
"Jon Bevan",156,2006
"Kenneth Ferrie",73,2006
