"OpenChamp_PLAYER_NAME_2014","OpenChamp_Finish_2014","year"
"Rory McIlroy",1,2014
"Sergio Garcia",2,2014
"Rickie Fowler",2,2014
"Jim Furyk",4,2014
"Marc Leishman",5,2014
"Adam Scott",5,2014
"Charl Schwartzel",7,2014
"Edoardo Molinari",7,2014
"Shane Lowry",9,2014
"Graeme McDowell",9,2014
"Victor Dubuisson",9,2014
"Ryan Moore",12,2014
"Robert Karlsson",12,2014
"Dustin Johnson",12,2014
"Francesco Molinari",15,2014
"Stephen Gallacher",15,2014
"David Howell",15,2014
"George Coetzee",18,2014
"Angel Cabrera",19,2014
"Keegan Bradley",19,2014
"Chris Kirk",19,2014
"Matteo Manassero",19,2014
"Chris Wood",23,2014
"Phil Mickelson",23,2014
"Justin Rose",23,2014
"Thomas Bjorn",26,2014
"Ben Martin",26,2014
"Brian Harman",26,2014
"Byeon Hun An",26,2014
"Jimmy Walker",26,2014
"Darren Clarke",26,2014
"DA Points",32,2014
"Hunter Mahan",32,2014
"David Hearn",32,2014
"Kristoffer Broberg",32,2014
"Louis Oosthuizen",36,2014
"Jordan Spieth",36,2014
"Branden Grace",36,2014
"Brendon Todd",39,2014
"Koumei Oda",39,2014
"Henrik Stenson",39,2014
"Hideki Matsuyama",39,2014
"Gary Woodland",39,2014
"Thongchai Jaidee",39,2014
"Kevin Stadler",39,2014
"Marc Warren",39,2014
"Stewart Cink",47,2014
"Gregory Bourdy",47,2014
"Paul Casey",47,2014
"Zach Johnson",47,2014
"Tom Watson",51,2014
"Jason Dufner",51,2014
"Bill Haas",51,2014
"Matt Kuchar",54,2014
"Matt Jones",54,2014
"Kevin Na",54,2014
"Kevin Streelman",54,2014
"Ryan Palmer",58,2014
"Jamie McLeary",58,2014
"John Senden",58,2014
"Jason Day",58,2014
"Chris Rodgers",58,2014
"Brandt Snedeker",58,2014
"Billy Hurley III",64,2014
"Thorbjorn Olesen",64,2014
"Luke Donald",64,2014
"Charley Hoffman",67,2014
"Brooks Koepka",67,2014
"Tiger Woods",69,2014
"Martin Kaymer",70,2014
"Matt Every",71,2014
"Rhein Gibson",72,2014
"Hiroshi Iwata",74,2014
"Shawn Stefani",74,2014
"Nick Watney",74,2014
"Graham DeLaet",74,2014
"Lee Westwood",74,2014
"Rafael Cabrera Bello",74,2014
"Oliver Fisher",74,2014
"Dawie Van Der Walt",74,2014
"Kiradech Aphibarnrat",74,2014
"Ashley Chesters",74,2014
"Justin Leonard",74,2014
"KJ Choi",74,2014
"Ian Poulter",74,2014
"Paul McKechnie",74,2014
"Oscar Floren",74,2014
"Yoshinobu Tsukada",74,2014
"Brendon de Jonge",90,2014
"Cheng Tsung Pan",90,2014
"Danny Willett",90,2014
"Boo Weekley",90,2014
"Miguel Angel Jimenez",90,2014
"Bubba Watson",90,2014
"Billy Horschel",90,2014
"Ryo Ishikawa",90,2014
"Ross Fisher",90,2014
"John Daly",90,2014
"Paul Dunne",90,2014
"Cameron Tringale",90,2014
"Hyun Sung Kim",90,2014
"Erik Compton",90,2014
"Freddie Jacobson",90,2014
"Ben Curtis",90,2014
"Mikko Ilonen",90,2014
"Harris English",90,2014
"Brett Rumford",90,2014
"John Singleton",90,2014
"Hyun Tae Kim",90,2014
"Scott Stallings",111,2014
"Yusaku Miyazato",111,2014
"George McNeill",111,2014
"Rhys Enoch",111,2014
"Patrick Reed",111,2014
"Juvic Pagunsan",111,2014
"Jonas Blixt",117,2014
"Gonzalo Fernande Castano",117,2014
"Tommy Fleetwood",117,2014
"Matthew Baldwin",117,2014
"Anirban Lahiri",117,2014
"Victor Riu",122,2014
"YE Yang",122,2014
"AShun Wu",122,2014
"JB Holmes",122,2014
"Jamie Donaldson",122,2014
"Chesson Hadley",122,2014
"Justin Walters",122,2014
"Masanori Kobayashi",122,2014
"Bernd Wiesberger",122,2014
"Todd Hamilton",122,2014
"Tyrrell Hatton",132,2014
"Pablo Larrazabal",132,2014
"Ernie Els",132,2014
"Richard Sterne",132,2014
"David Duval",132,2014
"Padraig Harrington",132,2014
"Webb Simpson",138,2014
"Nick Faldo",138,2014
"Tomohiro Kondo",138,2014
"Brendan Steele",141,2014
"Scott Jamieson",141,2014
"Paul Lawrie",141,2014
"Roberto Castro",144,2014
"Russell Henley",144,2014
"Jin Jeong",144,2014
"Bradley Neil",144,2014
"Chris Hanson",144,2014
"Matthew Southgate",149,2014
"Chris Stroud",149,2014
"Peter Uihlein",149,2014
"Don Kyu Jang",152,2014
"Joost Luiten",152,2014
"Mark Wiebe",152,2014
"Sandy Lyle",155,2014
"Bryden Ma Pherson",156,2014
"Michael Hoey",73,2014
