"PGAChamp_PLAYER_NAME_2015","PGAChamp_Finish_2015","year"
"Jason Day",1,2015
"Jordan Spieth",2,2015
"Branden Grace",3,2015
"Justin Rose",4,2015
"Brooks Koepka",5,2015
"Anirban Lahiri",5,2015
"George Coetzee",7,2015
"Matt Kuchar",7,2015
"Dustin Johnson",7,2015
"Robert Streb",10,2015
"Tony Finau",10,2015
"David Lingmerth",12,2015
"Brendan Steele",12,2015
"Russell Henley",12,2015
"Brandt Snedeker",12,2015
"Martin Kaymer",12,2015
"Rory McIlroy",17,2015
"Victor Dubuisson",18,2015
"Phil Mickelson",18,2015
"Justin Thomas",18,2015
"Bubba Watson",21,2015
"Hiroshi Iwata",21,2015
"Matt Jones",21,2015
"JB Holmes",24,2015
"Tyrrell Hatton",25,2015
"Cameron Smith",25,2015
"Henrik Stenson",25,2015
"Ernie Els",25,2015
"Billy Horschel",25,2015
"Louis Oosthuizen",30,2015
"Steve Stricker",30,2015
"Nick Watney",30,2015
"Rickie Fowler",30,2015
"Jim Furyk",30,2015
"Patrick Reed",30,2015
"Paul Casey",30,2015
"Ryan Moore",37,2015
"Vijay Singh",37,2015
"Hideki Matsuyama",37,2015
"Jason Bohn",37,2015
"Charl Schwartzel",37,2015
"Boo Weekley",37,2015
"Kevin Chappell",43,2015
"Lee Westwood",43,2015
"Danny Lee",43,2015
"Hunter Mahan",43,2015
"Luke Donald",43,2015
"Harris English",48,2015
"YE Yang",48,2015
"Marc Warren",48,2015
"Marcel Siem",48,2015
"Thomas Bjorn",48,2015
"Scott Piercy",48,2015
"Troy Merritt",54,2015
"Sergio Garcia",54,2015
"Kevin Streelman",54,2015
"Mikko Ilonen",54,2015
"Danny Willett",54,2015
"Webb Simpson",54,2015
"Francesco Molinari",54,2015
"Keegan Bradley",61,2015
"Emiliano Grillo",61,2015
"Chesson Hadley",61,2015
"San Moon Bae",64,2015
"Brendon de Jonge",65,2015
"Charles Howell III",65,2015
"Bill Haas",65,2015
"Nick Taylor",68,2015
"Kiradech Aphibarnrat",68,2015
"Jason Dufner",68,2015
"Brian Gaffney",71,2015
"JJ Henry",72,2015
"Koumei Oda",72,2015
"Sean OHair",72,2015
"Carl Pettersson",75,2015
"Morgan Hoffmann",75,2015
"James Morrison",77,2015
"Shaun Micheel",80,2015
"Shane Lowry",80,2015
"Bernd Wiesberger",80,2015
"Zach Johnson",80,2015
"Padraig Harrington",80,2015
"John Senden",80,2015
"Kevin Kisner",80,2015
"Marc Leishman",80,2015
"David Hearn",80,2015
"Rory Sabbatini",80,2015
"Ryan Palmer",80,2015
"Martin Laird",80,2015
"George McNeill",92,2015
"Jimmy Walker",92,2015
"Rafael Cabrera Bello",92,2015
"Daniel Berger",92,2015
"Russell Knox",92,2015
"Tim Clark",92,2015
"Kevin Na",92,2015
"Richie Ramsay",92,2015
"Ryan Helminen",92,2015
"Tiger Woods",92,2015
"Tommy Fleetwood",102,2015
"Steven Bowditch",102,2015
"Graeme McDowell",102,2015
"Shawn Stefani",102,2015
"Pat Perez",102,2015
"Matt Dobyns",102,2015
"Byeon Hun An",102,2015
"Geoff Ogilvy",102,2015
"James Hahn",102,2015
"Brendon Todd",102,2015
"Soren Kjeldsen",112,2015
"Ian Poulter",112,2015
"Camilo Villegas",112,2015
"Miguel Angel Jimenez",112,2015
"Andy Sullivan",112,2015
"Grant Sturgeon",112,2015
"Colin Montgomerie",112,2015
"Ross Fisher",112,2015
"Bob Sowards",120,2015
"Chris Wood",120,2015
"Pablo Larrazabal",120,2015
"Adam Scott",120,2015
"David Howell",120,2015
"Adam Rainaud",120,2015
"Davis Love III",126,2015
"Joost Luiten",126,2015
"Cameron Tringale",126,2015
"Benjamin Polland",126,2015
"Stephen Gallacher",126,2015
"Thongchai Jaidee",126,2015
"David Toms",126,2015
"Brian Harman",126,2015
"Brett Jones",134,2015
"Ben Martin",134,2015
"Alexander Levy",134,2015
"Eddie Pepperell",134,2015
"Rich Beem",138,2015
"Johan Kok",138,2015
"Matt Every",138,2015
"John Daly",141,2015
"Brent Snyder",141,2015
"Charley Hoffman",143,2015
"Fabian Gomez",143,2015
"Steven Young",145,2015
"Charles Frost",146,2015
"Darren Clarke",146,2015
"Omar Uresti",146,2015
"Sean Dougherty",149,2015
"Jeff Olson",150,2015
"Mark Brooks",151,2015
"Austin Peters",152,2015
"Brian Cairns",153,2015
"Daniel Venezio",154,2015
"Ryan Kennedy",155,2015
"Alan Morin",155,2015
"Alex Cejka",78,2015
"Jamie Donaldson",79,2015
