"USOpen_PLAYER_NAME_2014","USOpen_Finish_2014","year"
"Martin Kaymer",1,2014
"Erik Compton",2,2014
"Rickie Fowler",2,2014
"Keegan Bradley",4,2014
"Jason Day",4,2014
"Brooks Koepka",4,2014
"Dustin Johnson",4,2014
"Henrik Stenson",4,2014
"Adam Scott",9,2014
"Jimmy Walker",9,2014
"Brandt Snedeker",9,2014
"Jim Furyk",12,2014
"Marcel Siem",12,2014
"Justin Rose",12,2014
"Kevin Na",12,2014
"Matt Kuchar",12,2014
"Brendon Todd",17,2014
"Ian Poulter",17,2014
"JB Holmes",17,2014
"Jordan Spieth",17,2014
"Cody Gribble",21,2014
"Steve Stricker",21,2014
"Billy Horschel",23,2014
"Aaron Baddeley",23,2014
"Shiv Kapur",23,2014
"Rory McIlroy",23,2014
"Francesco Molinari",23,2014
"Daniel Berger",28,2014
"Graeme McDowell",28,2014
"Kenny Perry",28,2014
"Phil Mickelson",28,2014
"Victor Dubuisson",28,2014
"Brendon de Jonge",28,2014
"Chris Kirk",28,2014
"Patrick Reed",35,2014
"Ernie Els",35,2014
"Sergio Garcia",35,2014
"Bill Haas",35,2014
"Hideki Matsuyama",35,2014
"Lucas Bjerregaard",40,2014
"Louis Oosthuizen",40,2014
"Zac Blair",40,2014
"Zach Johnson",40,2014
"Garth Mulroy",40,2014
"Danny Willett",45,2014
"Webb Simpson",45,2014
"Retief Goosen",45,2014
"Billy Hurley III",48,2014
"Harris English",48,2014
"Ryan Moore",48,2014
"Matthew Fitzpatrick",48,2014
"Gary Woodland",52,2014
"Seungyul Noh",52,2014
"Scott Langley",54,2014
"Stewart Cink",54,2014
"Fran Quinn",56,2014
"Paul Casey",56,2014
"Nicholas Lindheim",56,2014
"Justin Leonard",59,2014
"Russell Henley",60,2014
"Kevin Tway",60,2014
"Alex Cejka",60,2014
"Kevin Stadler",63,2014
"Clayton Rask",63,2014
"Bo Van Pelt",63,2014
"Boo Weekley",66,2014
"Toru Taniguchi",67,2014
"Casey Wittenberg",68,2014
"Hudson Swafford",68,2014
"Andres Echavarria",68,2014
"Mark Wilson",68,2014
"Shane Lowry",68,2014
"Luke Donald",68,2014
"Bubba Watson",68,2014
"Charl Schwartzel",68,2014
"Jason Dufner",68,2014
"Hunter Mahan",68,2014
"Rod Pampling",68,2014
"Cory Whitsett",68,2014
"Hunter Stewart",68,2014
"Kyoun Hoon Lee",68,2014
"Matt Jones",68,2014
"Angel Cabrera",68,2014
"Thongchai Jaidee",68,2014
"Miguel Angel Jimenez",68,2014
"Joost Luiten",68,2014
"Matt Dobyns",68,2014
"Brian Campbell",68,2014
"Nicolas Colsaerts",89,2014
"Ken Duke",89,2014
"John Senden",89,2014
"Darren Clarke",89,2014
"Geoff Ogilvy",89,2014
"Luke Guthrie",89,2014
"Ryan Blaum",89,2014
"Jim Renner",89,2014
"Christopher Doak",89,2014
"Andrea Pavan",89,2014
"Stephen Gallacher",89,2014
"David Toms",89,2014
"Lucas Glover",101,2014
"Ryan Palmer",101,2014
"David Gossett",101,2014
"Sam Love",101,2014
"Cameron Wilson",101,2014
"Chad Collins",101,2014
"Brian Stuard",101,2014
"Roberto Castro",101,2014
"Matt Every",101,2014
"Lee Westwood",101,2014
"Nick Watney",101,2014
"Justin Thomas",101,2014
"WC Liang",101,2014
"Oliver Fisher",114,2014
"Joe Ogilvie",114,2014
"Henrik Norlander",114,2014
"Pablo Larrazabal",114,2014
"Tom Lewis",114,2014
"Craig Barlow",114,2014
"Smylie Kaufman",114,2014
"Niclas Fasth",121,2014
"Graham DeLaet",121,2014
"Hyun Sung Kim",121,2014
"Bernd Wiesberger",121,2014
"Kevin Sutherland",121,2014
"Maximilian Kieffer",121,2014
"Maverick McNealy",121,2014
"Anthony Broussard",121,2014
"Graeme Storm",129,2014
"David Oh",129,2014
"YE Yang",129,2014
"Jamie Donaldson",129,2014
"Brett Stegmaier",129,2014
"DA Points",129,2014
"Brady Watt",129,2014
"Steven Alker",136,2014
"Kevin Streelman",136,2014
"Gonzalo Fernande Castano",136,2014
"Simon Griffiths",136,2014
"Rob Oppenheim",136,2014
"Kevin Kisner",136,2014
"Robert Allenby",136,2014
"Aron Price",136,2014
"Jonas Blixt",144,2014
"Jeff Maggert",144,2014
"Robby Shelton",144,2014
"Nick Mason",144,2014
"Chris Thompson",148,2014
"Oliver Goss",148,2014
"Bobby Gates",150,2014
"Donald Constable",150,2014
"Brandon McIver",150,2014
"Will Grimmer",153,2014
"Andrew Dorn",154,2014
"Azuma Yano",155,2014
"Kiyoshi Miyazato",156,2014
