"PGAChamp_PLAYER_NAME_2013","PGAChamp_Finish_2013","year"
"Jason Dufner",1,2013
"Jim Furyk",2,2013
"Henrik Stenson",3,2013
"Jonas Blixt",4,2013
"Scott Piercy",5,2013
"Adam Scott",5,2013
"David Toms",7,2013
"Jason Day",8,2013
"Zach Johnson",8,2013
"Dustin Johnson",8,2013
"Rory McIlroy",8,2013
"Graeme McDowell",12,2013
"Boo Weekley",12,2013
"Marc Leishman",12,2013
"Roberto Castro",12,2013
"Marc Warren",12,2013
"Kevin Streelman",12,2013
"Steve Stricker",12,2013
"Keegan Bradley",19,2013
"Hideki Matsuyama",19,2013
"Rickie Fowler",19,2013
"Michael Thompson",22,2013
"Matt Kuchar",22,2013
"David Lynn",22,2013
"Kiradech Aphibarnrat",25,2013
"Robert Garrigus",25,2013
"Webb Simpson",25,2013
"Bill Haas",25,2013
"Miguel Angel Jimenez",29,2013
"Rafael Cabrera Bello",29,2013
"Scott Jamieson",29,2013
"Ryo Ishikawa",29,2013
"Peter Hanson",33,2013
"Martin Kaymer",33,2013
"Paul Casey",33,2013
"Brendon de Jonge",33,2013
"Justin Rose",33,2013
"Francesco Molinari",33,2013
"Lee Westwood",33,2013
"Matt Jones",40,2013
"Thorbjorn Olesen",40,2013
"JJ Henry",40,2013
"Danny Willett",40,2013
"DA Points",40,2013
"Tiger Woods",40,2013
"Charley Hoffman",40,2013
"Thongchai Jaidee",47,2013
"John Merrick",47,2013
"Ryan Palmer",47,2013
"Josh Teater",47,2013
"David Hearn",47,2013
"KJ Choi",47,2013
"Marcus Fraser",47,2013
"Luke Guthrie",47,2013
"Scott Stallings",55,2013
"Ryan Moore",55,2013
"Hunter Mahan",57,2013
"Shane Lowry",57,2013
"Chris Kirk",57,2013
"Ken Duke",57,2013
"Stephen Gallacher",61,2013
"Ian Poulter",61,2013
"Tommy Gainey",61,2013
"Harris English",61,2013
"Sergio Garcia",61,2013
"Ben Curtis",66,2013
"Brandt Snedeker",66,2013
"Tim Clark",68,2013
"Vijay Singh",68,2013
"John Senden",70,2013
"Brooks Koepka",70,2013
"Phil Mickelson",72,2013
"Matteo Manassero",72,2013
"Gary Woodland",74,2013
"Darren Clarke",75,2013
"Charles Howell III",79,2013
"Joost Luiten",79,2013
"Nicolas Colsaerts",79,2013
"Bubba Watson",79,2013
"Woody Austin",79,2013
"Martin Laird",79,2013
"San Moon Bae",79,2013
"Chris Stroud",79,2013
"Charl Schwartzel",79,2013
"Paul Lawrie",79,2013
"Davis Love III",79,2013
"Branden Grace",79,2013
"Jimmy Walker",91,2013
"Luke Donald",91,2013
"Mikko Ilonen",91,2013
"David Muttitt",91,2013
"Marcel Siem",91,2013
"Rich Beem",91,2013
"David Lingmerth",91,2013
"Bernd Wiesberger",91,2013
"John Huh",99,2013
"Russell Henley",99,2013
"Gonzalo Fernande Castano",99,2013
"Carl Pettersson",99,2013
"Graham DeLaet",99,2013
"Charlie Beljan",99,2013
"Ernie Els",99,2013
"Richard Sterne",99,2013
"YE Yang",99,2013
"Stewart Cink",99,2013
"Jason Kokrak",99,2013
"Brett Rumford",110,2013
"Kevin Stadler",110,2013
"Richie Ramsay",110,2013
"Hiroyuki Fujita",110,2013
"Billy Horschel",110,2013
"Scott Brown",110,2013
"Padraig Harrington",110,2013
"Brian Gay",110,2013
"Peter Uihlein",110,2013
"Derek Ernst",119,2013
"Kohki Idoki",119,2013
"Geoff Ogilvy",119,2013
"Jordan Spieth",119,2013
"Matt Every",119,2013
"Jeff Sorenson",119,2013
"Alexander Noren",125,2013
"JC Anderson",125,2013
"Tom Watson",127,2013
"Nick Watney",127,2013
"George Coetzee",127,2013
"Chris Wood",127,2013
"Pablo Larrazabal",127,2013
"David McNabb",127,2013
"Ryan Polzin",127,2013
"Jaco Van Zyl",127,2013
"Danny Balin",135,2013
"Kyle Stanley",135,2013
"Kevin Chappell",135,2013
"Rob Labritz",135,2013
"Robert Gaus",135,2013
"Thomas Bjorn",135,2013
"Caine Fitzgerald",135,2013
"Paul McGinley",142,2013
"Lucas Glover",142,2013
"Mike Small",142,2013
"Shaun Micheel",142,2013
"Freddie Jacobson",146,2013
"Mark Sheftic",146,2013
"Stuart Smith",146,2013
"Kirk Hanefeld",149,2013
"Bob Sowards",150,2013
"Jeff Martin",151,2013
"Rod Perry",151,2013
"Sonny Skinner",151,2013
"Mark Brown",154,2013
"Chip Sullivan",155,2013
"Lee Rhind",156,2013
"Bo Van Pelt",76,2013
"Angel Cabrera",78,2013
"Jamie Donaldson",76,2013
