"Masters_PLAYER_NAME_2012","Masters_Finish_2012","year"
"Bubba Watson",1,2012
"Louis Oosthuizen",2,2012
"Lee Westwood",3,2012
"Matt Kuchar",3,2012
"Phil Mickelson",3,2012
"Peter Hanson",3,2012
"Ian Poulter",7,2012
"Adam Scott",8,2012
"Justin Rose",8,2012
"Padraig Harrington",8,2012
"Jim Furyk",11,2012
"Kevin Na",12,2012
"Graeme McDowell",12,2012
"Sergio Garcia",12,2012
"Fred Couples",12,2012
"Hunter Mahan",12,2012
"Bo Van Pelt",17,2012
"Ben Crane",17,2012
"Geoff Ogilvy",19,2012
"Charles Howell III",19,2012
"Brandt Snedeker",19,2012
"Freddie Jacobson",19,2012
"Francesco Molinari",19,2012
"Anders Hansen",24,2012
"Jason Dufner",24,2012
"Paul Lawrie",24,2012
"Rickie Fowler",27,2012
"Keegan Bradley",27,2012
"Vijay Singh",27,2012
"Scott Stallings",27,2012
"Jonathan Byrd",27,2012
"Luke Donald",32,2012
"Angel Cabrera",32,2012
"Zach Johnson",32,2012
"Nick Watney",32,2012
"Sean OHair",32,2012
"Thomas Bjorn",37,2012
"Bill Haas",37,2012
"San Moon Bae",37,2012
"Aaron Baddeley",40,2012
"Tiger Woods",40,2012
"Rory McIlroy",40,2012
"Henrik Stenson",40,2012
"Martin Kaymer",44,2012
"Kevin Chappell",44,2012
"Webb Simpson",44,2012
"Ross Fisher",47,2012
"Steve Stricker",47,2012
"Patrick Cantlay",47,2012
"Stewart Cink",50,2012
"Robert Karlsson",50,2012
"Charl Schwartzel",50,2012
"David Toms",50,2012
"Scott Verplank",54,2012
"Hideki Matsuyama",54,2012
"Miguel Angel Jimenez",56,2012
"Edoardo Molinari",57,2012
"Martin Laird",57,2012
"YE Yang",57,2012
"Trevor Immelman",60,2012
"Gonzalo Fernande Castano",61,2012
"Kelly Kraft",62,2012
"John Senden",64,2012
"Kyung Kim",64,2012
"Paul Casey",66,2012
"Mike Weir",66,2012
"Jose Maria Olazabal",66,2012
"Larry Mize",66,2012
"Harrison Frazar",66,2012
"Kyle Stanley",66,2012
"Tom Watson",66,2012
"Bernhard Langer",73,2012
"Rory Sabbatini",73,2012
"Robert Garrigus",73,2012
"Ryan Palmer",73,2012
"Chez Reavie",77,2012
"Ryo Ishikawa",77,2012
"KJ Choi",77,2012
"Bryden Ma Pherson",77,2012
"Johnson Wagner",77,2012
"Ian Woosnam",82,2012
"Mark Wilson",82,2012
"Darren Clarke",82,2012
"Tim Clark",82,2012
"Lucas Glover",82,2012
"Simon Dyson",87,2012
"Corbin Mills",87,2012
"Alvaro Quiros",87,2012
"Brendan Steele",90,2012
"Randy Lewis",91,2012
"Ben Crenshaw",91,2012
"Craig Stadler",93,2012
"Sandy Lyle",94,2012
"Mark OMeara",96,2012
"Jason Day",63,2012
"Gary Woodland",95,2012
