"Masters_PLAYER_NAME_2011","Masters_Finish_2011","year"
"Charl Schwartzel",1,2011
"Adam Scott",2,2011
"Jason Day",2,2011
"Tiger Woods",4,2011
"Geoff Ogilvy",4,2011
"Luke Donald",4,2011
"Angel Cabrera",7,2011
"Bo Van Pelt",8,2011
"KJ Choi",8,2011
"Ryan Palmer",10,2011
"Justin Rose",11,2011
"Lee Westwood",11,2011
"Steve Stricker",11,2011
"Edoardo Molinari",11,2011
"Trevor Immelman",15,2011
"Brandt Snedeker",15,2011
"Fred Couples",15,2011
"Ross Fisher",15,2011
"Rory McIlroy",15,2011
"Ryo Ishikawa",20,2011
"Ricky Barnes",20,2011
"YE Yang",20,2011
"Martin Laird",20,2011
"Gary Woodland",24,2011
"Jim Furyk",24,2011
"David Toms",24,2011
"Robert Karlsson",27,2011
"Charley Hoffman",27,2011
"Ian Poulter",27,2011
"Miguel Angel Jimenez",27,2011
"Alvaro Quiros",27,2011
"Phil Mickelson",27,2011
"Matt Kuchar",27,2011
"Hideki Matsuyama",27,2011
"Alex Cejka",35,2011
"Sergio Garcia",35,2011
"Ryan Moore",35,2011
"Paul Casey",38,2011
"Rickie Fowler",38,2011
"Dustin Johnson",38,2011
"Bubba Watson",38,2011
"Bill Haas",42,2011
"Steve Marino",42,2011
"Kyung Kim",44,2011
"Jeff Overton",44,2011
"Nick Watney",46,2011
"Ernie Els",47,2011
"Aaron Baddeley",47,2011
"Camilo Villegas",49,2011
"Lucas Glover",50,2011
"Zach Johnson",50,2011
"Anthony Kim",50,2011
"Stewart Cink",50,2011
"Sean OHair",50,2011
"Tim Clark",50,2011
"Hunter Mahan",50,2011
"Francesco Molinari",50,2011
"Robert Allenby",50,2011
"Stuart Appleby",59,2011
"Jerry Kelly",59,2011
"Kevin Na",59,2011
"Mark Wilson",59,2011
"Graeme McDowell",59,2011
"Ben Crane",64,2011
"DA Points",64,2011
"Peter Hanson",64,2011
"Lion Kim",64,2011
"Jason Bohn",64,2011
"Yuta Ikeda",64,2011
"Jhonattan Vegas",64,2011
"David Chung",64,2011
"Heath Slocum",64,2011
"Carl Pettersson",64,2011
"Retief Goosen",64,2011
"Kevin Streelman",75,2011
"Louis Oosthuizen",75,2011
"Peter Uihlein",75,2011
"Anders Hansen",75,2011
"Gregory Havret",75,2011
"Hiroyuki Fujita",75,2011
"Padraig Harrington",75,2011
"Jose Maria Olazabal",82,2011
"Mark OMeara",82,2011
"Larry Mize",82,2011
"Rory Sabbatini",82,2011
"Jin Jeong",82,2011
"Martin Kaymer",82,2011
"Craig Stadler",88,2011
"Tom Watson",88,2011
"Jonathan Byrd",88,2011
"Arjun Atwal",88,2011
"Nathan Smith",92,2011
"Davis Love III",92,2011
"Sandy Lyle",94,2011
"Vijay Singh",95,2011
"Ian Woosnam",96,2011
"Ben Crenshaw",96,2011
"Mike Weir",96,2011
"Henrik Stenson",99,2011
