"Masters_PLAYER_NAME_2008","Masters_Finish_2008","year"
"Trevor Immelman",1,2008
"Tiger Woods",2,2008
"Stewart Cink",3,2008
"Brandt Snedeker",3,2008
"Phil Mickelson",5,2008
"Padraig Harrington",5,2008
"Steve Flesch",5,2008
"Miguel Angel Jimenez",8,2008
"Robert Karlsson",8,2008
"Andres Romero",8,2008
"Nick Watney",11,2008
"Lee Westwood",11,2008
"Paul Casey",11,2008
"Stuart Appleby",14,2008
"Vijay Singh",14,2008
"Sean OHair",14,2008
"Henrik Stenson",17,2008
"Mike Weir",17,2008
"Retief Goosen",17,2008
"Bubba Watson",20,2008
"Justin Leonard",20,2008
"Brian Bateman",20,2008
"Zach Johnson",20,2008
"Boo Weekley",20,2008
"Richard Sterne",25,2008
"Angel Cabrera",25,2008
"Stephen Ames",25,2008
"Jeev Milkha Singh",25,2008
"JB Holmes",25,2008
"Adam Scott",25,2008
"Arron Oberholser",25,2008
"Ian Poulter",25,2008
"Heath Slocum",33,2008
"Nick Dougherty",33,2008
"Jim Furyk",33,2008
"Todd Hamilton",36,2008
"Johnson Wagner",36,2008
"Justin Rose",36,2008
"Geoff Ogilvy",39,2008
"Niclas Fasth",39,2008
"KJ Choi",41,2008
"David Toms",42,2008
"Robert Allenby",42,2008
"Ian Woosnam",44,2008
"Sandy Lyle",45,2008
"Sergio Garcia",47,2008
"Ernie Els",47,2008
"Aaron Baddeley",47,2008
"Brett Wetterich",47,2008
"Charles Howell III",47,2008
"Michael Campbell",47,2008
"Fred Couples",47,2008
"Martin Kaymer",47,2008
"Luke Donald",47,2008
"Toru Taniguchi",47,2008
"Craig Stadler",57,2008
"Jonathan Byrd",57,2008
"Mark OMeara",57,2008
"Hunter Mahan",57,2008
"Nick OHern",57,2008
"Jerry Kelly",57,2008
"Rory Sabbatini",57,2008
"John Rollins",64,2008
"Daniel Chopra",64,2008
"Tom Watson",64,2008
"Steve Stricker",64,2008
"Camilo Villegas",64,2008
"Ben Curtis",64,2008
"Shaun Micheel",64,2008
"Trip Kuehne",64,2008
"John Senden",72,2008
"Bernhard Langer",72,2008
"Michael Thompson",72,2008
"Vaughn Taylor",72,2008
"Jose Maria Olazabal",72,2008
"Richard Green",77,2008
"Tim Clark",77,2008
"Woody Austin",77,2008
"Shingo Katayama",77,2008
"Peter Lonard",77,2008
"Ben Crenshaw",77,2008
"Soren Hansen",83,2008
"Mark Calcavecchia",83,2008
"DJ Trahan",83,2008
"Scott Verplank",83,2008
"Raymond Floyd",87,2008
"Liang We Chong",87,2008
"Anders Hansen",89,2008
"Drew Weaver",90,2008
"Steve Lowery",91,2008
"Larry Mize",92,2008
"Fuzzy Zoeller",93,2008
"Gary Player",94,2008
"Prayad Marksaeng",46,2008
