"USOpen_PLAYER_NAME_2005","USOpen_Finish_2005","year"
"Michael Campbell",1,2005
"Tiger Woods",2,2005
"Sergio Garcia",3,2005
"Tim Clark",3,2005
"Mark Hensby",3,2005
"Davis Love III",6,2005
"Rocco Mediate",6,2005
"Vijay Singh",6,2005
"Nick Price",9,2005
"Arron Oberholser",9,2005
"Bob Estes",11,2005
"Corey Pavin",11,2005
"Peter Hedblom",11,2005
"Retief Goosen",11,2005
"Stewart Cink",15,2005
"Fred Couples",15,2005
"Ernie Els",15,2005
"Ryuji Imada",15,2005
"John Cook",15,2005
"Peter Jacobsen",15,2005
"KJ Choi",15,2005
"David Toms",15,2005
"Fred Funk",23,2005
"Justin Leonard",23,2005
"Kenny Perry",23,2005
"Paul Claxton",23,2005
"Olin Browne",23,2005
"Geoff Ogilvy",28,2005
"Jim Furyk",28,2005
"Adam Scott",28,2005
"Steve Allan",28,2005
"Matt Every",28,2005
"Steve Elkington",33,2005
"Brandt Jobe",33,2005
"Phil Mickelson",33,2005
"Bernhard Langer",33,2005
"Angel Cabrera",33,2005
"Shigeki Maruyama",33,2005
"Ted Purdy",33,2005
"Tim Herron",33,2005
"Lee Westwood",33,2005
"Mike Weir",42,2005
"Tom Pernice Jr",42,2005
"Chad Campbell",42,2005
"Peter Lonard",42,2005
"Rob Rashell",42,2005
"Colin Montgomerie",42,2005
"Paul McGinley",42,2005
"JL Lewis",49,2005
"Nick OHern",49,2005
"Jason Gore",49,2005
"Richard Green",52,2005
"Soren Kjeldsen",52,2005
"Thomas Levet",52,2005
"Nick Dougherty",52,2005
"Thomas Bjorn",52,2005
"Frank Lickliter II",57,2005
"JJ Henry",57,2005
"Lee Janzen",57,2005
"Tommy Armour III",57,2005
"Jonathan Lomas",57,2005
"Ian Poulter",57,2005
"Steve Jones",57,2005
"Keiichiro Fukabori",57,2005
"Luke Donald",57,2005
"Ryan Moore",57,2005
"Michael Allen",67,2005
"Steve Flesch",67,2005
"John Mallinger",67,2005
"Bill Glasson",67,2005
"Stephen Ames",71,2005
"Rory Sabbatini",71,2005
"DJ Brigman",71,2005
"JP Hayes",71,2005
"John Daly",75,2005
"Omar Uresti",75,2005
"Charles Howell III",75,2005
"Bob Tway",78,2005
"Jeff Maggert",78,2005
"Chris Nallen",80,2005
"Graeme McDowell",80,2005
"Craig Barlow",82,2005
"Jerry Kelly",83,2005
"Peter Hanson",86,2005
"Shingo Katayama",86,2005
"Tom Lehman",86,2005
"Robert Allenby",86,2005
"Carlos Franco",86,2005
"Robert Karlsson",86,2005
"Zach Johnson",86,2005
"Toru Taniguchi",86,2005
"Euan Walters",86,2005
"Jerry Smith",86,2005
"Derek Brown",86,2005
"John Rollins",86,2005
"Matt Kuchar",86,2005
"Todd Hamilton",86,2005
"Eric Meichtry",86,2005
"Spencer Levin",101,2005
"Trip Kuehne",101,2005
"Jose Filipe Lima",101,2005
"John Merrick",101,2005
"Scott Verplank",101,2005
"Lee Rinker",101,2005
"Troy Kelly",101,2005
"Padraig Harrington",108,2005
"Ian Leggatt",108,2005
"Stephen Gallacher",108,2005
"Eric Axley",108,2005
"David Oh",108,2005
"Nick Gilliam",108,2005
"James Driscoll",108,2005
"Shaun Micheel",115,2005
"Stuart Appleby",115,2005
"David Duval",115,2005
"Craig Parry",115,2005
"Jay Haas",115,2005
"Steve Lowery",115,2005
"Steve Conran",115,2005
"Kyle Willmann",115,2005
"Patrick Damron",115,2005
"Carl Pettersson",124,2005
"Miguel Angel Jimenez",124,2005
"Bart Bryant",124,2005
"Casey Wittenberg",124,2005
"Clinton Jensen",124,2005
"YE Yang",124,2005
"Luke List",124,2005
"Chris DiMarco",124,2005
"Scott Parel",124,2005
"Josh McCumber",124,2005
"Joe Ogilvie",134,2005
"Rich Beem",134,2005
"Brandt Snedeker",134,2005
"Scott McCarron",134,2005
"David Denham",134,2005
"Robert Gamez",139,2005
"Scott Gibson",139,2005
"Nickolas Jones",139,2005
"Len Mattiace",139,2005
"Michael Putnam",139,2005
"Franklin Langham",139,2005
"Ben Curtis",145,2005
"Aaron Barber",145,2005
"David Hearn",145,2005
"Simon Dyson",148,2005
"Mike Ruiz",149,2005
"Lee Williams",149,2005
"Jim Benepe",149,2005
"Rod Pampling",152,2005
"Pierr Henri Soero",153,2005
"Sal Spallone",153,2005
"Will Collins",155,2005
"Conrad Ray",156,2005
"David Howell",84,2005
"Paul Casey",85,2005
