"Masters_PLAYER_NAME_2005","Masters_Finish_2005","year"
"Tiger Woods",1,2005
"Chris DiMarco",2,2005
"Retief Goosen",3,2005
"Luke Donald",3,2005
"Rod Pampling",5,2005
"Mike Weir",5,2005
"Mark Hensby",5,2005
"Vijay Singh",5,2005
"Trevor Immelman",5,2005
"Phil Mickelson",10,2005
"David Howell",11,2005
"Tim Herron",11,2005
"Tom Lehman",13,2005
"Justin Leonard",13,2005
"Thomas Levet",13,2005
"Ryan Moore",13,2005
"Darren Clarke",17,2005
"Kirk Triplett",17,2005
"Chad Campbell",17,2005
"Jeff Maggert",20,2005
"Bernhard Langer",20,2005
"Stewart Cink",20,2005
"Jerry Kelly",20,2005
"Scott Verplank",20,2005
"Joe Ogilvie",25,2005
"Craig Parry",25,2005
"Thomas Bjorn",25,2005
"Jim Furyk",28,2005
"Steve Flesch",29,2005
"Kenny Perry",29,2005
"Miguel Angel Jimenez",31,2005
"Mark OMeara",31,2005
"KJ Choi",33,2005
"Shingo Katayama",33,2005
"Adam Scott",33,2005
"Casey Wittenberg",33,2005
"Ian Poulter",33,2005
"Luke List",33,2005
"Fred Couples",39,2005
"Tim Clark",39,2005
"Ryan Palmer",39,2005
"Todd Hamilton",39,2005
"Jonathan Kaye",43,2005
"Stuart Appleby",43,2005
"Stephen Ames",45,2005
"Nick OHern",45,2005
"Ernie Els",47,2005
"Jay Haas",48,2005
"Chris Riley",49,2005
"Craig Stadler",50,2005
"Graeme McDowell",52,2005
"Padraig Harrington",52,2005
"Charles Howell III",52,2005
"Carlos Franco",52,2005
"Sergio Garcia",52,2005
"Fred Funk",57,2005
"Robert Allenby",57,2005
"Angel Cabrera",57,2005
"Lee Westwood",57,2005
"Bo Van Pelt",61,2005
"Joakim Haeggman",61,2005
"Davis Love III",61,2005
"Jesper Parnevik",61,2005
"Ben Curtis",65,2005
"David Duval",65,2005
"Rory Sabbatini",65,2005
"Sandy Lyle",65,2005
"Peter Lonard",65,2005
"Raymond Floyd",65,2005
"Rich Beem",65,2005
"Freddie Jacobson",65,2005
"Zach Johnson",65,2005
"David Toms",65,2005
"Tom Watson",75,2005
"Shaun Micheel",75,2005
"Larry Mize",75,2005
"Jack Nicklaus",75,2005
"Jose Maria Olazabal",75,2005
"Nick Price",80,2005
"John Daly",80,2005
"Ted Purdy",82,2005
"Ian Woosnam",83,2005
"Ben Crenshaw",83,2005
"Paul Casey",85,2005
"Austin Eaton III",86,2005
"Shigeki Maruyama",86,2005
"Tommy Aaron",88,2005
"Fuzzy Zoeller",89,2005
"Stuart Wilson",90,2005
"Gary Player",91,2005
"Charles Coody",92,2005
"Nick Faldo",93,2005
"Billy Casper",51,2005
